timestamp,sync_pin,tvec_12_x,tvec_12_y,tvec_12_z,tvec_14_x,tvec_14_y,tvec_14_z,tvec_20_x,tvec_20_y,tvec_20_z,rvec_12_x,rvec_12_y,rvec_12_z,rvec_14_x,rvec_14_y,rvec_14_z,rvec_20_x,rvec_20_y,rvec_20_z
07:55.7,0,0.200514,-0.052774,0.564146,0.408951,-0.049079,0.593956,nan,nan,nan,-2.596305,-0.018624,1.765496,-3.06794,-0.015047,-0.659946,nan,nan,nan
07:55.7,0,0.200539,-0.052778,0.564185,0.409737,-0.049227,0.595104,nan,nan,nan,-2.595316,-0.018046,1.765805,3.071872,0.026023,0.657305,nan,nan,nan
07:55.7,0,0.200541,-0.05278,0.564223,0.409578,-0.049201,0.59488,nan,nan,nan,-2.5968,-0.017607,1.763586,3.071626,0.026562,0.656349,nan,nan,nan
07:55.8,0,0.20055,-0.05278,0.564217,0.409579,-0.04916,0.594856,nan,nan,nan,-2.59616,-0.017579,1.764254,-3.070434,-0.022127,-0.658066,nan,nan,nan
07:55.8,0,0.200389,-0.052729,0.563824,0.409442,-0.049146,0.594635,nan,nan,nan,-2.594561,-0.020432,1.766116,3.070561,0.023061,0.660493,nan,nan,nan
17-04-2026 17:07,0,0.200382,-0.052757,0.56381,0.409644,-0.04917,0.594995,nan,nan,nan,-2.595423,-0.021241,1.764617,-3.06736,-0.024428,-0.660352,nan,nan,nan
07:55.8,0,0.200306,-0.052718,0.563563,0.409229,-0.0491,0.594399,nan,nan,nan,-2.594069,-0.018968,1.765598,-3.069204,-0.027346,-0.658833,nan,nan,nan
07:55.9,0,0.200409,-0.05276,0.563852,0.409067,-0.049133,0.594137,nan,nan,nan,-2.595701,-0.017792,1.765936,3.068428,0.027052,0.659623,nan,nan,nan
07:55.9,0,0.200384,-0.052756,0.563786,0.409464,-0.049156,0.594676,nan,nan,nan,-2.597456,-0.018677,1.765256,3.06921,0.026624,0.658883,nan,nan,nan
07:55.9,0,0.200372,-0.052755,0.563809,0.409421,-0.049133,0.594655,nan,nan,nan,-2.597423,-0.018534,1.765049,-3.06873,-0.025234,-0.660553,nan,nan,nan
07:55.9,0,0.200454,-0.052767,0.564072,0.409233,-0.049122,0.594405,nan,nan,nan,-2.599099,-0.019995,1.764307,3.069376,0.028632,0.660647,nan,nan,nan
07:55.9,0,0.200316,-0.052747,0.563712,0.408969,-0.049076,0.593936,nan,nan,nan,2.59799,0.020211,-1.76552,-3.070261,-0.023024,-0.66105,nan,nan,nan
07:56.0,0,0.200306,-0.052744,0.563655,0.409046,-0.049087,0.594083,nan,nan,nan,2.597078,0.020796,-1.766143,-3.068531,-0.023683,-0.660318,nan,nan,nan
07:56.0,0,0.200447,-0.05276,0.563933,0.409057,-0.04909,0.594119,nan,nan,nan,2.597616,0.021005,-1.766021,-3.068605,-0.024213,-0.658014,nan,nan,nan
07:56.0,0,0.200182,-0.052724,0.563252,0.409165,-0.049118,0.594281,nan,nan,nan,2.59726,0.021434,-1.765589,-3.069272,-0.021748,-0.659679,nan,nan,nan
07:56.0,0,0.200216,-0.052733,0.563404,0.409111,-0.049112,0.594187,nan,nan,nan,-2.59811,-0.020034,1.765604,-3.070899,-0.021747,-0.657874,nan,nan,nan
07:56.0,0,0.200341,-0.052752,0.563753,0.409259,-0.049125,0.5944,nan,nan,nan,-2.598277,-0.020181,1.764711,-3.068278,-0.022267,-0.658486,nan,nan,nan
07:56.1,0,0.200341,-0.052752,0.563753,0.408873,-0.04905,0.593816,nan,nan,nan,-2.598277,-0.020181,1.764711,-3.066983,-0.017169,-0.658607,nan,nan,nan
07:56.1,0,0.200341,-0.052752,0.563753,0.409171,-0.0491,0.594286,nan,nan,nan,-2.598277,-0.020181,1.764711,-3.066533,-0.024675,-0.658615,nan,nan,nan
07:56.1,0,0.200315,-0.052745,0.563653,0.409097,-0.049083,0.59417,nan,nan,nan,2.597835,0.021433,-1.765754,-3.065517,-0.022613,-0.658883,nan,nan,nan
07:56.1,0,0.200484,-0.052823,0.564157,0.40915,-0.049119,0.594248,nan,nan,nan,2.595919,0.020157,-1.761962,-3.070352,-0.025551,-0.662777,nan,nan,nan
07:56.1,0,0.200697,-0.052855,0.564661,0.409093,-0.049065,0.594171,nan,nan,nan,2.59778,0.017337,-1.763013,-3.067059,-0.018467,-0.659508,nan,nan,nan
07:56.1,0,0.200677,-0.052852,0.564629,0.409488,-0.049174,0.594785,nan,nan,nan,2.597513,0.020561,-1.765781,-3.06857,-0.025214,-0.657246,nan,nan,nan
07:56.2,0,0.200491,-0.052796,0.564173,0.409331,-0.049121,0.594484,nan,nan,nan,2.595726,0.021323,-1.76374,3.071394,0.022638,0.65844,nan,nan,nan
07:56.2,0,0.200603,-0.052816,0.56443,0.409095,-0.049107,0.594127,nan,nan,nan,-2.598591,-0.020482,1.762974,-3.07087,-0.023522,-0.659512,nan,nan,nan
