timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-13 13:26:15.936598,0,-129.218,5.000,4.9675,0.4360,-0.1639,0.0144,1
2026-06-13 13:26:17.904189,1,-129.218,10.000,9.9354,0.8677,-0.3279,0.0286,1
2026-06-13 13:26:19.912423,2,-129.218,15.000,14.9004,1.3137,-0.4917,0.0434,1
2026-06-13 13:26:21.892486,3,-129.218,24.000,23.8384,2.1052,-0.7867,0.0695,1
2026-06-13 13:26:23.892962,4,-116.180,5.000,4.6964,1.5588,-0.1550,0.0514,1
2026-06-13 13:26:25.883022,5,-116.180,10.000,9.4086,3.1028,-0.3105,0.1024,1
2026-06-13 13:26:27.907632,6,-116.180,15.000,14.1089,4.6517,-0.4656,0.1535,1
2026-06-13 13:26:29.900937,7,-116.180,24.000,22.5602,7.4563,-0.7445,0.2461,1
2026-06-13 13:26:31.893464,8,-103.141,5.000,4.1890,2.5817,-0.1382,0.0852,1
2026-06-13 13:26:33.904390,9,-103.141,10.000,8.4169,5.1198,-0.2778,0.1690,1
2026-06-13 13:26:35.888721,10,-103.141,15.000,12.6034,7.7407,-0.4159,0.2554,1
2026-06-13 13:26:37.889315,11,-103.141,24.000,20.1555,12.3820,-0.6651,0.4086,1
2026-06-13 13:26:39.898415,12,-90.103,5.000,3.4629,3.4815,-0.1143,0.1149,1
2026-06-13 13:26:41.892309,13,-90.103,10.000,6.9560,6.9644,-0.2295,0.2298,1
2026-06-13 13:26:43.895370,14,-90.103,15.000,10.4193,10.4485,-0.3438,0.3448,1
2026-06-13 13:26:45.888050,15,-90.103,24.000,16.6600,16.7113,-0.5498,0.5515,1
2026-06-13 13:26:47.902590,16,-77.065,5.000,2.5515,4.2040,-0.0842,0.1387,1
2026-06-13 13:26:49.888007,17,-77.065,10.000,5.1455,8.4070,-0.1698,0.2774,1
2026-06-13 13:26:51.894455,18,-77.065,15.000,7.7131,12.6109,-0.2545,0.4162,1
2026-06-13 13:26:53.900172,19,-77.065,24.000,12.2962,20.1716,-0.4058,0.6657,1
2026-06-13 13:26:55.894900,20,-64.026,5.000,1.5120,4.7080,-0.0499,0.1554,1
2026-06-13 13:26:57.903542,21,-64.026,10.000,3.0654,9.4125,-0.1012,0.3106,1
2026-06-13 13:26:59.897991,22,-64.026,15.000,4.6036,14.1188,-0.1519,0.4659,1
2026-06-13 13:27:01.889759,23,-64.026,24.000,7.3171,22.5916,-0.2415,0.7455,1
2026-06-13 13:27:03.900379,24,-50.988,5.000,0.3974,4.9687,-0.0131,0.1640,1
2026-06-13 13:27:05.880426,25,-50.988,10.000,0.8596,9.9352,-0.0284,0.3279,1
2026-06-13 13:27:07.892363,26,-50.988,15.000,1.2624,14.9038,-0.0417,0.4918,1
2026-06-13 13:27:09.895763,27,-50.988,24.000,2.0124,23.8444,-0.0664,0.7869,1
