timestamp,step,target_angle_deg,target_mag_N,sweep_dir,T1,T3,tau1,tau2,feasible
2026-06-18 16:39:12.851746,0,-129.081,5.000,asc,4.9753,0.4358,-0.1642,0.0144,1
2026-06-18 16:39:16.695643,1,-129.081,10.000,asc,9.9507,0.8716,-0.3284,0.0288,1
2026-06-18 16:39:20.699994,2,-129.081,15.000,asc,14.9260,1.3074,-0.4926,0.0431,1
2026-06-18 16:39:24.696645,3,-129.081,20.000,asc,19.9014,1.7433,-0.6567,0.0575,1
2026-06-18 16:39:28.695301,4,-129.081,24.000,asc,23.8816,2.0919,-0.7881,0.0690,1
2026-06-18 16:39:32.698613,5,-129.081,24.000,desc,23.8816,2.0919,-0.7881,0.0690,1
2026-06-18 16:39:36.695123,6,-129.081,20.000,desc,19.9014,1.7433,-0.6567,0.0575,1
2026-06-18 16:39:40.695547,7,-129.081,15.000,desc,14.9260,1.3074,-0.4926,0.0431,1
2026-06-18 16:39:44.694727,8,-129.081,10.000,desc,9.9507,0.8716,-0.3284,0.0288,1
2026-06-18 16:39:48.695118,9,-129.081,5.000,desc,4.9753,0.4358,-0.1642,0.0144,1
2026-06-18 16:39:52.695712,10,-115.871,5.000,asc,4.7294,1.5626,-0.1561,0.0516,1
2026-06-18 16:39:56.695082,11,-115.871,10.000,asc,9.4588,3.1253,-0.3121,0.1031,1
2026-06-18 16:40:00.697020,12,-115.871,15.000,asc,14.1882,4.6879,-0.4682,0.1547,1
2026-06-18 16:40:04.695917,13,-115.871,20.000,asc,18.9176,6.2505,-0.6243,0.2063,1
2026-06-18 16:40:08.695331,14,-115.871,24.000,asc,22.7011,7.5006,-0.7491,0.2475,1
2026-06-18 16:40:12.695818,15,-115.871,24.000,desc,22.7011,7.5006,-0.7491,0.2475,1
2026-06-18 16:40:16.695447,16,-115.871,20.000,desc,18.9176,6.2505,-0.6243,0.2063,1
2026-06-18 16:40:20.696542,17,-115.871,15.000,desc,14.1882,4.6879,-0.4682,0.1547,1
2026-06-18 16:40:24.696264,18,-115.871,10.000,desc,9.4588,3.1253,-0.3121,0.1031,1
2026-06-18 16:40:28.696685,19,-115.871,5.000,desc,4.7294,1.5626,-0.1561,0.0516,1
2026-06-18 16:40:32.695679,20,-102.661,5.000,asc,4.2332,2.6067,-0.1397,0.0860,1
2026-06-18 16:40:36.701987,21,-102.661,10.000,asc,8.4663,5.2135,-0.2794,0.1720,1
2026-06-18 16:40:40.695451,22,-102.661,15.000,asc,12.6995,7.8202,-0.4191,0.2581,1
2026-06-18 16:40:44.695369,23,-102.661,20.000,asc,16.9327,10.4270,-0.5588,0.3441,1
2026-06-18 16:40:48.696500,24,-102.661,24.000,asc,20.3192,12.5124,-0.6705,0.4129,1
2026-06-18 16:40:52.695594,25,-102.661,24.000,desc,20.3192,12.5124,-0.6705,0.4129,1
2026-06-18 16:40:56.695739,26,-102.661,20.000,desc,16.9327,10.4270,-0.5588,0.3441,1
2026-06-18 16:41:00.695394,27,-102.661,15.000,desc,12.6995,7.8202,-0.4191,0.2581,1
2026-06-18 16:41:04.697684,28,-102.661,10.000,desc,8.4663,5.2135,-0.2794,0.1720,1
2026-06-18 16:41:08.694964,29,-102.661,5.000,desc,4.2332,2.6067,-0.1397,0.0860,1
2026-06-18 16:41:12.696976,30,-89.451,5.000,asc,3.5129,3.5129,-0.1159,0.1159,1
2026-06-18 16:41:16.697509,31,-89.451,10.000,asc,7.0258,7.0258,-0.2319,0.2319,1
2026-06-18 16:41:20.698124,32,-89.451,15.000,asc,10.5387,10.5387,-0.3478,0.3478,1
2026-06-18 16:41:24.700800,33,-89.451,20.000,asc,14.0516,14.0516,-0.4637,0.4637,1
2026-06-18 16:41:28.695028,34,-89.451,24.000,asc,16.8620,16.8620,-0.5564,0.5564,1
2026-06-18 16:41:32.695084,35,-89.451,24.000,desc,16.8620,16.8620,-0.5564,0.5564,1
2026-06-18 16:41:36.695892,36,-89.451,20.000,desc,14.0516,14.0516,-0.4637,0.4637,1
2026-06-18 16:41:40.695839,37,-89.451,15.000,desc,10.5387,10.5387,-0.3478,0.3478,1
2026-06-18 16:41:44.702243,38,-89.451,10.000,desc,7.0258,7.0258,-0.2319,0.2319,1
2026-06-18 16:41:48.695511,39,-89.451,5.000,desc,3.5129,3.5129,-0.1159,0.1159,1
2026-06-18 16:41:52.695873,40,-76.241,5.000,asc,2.6067,4.2332,-0.0860,0.1397,1
2026-06-18 16:41:56.696412,41,-76.241,10.000,asc,5.2135,8.4663,-0.1720,0.2794,1
2026-06-18 16:42:00.695935,42,-76.241,15.000,asc,7.8202,12.6995,-0.2581,0.4191,1
2026-06-18 16:42:04.695532,43,-76.241,20.000,asc,10.4270,16.9327,-0.3441,0.5588,1
2026-06-18 16:42:08.695150,44,-76.241,24.000,asc,12.5124,20.3192,-0.4129,0.6705,1
2026-06-18 16:42:12.706344,45,-76.241,24.000,desc,12.5124,20.3192,-0.4129,0.6705,1
2026-06-18 16:42:16.703360,46,-76.241,20.000,desc,10.4270,16.9327,-0.3441,0.5588,1
2026-06-18 16:42:20.696540,47,-76.241,15.000,desc,7.8202,12.6995,-0.2581,0.4191,1
2026-06-18 16:42:24.696332,48,-76.241,10.000,desc,5.2135,8.4663,-0.1720,0.2794,1
2026-06-18 16:42:28.695357,49,-76.241,5.000,desc,2.6067,4.2332,-0.0860,0.1397,1
2026-06-18 16:42:32.694921,50,-63.031,5.000,asc,1.5626,4.7294,-0.0516,0.1561,1
2026-06-18 16:42:36.694655,51,-63.031,10.000,asc,3.1253,9.4588,-0.1031,0.3121,1
2026-06-18 16:42:40.695706,52,-63.031,15.000,asc,4.6879,14.1882,-0.1547,0.4682,1
2026-06-18 16:42:44.695392,53,-63.031,20.000,asc,6.2505,18.9176,-0.2063,0.6243,1
2026-06-18 16:42:48.694741,54,-63.031,24.000,asc,7.5006,22.7011,-0.2475,0.7491,1
2026-06-18 16:42:52.695536,55,-63.031,24.000,desc,7.5006,22.7011,-0.2475,0.7491,1
2026-06-18 16:42:56.696428,56,-63.031,20.000,desc,6.2505,18.9176,-0.2063,0.6243,1
