timestamp,step,target_angle_deg,target_mag_N,sweep_dir,cycle,T1,T3,tau1,tau2,feasible
2026-06-18 16:55:06.471368,0,-128.841,5.000,asc,0,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:55:08.580559,1,-128.841,10.000,asc,0,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:55:10.673363,2,-128.841,15.000,asc,0,14.9335,1.3074,-0.4928,0.0431,1
2026-06-18 16:55:12.695213,3,-128.841,20.000,asc,0,19.9113,1.7432,-0.6571,0.0575,1
2026-06-18 16:55:14.695858,4,-128.841,24.000,asc,0,23.8935,2.0918,-0.7885,0.0690,1
2026-06-18 16:55:16.695019,5,-128.841,24.000,desc,0,23.8935,2.0918,-0.7885,0.0690,1
2026-06-18 16:55:18.695141,6,-128.841,20.000,desc,0,19.9113,1.7432,-0.6571,0.0575,1
2026-06-18 16:55:20.698683,7,-128.841,15.000,desc,0,14.9335,1.3074,-0.4928,0.0431,1
2026-06-18 16:55:22.695020,8,-128.841,10.000,desc,0,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:55:24.694787,9,-128.841,5.000,desc,0,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:55:26.696346,10,-128.841,5.000,asc,1,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:55:28.695841,11,-128.841,10.000,asc,1,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:55:30.696664,12,-128.841,15.000,asc,1,14.9335,1.3074,-0.4928,0.0431,1
2026-06-18 16:55:32.695932,13,-128.841,20.000,asc,1,19.9113,1.7432,-0.6571,0.0575,1
2026-06-18 16:55:34.698627,14,-128.841,24.000,asc,1,23.8935,2.0918,-0.7885,0.0690,1
2026-06-18 16:55:36.694953,15,-128.841,24.000,desc,1,23.8935,2.0918,-0.7885,0.0690,1
2026-06-18 16:55:38.694836,16,-128.841,20.000,desc,1,19.9113,1.7432,-0.6571,0.0575,1
2026-06-18 16:55:40.695293,17,-128.841,15.000,desc,1,14.9335,1.3074,-0.4928,0.0431,1
2026-06-18 16:55:42.699321,18,-128.841,10.000,desc,1,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:55:44.695108,19,-128.841,5.000,desc,1,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:55:46.694857,20,-128.841,5.000,asc,2,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:55:48.695725,21,-128.841,10.000,asc,2,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:55:50.695223,22,-128.841,15.000,asc,2,14.9335,1.3074,-0.4928,0.0431,1
2026-06-18 16:55:52.695169,23,-128.841,20.000,asc,2,19.9113,1.7432,-0.6571,0.0575,1
2026-06-18 16:55:54.696849,24,-128.841,24.000,asc,2,23.8935,2.0918,-0.7885,0.0690,1
2026-06-18 16:55:56.695943,25,-128.841,24.000,desc,2,23.8935,2.0918,-0.7885,0.0690,1
2026-06-18 16:55:58.695439,26,-128.841,20.000,desc,2,19.9113,1.7432,-0.6571,0.0575,1
2026-06-18 16:56:00.694777,27,-128.841,15.000,desc,2,14.9335,1.3074,-0.4928,0.0431,1
2026-06-18 16:56:02.696922,28,-128.841,10.000,desc,2,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:56:04.695264,29,-128.841,5.000,desc,2,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:56:06.695796,30,-128.841,5.000,asc,3,4.9778,0.4358,-0.1643,0.0144,1
2026-06-18 16:56:08.697585,31,-128.841,10.000,asc,3,9.9556,0.8716,-0.3285,0.0288,1
2026-06-18 16:56:10.694530,32,-128.841,15.000,asc,3,14.9335,1.3074,-0.4928,0.0431,1
