timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-25 17:09:36.820710,0,-121.993,5.000,4.8625,0.4516,-0.1605,0.0149,1
2026-06-25 17:09:40.815141,1,-121.993,10.000,9.7250,0.9032,-0.3209,0.0298,1
2026-06-25 17:09:44.814887,2,-121.993,15.000,14.5874,1.3548,-0.4814,0.0447,1
2026-06-25 17:09:48.815105,3,-121.993,24.000,23.3399,2.1677,-0.7702,0.0715,1
2026-06-25 17:09:52.814897,4,-111.195,24.000,21.3168,6.7712,-0.7035,0.2234,1
2026-06-25 17:09:56.818990,5,-111.195,15.000,13.3230,4.2320,-0.4397,0.1397,1
2026-06-25 17:10:00.814212,6,-111.195,10.000,8.8820,2.8213,-0.2931,0.0931,1
2026-06-25 17:10:04.814503,7,-111.195,5.000,4.4410,1.4107,-0.1466,0.0466,1
2026-06-25 17:10:08.823431,8,-100.397,5.000,3.8622,2.3198,-0.1275,0.0766,1
2026-06-25 17:10:12.824297,9,-100.397,10.000,7.7245,4.6395,-0.2549,0.1531,1
2026-06-25 17:10:16.826112,10,-100.397,15.000,11.5867,6.9593,-0.3824,0.2297,1
2026-06-25 17:10:20.815705,11,-100.397,24.000,18.5388,11.1349,-0.6118,0.3675,1
