timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-18 10:44:30.371130,0,-129.192,5.000,4.9765,0.4358,-0.1642,0.0144,1
2026-06-18 10:44:34.274169,1,-129.192,10.000,9.9550,0.8554,-0.3285,0.0282,1
2026-06-18 10:44:38.266797,2,-129.192,15.000,14.9313,1.2998,-0.4927,0.0429,1
2026-06-18 10:44:42.270715,3,-129.192,24.000,23.8884,2.1018,-0.7883,0.0694,1
2026-06-18 10:44:46.265085,4,-115.957,24.000,22.7273,7.5154,-0.7500,0.2480,1
2026-06-18 10:44:50.264539,5,-115.957,15.000,14.1230,4.9756,-0.4661,0.1642,1
2026-06-18 10:44:54.276756,6,-115.957,10.000,9.4183,3.3079,-0.3108,0.1092,1
2026-06-18 10:44:58.271486,7,-115.957,5.000,4.7358,1.5630,-0.1563,0.0516,1
2026-06-18 10:45:02.275943,8,-102.722,5.000,4.2349,2.6060,-0.1398,0.0860,1
2026-06-18 10:45:06.269351,9,-102.722,10.000,8.4840,5.2203,-0.2800,0.1723,1
2026-06-18 10:45:10.278920,10,-102.722,15.000,12.5906,8.0524,-0.4155,0.2657,1
2026-06-18 10:45:14.276517,11,-102.722,24.000,20.1523,12.8808,-0.6650,0.4251,1
2026-06-18 10:45:18.280576,12,-89.487,24.000,16.6687,17.2302,-0.5501,0.5686,1
2026-06-18 10:45:22.314522,13,-89.487,15.000,10.3908,10.7739,-0.3429,0.3555,1
2026-06-18 10:45:26.273626,14,-89.487,10.000,7.0605,7.0409,-0.2330,0.2323,1
2026-06-18 10:45:30.299166,15,-89.487,5.000,3.4633,3.5838,-0.1143,0.1183,1
2026-06-18 10:45:34.266817,16,-76.252,5.000,2.6155,4.2409,-0.0863,0.1400,1
2026-06-18 10:45:38.334922,17,-76.252,10.000,5.2214,8.4833,-0.1723,0.2799,1
2026-06-18 10:45:42.272062,18,-76.252,15.000,7.6567,12.8634,-0.2527,0.4245,1
2026-06-18 10:45:46.270598,19,-76.252,24.000,12.6195,20.3507,-0.4164,0.6716,1
2026-06-18 10:45:50.278043,20,-63.017,24.000,7.6133,22.7217,-0.2512,0.7498,1
2026-06-18 10:45:54.368001,21,-63.017,15.000,4.7315,14.2073,-0.1561,0.4688,1
2026-06-18 10:45:58.304512,22,-63.017,10.000,3.1517,9.4687,-0.1040,0.3125,1
2026-06-18 10:46:02.271130,23,-63.017,5.000,1.5914,4.7349,-0.0525,0.1563,1
2026-06-18 10:46:06.269518,24,-49.783,5.000,0.4425,4.9767,-0.0146,0.1642,1
2026-06-18 10:46:10.278015,25,-49.783,10.000,0.8904,9.9543,-0.0294,0.3285,1
2026-06-18 10:46:14.268195,26,-49.783,15.000,1.3715,14.9297,-0.0453,0.4927,1
2026-06-18 10:46:18.267190,27,-49.783,24.000,2.2553,23.8917,-0.0744,0.7884,1
