timestamp,step,target_angle_deg,target_mag_N,sweep_dir,cycle,T1,T3,tau1,tau2,feasible
2026-06-19 12:50:14.230671,0,-129.122,5.000,asc,0,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:50:16.135432,1,-129.122,10.000,asc,0,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:50:18.090108,2,-129.122,15.000,asc,0,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:50:20.083730,3,-129.122,24.000,asc,0,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:50:22.084056,4,-129.122,24.000,desc,0,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:50:24.083970,5,-129.122,15.000,desc,0,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:50:26.084914,6,-129.122,10.000,desc,0,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:50:28.083687,7,-129.122,5.000,desc,0,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:50:30.085060,8,-129.122,5.000,asc,1,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:50:32.085293,9,-129.122,10.000,asc,1,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:50:34.082836,10,-129.122,15.000,asc,1,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:50:36.083454,11,-129.122,24.000,asc,1,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:50:38.085288,12,-129.122,24.000,desc,1,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:50:40.083457,13,-129.122,15.000,desc,1,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:50:42.083368,14,-129.122,10.000,desc,1,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:50:44.083092,15,-129.122,5.000,desc,1,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:50:46.083457,16,-129.122,5.000,asc,2,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:50:48.087608,17,-129.122,10.000,asc,2,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:50:50.082976,18,-129.122,15.000,asc,2,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:50:52.087650,19,-129.122,24.000,asc,2,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:50:54.083663,20,-129.122,24.000,desc,2,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:50:56.083896,21,-129.122,15.000,desc,2,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:50:58.083349,22,-129.122,10.000,desc,2,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:51:00.083178,23,-129.122,5.000,desc,2,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:51:02.085675,24,-129.122,5.000,asc,3,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:51:04.083654,25,-129.122,10.000,asc,3,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:51:06.084438,26,-129.122,15.000,asc,3,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:51:08.082884,27,-129.122,24.000,asc,3,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:51:10.084519,28,-129.122,24.000,desc,3,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:51:12.083687,29,-129.122,15.000,desc,3,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:51:14.087903,30,-129.122,10.000,desc,3,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:51:16.083933,31,-129.122,5.000,desc,3,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:51:18.083505,32,-129.122,5.000,asc,4,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:51:20.088022,33,-129.122,10.000,asc,4,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:51:22.085705,34,-129.122,15.000,asc,4,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:51:24.083596,35,-129.122,24.000,asc,4,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:51:26.083027,36,-129.122,24.000,desc,4,23.8963,2.0918,-0.7886,0.0690,1
2026-06-19 12:51:28.083268,37,-129.122,15.000,desc,4,14.9352,1.3074,-0.4929,0.0431,1
2026-06-19 12:51:30.085586,38,-129.122,10.000,desc,4,9.9568,0.8716,-0.3286,0.0288,1
2026-06-19 12:51:32.083878,39,-129.122,5.000,desc,4,4.9784,0.4358,-0.1643,0.0144,1
2026-06-19 12:51:34.082991,40,-115.845,5.000,asc,0,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:51:36.088960,41,-115.845,10.000,asc,0,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:51:38.084722,42,-115.845,15.000,asc,0,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:51:40.083312,43,-115.845,24.000,asc,0,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:51:42.089315,44,-115.845,24.000,desc,0,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:51:44.084645,45,-115.845,15.000,desc,0,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:51:46.083221,46,-115.845,10.000,desc,0,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:51:48.087170,47,-115.845,5.000,desc,0,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:51:50.082877,48,-115.845,5.000,asc,1,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:51:52.086535,49,-115.845,10.000,asc,1,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:51:54.083325,50,-115.845,15.000,asc,1,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:51:56.088930,51,-115.845,24.000,asc,1,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:51:58.083083,52,-115.845,24.000,desc,1,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:00.084039,53,-115.845,15.000,desc,1,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:02.089739,54,-115.845,10.000,desc,1,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:04.088747,55,-115.845,5.000,desc,1,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:06.083925,56,-115.845,5.000,asc,2,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:08.083483,57,-115.845,10.000,asc,2,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:10.085271,58,-115.845,15.000,asc,2,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:12.084068,59,-115.845,24.000,asc,2,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:14.086417,60,-115.845,24.000,desc,2,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:16.084402,61,-115.845,15.000,desc,2,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:18.087857,62,-115.845,10.000,desc,2,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:20.087890,63,-115.845,5.000,desc,2,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:22.083499,64,-115.845,5.000,asc,3,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:24.083220,65,-115.845,10.000,asc,3,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:26.083711,66,-115.845,15.000,asc,3,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:28.084142,67,-115.845,24.000,asc,3,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:30.088727,68,-115.845,24.000,desc,3,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:32.083593,69,-115.845,15.000,desc,3,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:34.083912,70,-115.845,10.000,desc,3,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:36.083724,71,-115.845,5.000,desc,3,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:38.083174,72,-115.845,5.000,asc,4,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:40.084039,73,-115.845,10.000,asc,4,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:42.083062,74,-115.845,15.000,asc,4,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:44.083319,75,-115.845,24.000,asc,4,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:46.084361,76,-115.845,24.000,desc,4,22.7448,7.5268,-0.7506,0.2484,1
2026-06-19 12:52:48.083462,77,-115.845,15.000,desc,4,14.2155,4.7043,-0.4691,0.1552,1
2026-06-19 12:52:50.083819,78,-115.845,10.000,desc,4,9.4770,3.1362,-0.3127,0.1035,1
2026-06-19 12:52:52.083563,79,-115.845,5.000,desc,4,4.7385,1.5681,-0.1564,0.0517,1
2026-06-19 12:52:54.083335,80,-102.568,5.000,asc,0,4.2453,2.6166,-0.1401,0.0863,1
2026-06-19 12:52:56.084357,81,-102.568,10.000,asc,0,8.4906,5.2331,-0.2802,0.1727,1
2026-06-19 12:52:58.082870,82,-102.568,15.000,asc,0,12.7359,7.8497,-0.4203,0.2590,1
2026-06-19 12:53:00.083883,83,-102.568,24.000,asc,0,20.3775,12.5595,-0.6725,0.4145,1
