step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group
0,-142.404424,5.0,2.9711861781867133,-147.2532345361955,101,-2.0288138218132867,-4.8488105361954865,1
1,-142.404424,10.0,7.5750366898085595,-148.09234450842865,101,-2.4249633101914405,-5.687920508428647,1
2,-142.404424,15.0,11.514967560032058,-147.72046749323124,99,-3.4850324399679415,-5.316043493231234,1
3,-142.404424,24.0,18.29269072460012,-146.2947747807715,100,-5.707309275399879,-3.8903507807714846,1
4,-124.366549,24.0,16.76680758516567,-119.99298389458458,101,-7.233192414834331,4.373565105415423,2
5,-124.366549,15.0,16.30768615695614,-129.66408976856835,99,1.3076861569561409,-5.297540768568339,2
6,-124.366549,10.0,13.438095235930959,-132.7884980082793,100,3.438095235930959,-8.421949008279299,2
7,-124.366549,5.0,6.419085383488184,-126.36639879836827,100,1.4190853834881842,-1.9998497983682597,2
8,-106.328674,5.0,6.42866341432455,-121.17264203795037,100,1.42866341432455,-14.843968037950361,3
9,-106.328674,10.0,8.121862726240625,-106.53860076096394,100,-1.878137273759375,-0.20992676096393836,3
10,-106.328674,15.0,11.452955786606914,-99.75309540157681,100,-3.547044213393086,6.575578598423192,3
11,-106.328674,24.0,17.407645924254698,-99.86811901555048,100,-6.592354075745302,6.46055498444953,3
12,-88.290798,24.0,21.33689503013577,-79.21128695571092,100,-2.6631049698642286,9.079511044289077,4
13,-88.290798,15.0,17.806992084886975,-88.72090263665558,100,2.806992084886975,-0.4301046366555852,4
14,-88.290798,10.0,11.586903697832604,-96.2320423732392,100,1.5869036978326037,-7.941244373239201,4
15,-88.290798,5.0,6.304935592185522,-91.94131103609399,100,1.3049355921855224,-3.6505130360939972,4
16,-70.252923,5.0,5.66476569534166,-74.06660299629988,100,0.6647656953416599,-3.813679996299882,5
17,-70.252923,10.0,9.462670923350702,-61.96304513560706,100,-0.5373290766492982,8.289877864392935,5
18,-70.252923,15.0,11.375573236899543,-66.58700339905353,100,-3.624426763100457,3.6659196009464665,5
19,-70.252923,24.0,21.37384514671917,-62.41784662045152,100,-2.6261548532808305,7.835076379548475,5
20,-52.215048,24.0,21.01401600415532,-61.059057219365606,100,-2.9859839958446805,-8.844009219365603,6
21,-52.215048,15.0,18.441004729072834,-48.763962832524385,100,3.4410047290728336,3.451085167475618,6
22,-52.215048,10.0,13.091088249986635,-49.07952137327198,100,3.091088249986635,3.135526626728023,6
23,-52.215048,5.0,6.33527568834403,-55.504473800211834,100,1.33527568834403,-3.2894258002118306,6
24,-34.177172,5.0,6.547141202760509,-39.039020796930416,100,1.5471412027605087,-4.861848796930417,7
25,-34.177172,10.0,8.72116892832357,-38.0123644932902,100,-1.2788310716764304,-3.835192493290201,7
26,-34.177172,15.0,14.88262111039196,-35.49245980535105,100,-0.11737888960803922,-1.3152878053510477,7
27,-34.177172,24.0,21.774625411644312,-34.95998309190395,101,-2.225374588355688,-0.7828110919039517,7
