timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-22 14:46:56.828960,0,-126.044,5.000,5.1323,0.4613,-0.1694,0.0152,1
2026-06-22 14:46:58.833088,1,-126.044,10.000,10.2646,0.9226,-0.3387,0.0304,1
2026-06-22 14:47:00.829841,2,-126.044,15.000,15.3968,1.3839,-0.5081,0.0457,1
2026-06-22 14:47:02.830723,3,-126.044,24.000,24.6349,2.2142,-0.8130,0.0731,1
2026-06-22 14:47:04.830039,4,-109.519,24.000,25.3836,9.3213,-0.8377,0.3076,1
2026-06-22 14:47:06.834286,5,-109.519,15.000,15.8647,5.8258,-0.5235,0.1923,1
2026-06-22 14:47:08.830060,6,-109.519,10.000,10.5765,3.8839,-0.3490,0.1282,1
2026-06-22 14:47:10.830200,7,-109.519,5.000,5.2882,1.9419,-0.1745,0.0641,1
2026-06-22 14:47:12.830079,8,-92.995,5.000,5.0074,3.2621,-0.1652,0.1077,1
2026-06-22 14:47:14.830268,9,-92.995,10.000,10.0148,6.5243,-0.3305,0.2153,1
2026-06-22 14:47:16.830076,10,-92.995,15.000,15.0222,9.7864,-0.4957,0.3230,1
2026-06-22 14:47:18.832900,11,-92.995,24.000,24.0355,15.6583,-0.7932,0.5167,1
2026-06-22 14:47:20.831346,12,-76.470,24.000,20.7019,20.7019,-0.6832,0.6832,1
2026-06-22 14:47:22.830236,13,-76.470,15.000,12.9387,12.9387,-0.4270,0.4270,1
2026-06-22 14:47:24.829562,14,-76.470,10.000,8.6258,8.6258,-0.2847,0.2847,1
2026-06-22 14:47:26.830028,15,-76.470,5.000,4.3129,4.3129,-0.1423,0.1423,1
2026-06-22 14:47:28.831415,16,-59.946,5.000,3.2621,5.0074,-0.1077,0.1652,1
2026-06-22 14:47:30.832427,17,-59.946,10.000,6.5243,10.0148,-0.2153,0.3305,1
2026-06-22 14:47:32.829945,18,-59.946,15.000,9.7864,15.0222,-0.3230,0.4957,1
2026-06-22 14:47:34.834737,19,-59.946,24.000,15.6583,24.0355,-0.5167,0.7932,1
2026-06-22 14:47:36.830677,20,-43.421,24.000,9.3213,25.3836,-0.3076,0.8377,1
2026-06-22 14:47:38.829639,21,-43.421,15.000,5.8258,15.8647,-0.1923,0.5235,1
2026-06-22 14:47:40.829726,22,-43.421,10.000,3.8839,10.5765,-0.1282,0.3490,1
2026-06-22 14:47:42.832794,23,-43.421,5.000,1.9419,5.2882,-0.0641,0.1745,1
2026-06-22 14:47:44.830978,24,-26.896,5.000,0.4613,5.1323,-0.0152,0.1694,1
2026-06-22 14:47:46.830065,25,-26.896,10.000,0.9226,10.2646,-0.0304,0.3387,1
2026-06-22 14:47:48.830574,26,-26.896,15.000,1.3839,15.3968,-0.0457,0.5081,1
2026-06-22 14:47:50.830195,27,-26.896,24.000,2.2142,24.6349,-0.0731,0.8130,1
