timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-22 11:05:11.275056,0,-129.281,5.000,5.1531,0.4686,-0.1701,0.0155,1
2026-06-22 11:05:13.267798,1,-129.281,10.000,10.3063,0.9371,-0.3401,0.0309,1
2026-06-22 11:05:15.268772,2,-129.281,15.000,15.4594,1.4057,-0.5102,0.0464,1
2026-06-22 11:05:17.267038,3,-129.281,24.000,24.7351,2.2491,-0.8163,0.0742,1
2026-06-22 11:05:19.267127,4,-112.355,24.000,25.8046,9.6360,-0.8516,0.3180,1
2026-06-22 11:05:21.268218,5,-112.355,15.000,16.1279,6.0225,-0.5322,0.1987,1
2026-06-22 11:05:23.267393,6,-112.355,10.000,10.7519,4.0150,-0.3548,0.1325,1
2026-06-22 11:05:25.271351,7,-112.355,5.000,5.3760,2.0075,-0.1774,0.0662,1
2026-06-22 11:05:27.267465,8,-95.429,5.000,5.1330,3.3725,-0.1694,0.1113,1
2026-06-22 11:05:29.269807,9,-95.429,10.000,10.2660,6.7450,-0.3388,0.2226,1
2026-06-22 11:05:31.266722,10,-95.429,15.000,15.3990,10.1175,-0.5082,0.3339,1
2026-06-22 11:05:33.267256,11,-95.429,24.000,24.6384,16.1881,-0.8131,0.5342,1
2026-06-22 11:05:35.267472,12,-78.503,24.000,21.3376,21.3376,-0.7041,0.7041,1
2026-06-22 11:05:37.267161,13,-78.503,15.000,13.3360,13.3360,-0.4401,0.4401,1
2026-06-22 11:05:39.269881,14,-78.503,10.000,8.8907,8.8907,-0.2934,0.2934,1
2026-06-22 11:05:41.266917,15,-78.503,5.000,4.4453,4.4453,-0.1467,0.1467,1
2026-06-22 11:05:43.267861,16,-61.576,5.000,3.3725,5.1330,-0.1113,0.1694,1
2026-06-22 11:05:45.267279,17,-61.576,10.000,6.7450,10.2660,-0.2226,0.3388,1
2026-06-22 11:05:47.267029,18,-61.576,15.000,10.1175,15.3990,-0.3339,0.5082,1
2026-06-22 11:05:49.271892,19,-61.576,24.000,16.1881,24.6384,-0.5342,0.8131,1
2026-06-22 11:05:51.266820,20,-44.650,24.000,9.6360,25.8046,-0.3180,0.8516,1
2026-06-22 11:05:53.268582,21,-44.650,15.000,6.0225,16.1279,-0.1987,0.5322,1
2026-06-22 11:05:55.272366,22,-44.650,10.000,4.0150,10.7519,-0.1325,0.3548,1
2026-06-22 11:05:57.268208,23,-44.650,5.000,2.0075,5.3760,-0.0662,0.1774,1
2026-06-22 11:05:59.267726,24,-27.724,5.000,0.4686,5.1531,-0.0155,0.1701,1
2026-06-22 11:06:01.267410,25,-27.724,10.000,0.9371,10.3063,-0.0309,0.3401,1
2026-06-22 11:06:03.270724,26,-27.724,15.000,1.4057,15.4594,-0.0464,0.5102,1
2026-06-22 11:06:05.266871,27,-27.724,24.000,2.2491,24.7351,-0.0742,0.8163,1
