timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
1781176019.663701,0,-128.748,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176027.815575,1,-128.748,5.000,4.9744,0.4234,-0.1642,0.0140,1
1781176035.817964,2,-128.748,10.000,9.9476,0.8426,-0.3283,0.0278,1
1781176043.822446,3,-128.748,15.000,14.9179,1.2993,-0.4923,0.0429,1
1781176051.823071,4,-128.748,24.000,23.8712,2.1137,-0.7877,0.0698,1
1781176059.821312,5,-115.585,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176067.807817,6,-115.585,5.000,4.7179,1.5650,-0.1557,0.0516,1
1781176075.831998,7,-115.585,10.000,9.4510,3.1031,-0.3119,0.1024,1
1781176083.810622,8,-115.585,15.000,14.1691,4.6723,-0.4676,0.1542,1
1781176091.832775,9,-115.585,24.000,22.6855,7.4976,-0.7486,0.2474,1
1781176099.835267,10,-102.422,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176107.820196,11,-102.422,5.000,4.2252,2.6034,-0.1394,0.0859,1
1781176115.823269,12,-102.422,10.000,8.4615,5.2107,-0.2792,0.1720,1
1781176123.816946,13,-102.422,15.000,12.6914,7.7840,-0.4188,0.2569,1
1781176131.830035,14,-102.422,24.000,20.2692,12.4999,-0.6689,0.4125,1
1781176139.822559,15,-89.259,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176147.820114,16,-89.259,5.000,3.5072,3.4994,-0.1157,0.1155,1
1781176155.809355,17,-89.259,10.000,7.0155,6.9928,-0.2315,0.2308,1
1781176163.828509,18,-89.259,15.000,10.5179,10.4946,-0.3471,0.3463,1
1781176171.816697,19,-89.259,24.000,16.8426,16.8377,-0.5558,0.5556,1
1781176179.827440,20,-76.096,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176187.810042,21,-76.096,5.000,2.6029,4.2229,-0.0859,0.1394,1
1781176195.820021,22,-76.096,10.000,5.2031,8.4466,-0.1717,0.2787,1
1781176203.822602,23,-76.096,15.000,7.8139,12.6744,-0.2579,0.4183,1
1781176211.812378,24,-76.096,24.000,12.4804,20.2643,-0.4119,0.6687,1
1781176219.810463,25,-62.933,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176227.814895,26,-62.933,5.000,1.5568,4.7193,-0.0514,0.1557,1
1781176235.826425,27,-62.933,10.000,3.1137,9.4442,-0.1028,0.3117,1
1781176243.804532,28,-62.933,15.000,4.6725,14.1595,-0.1542,0.4673,1
1781176251.825032,29,-62.933,24.000,7.4506,22.6680,-0.2459,0.7480,1
1781176259.818907,30,-49.770,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781176267.800402,31,-49.770,5.000,0.4457,4.9722,-0.0147,0.1641,1
1781176275.836229,32,-49.770,10.000,0.8939,9.9446,-0.0295,0.3282,1
1781176283.823055,33,-49.770,15.000,1.3085,14.9168,-0.0432,0.4923,1
1781176291.829782,34,-49.770,24.000,2.0630,23.8681,-0.0681,0.7876,1
