timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-18 14:39:51.868320,0,-129.079,5.000,4.9760,0.4358,-0.1642,0.0144,1
2026-06-18 14:39:55.695654,1,-129.079,10.000,9.9520,0.8716,-0.3284,0.0288,1
2026-06-18 14:39:59.697561,2,-129.079,15.000,14.9280,1.3074,-0.4926,0.0431,1
2026-06-18 14:40:03.695185,3,-129.079,24.000,23.8847,2.0919,-0.7882,0.0690,1
2026-06-18 14:40:07.698218,4,-115.855,24.000,22.7103,7.5061,-0.7494,0.2477,1
2026-06-18 14:40:11.700237,5,-115.855,15.000,14.1939,4.6913,-0.4684,0.1548,1
2026-06-18 14:40:15.702001,6,-115.855,10.000,9.4626,3.1275,-0.3123,0.1032,1
2026-06-18 14:40:19.695466,7,-115.855,5.000,4.7313,1.5638,-0.1561,0.0516,1
2026-06-18 14:40:23.695200,8,-102.631,5.000,4.2357,2.6088,-0.1398,0.0861,1
2026-06-18 14:40:27.695289,9,-102.631,10.000,8.4714,5.2176,-0.2796,0.1722,1
2026-06-18 14:40:31.695578,10,-102.631,15.000,12.7071,7.8264,-0.4193,0.2583,1
2026-06-18 14:40:35.709055,11,-102.631,24.000,20.3314,12.5222,-0.6709,0.4132,1
2026-06-18 14:40:39.702046,12,-89.407,24.000,16.8743,16.8743,-0.5569,0.5569,1
2026-06-18 14:40:43.696441,13,-89.407,15.000,10.5464,10.5464,-0.3480,0.3480,1
2026-06-18 14:40:47.701109,14,-89.407,10.000,7.0309,7.0309,-0.2320,0.2320,1
2026-06-18 14:40:51.695376,15,-89.407,5.000,3.5155,3.5155,-0.1160,0.1160,1
2026-06-18 14:40:55.695037,16,-76.183,5.000,2.6088,4.2357,-0.0861,0.1398,1
2026-06-18 14:40:59.695266,17,-76.183,10.000,5.2176,8.4714,-0.1722,0.2796,1
2026-06-18 14:41:03.695320,18,-76.183,15.000,7.8264,12.7071,-0.2583,0.4193,1
2026-06-18 14:41:07.695673,19,-76.183,24.000,12.5222,20.3314,-0.4132,0.6709,1
2026-06-18 14:41:11.695372,20,-62.959,24.000,7.5061,22.7103,-0.2477,0.7494,1
2026-06-18 14:41:15.694938,21,-62.959,15.000,4.6913,14.1939,-0.1548,0.4684,1
2026-06-18 14:41:19.695383,22,-62.959,10.000,3.1275,9.4626,-0.1032,0.3123,1
2026-06-18 14:41:23.694556,23,-62.959,5.000,1.5638,4.7313,-0.0516,0.1561,1
2026-06-18 14:41:27.695357,24,-49.734,5.000,0.4358,4.9760,-0.0144,0.1642,1
2026-06-18 14:41:31.695573,25,-49.734,10.000,0.8716,9.9520,-0.0288,0.3284,1
2026-06-18 14:41:35.698392,26,-49.734,15.000,1.3074,14.9280,-0.0431,0.4926,1
2026-06-18 14:41:39.695336,27,-49.734,24.000,2.0919,23.8847,-0.0690,0.7882,1
