timestamp,Fx,Fy
2026-06-16 15:42:53.445173,-0.312000,-0.115000
2026-06-16 15:42:53.445929,-0.091000,0.019000
2026-06-16 15:42:53.447290,0.203000,0.099000
2026-06-16 15:42:53.454400,0.237000,0.077000
2026-06-16 15:42:53.459264,0.099000,0.016000
2026-06-16 15:42:53.462480,0.007000,-0.004000
2026-06-16 15:42:53.463941,-0.027000,-0.173000
2026-06-16 15:42:53.475606,-0.280000,-0.094000
2026-06-16 15:42:53.479166,0.006000,0.016000
2026-06-16 15:42:53.490926,0.191000,0.100000
2026-06-16 15:42:53.491507,0.257000,0.066000
2026-06-16 15:42:53.491732,0.008000,0.000000
2026-06-16 15:42:53.491919,0.043000,-0.033000
2026-06-16 15:42:53.492100,-0.006000,-0.196000
2026-06-16 15:42:53.492262,-0.279000,-0.163000
2026-06-16 15:42:53.492401,-0.010000,-0.068000
2026-06-16 15:42:53.492528,0.159000,-0.067000
2026-06-16 15:42:53.512487,0.127000,-0.132000
2026-06-16 15:42:53.516661,-0.044000,-0.237000
2026-06-16 15:42:53.516982,-0.117000,-0.295000
2026-06-16 15:42:53.517156,-0.205000,-0.465000
2026-06-16 15:42:53.517303,-0.500000,-0.453000
2026-06-16 15:42:53.518158,-0.214000,-0.330000
2026-06-16 15:42:53.520268,-0.085000,-0.289000
2026-06-16 15:42:53.521250,-0.084000,-0.306000
2026-06-16 15:42:53.521459,-0.226000,-0.381000
2026-06-16 15:42:53.521588,-0.377000,-0.435000
2026-06-16 15:42:53.521711,-0.424000,-0.545000
2026-06-16 15:42:53.521828,-0.746000,-0.558000
2026-06-16 15:42:53.521927,-0.527000,-0.489000
2026-06-16 15:42:53.522027,-0.382000,-0.418000
2026-06-16 15:42:53.527799,-0.302000,-0.471000
2026-06-16 15:42:53.535370,-0.410000,-0.593000
2026-06-16 15:42:53.540416,-0.578000,-0.643000
2026-06-16 15:42:53.559221,-0.604000,-0.717000
2026-06-16 15:42:53.582838,-0.927000,-0.779000
2026-06-16 15:42:53.596971,-0.708000,-0.648000
2026-06-16 15:42:53.605966,-0.510000,-0.580000
2026-06-16 15:42:53.617659,-0.486000,-0.647000
2026-06-16 15:42:53.622260,-0.612000,-0.755000
2026-06-16 15:42:53.622691,-0.725000,-0.822000
2026-06-16 15:42:53.626437,-0.846000,-0.944000
2026-06-16 15:42:53.629120,-1.165000,-1.045000
2026-06-16 15:42:53.630031,-1.028000,-0.914000
2026-06-16 15:42:53.630272,-0.728000,-0.796000
2026-06-16 15:42:53.630393,-0.841000,-0.832000
2026-06-16 15:42:53.630500,-0.924000,-0.913000
2026-06-16 15:42:53.630595,-1.011000,-0.990000
2026-06-16 15:42:53.631529,-1.125000,-1.086000
2026-06-16 15:42:53.647344,-1.433000,-1.203000
2026-06-16 15:42:53.649235,-1.197000,-1.108000
2026-06-16 15:42:53.651957,-0.962000,-1.037000
2026-06-16 15:42:53.652269,-0.934000,-1.095000
2026-06-16 15:42:53.652717,-1.103000,-1.188000
2026-06-16 15:42:53.654881,-1.264000,-1.237000
2026-06-16 15:42:53.655292,-1.326000,-1.329000
2026-06-16 15:42:53.655565,-1.637000,-1.415000
2026-06-16 15:42:53.655909,-1.428000,-1.318000
2026-06-16 15:42:53.656322,-1.215000,-1.236000
2026-06-16 15:42:53.668944,-1.275000,-1.285000
2026-06-16 15:42:53.674813,-1.313000,-1.382000
2026-06-16 15:42:53.677083,-1.481000,-1.450000
2026-06-16 15:42:53.680378,-1.498000,-1.479000
2026-06-16 15:42:53.681065,-1.857000,-1.619000
2026-06-16 15:42:53.695935,-1.682000,-1.512000
2026-06-16 15:42:53.699151,-1.436000,-1.408000
2026-06-16 15:42:53.699753,-1.569000,-1.483000
2026-06-16 15:42:53.730423,-1.551000,-1.567000
2026-06-16 15:42:53.741169,-1.739000,-1.651000
2026-06-16 15:42:53.745942,-1.847000,-1.710000
2026-06-16 15:42:53.749177,-2.157000,-1.916000
2026-06-16 15:42:53.749593,-2.025000,-1.843000
2026-06-16 15:42:53.751431,-1.831000,-1.802000
2026-06-16 15:42:53.752507,-1.857000,-1.860000
2026-06-16 15:42:53.767081,-1.973000,-1.971000
2026-06-16 15:42:53.777183,-2.170000,-2.111000
2026-06-16 15:42:53.793256,-2.267000,-2.150000
2026-06-16 15:42:53.824987,-2.685000,-2.342000
