timestamp,Fx,Fy
2026-06-15 18:21:58.509174,0.136000,0.174000
2026-06-15 18:21:58.516840,0.162000,0.137000
2026-06-15 18:21:58.517100,0.116000,0.025000
2026-06-15 18:21:58.517239,-0.004000,0.010000
2026-06-15 18:21:58.517371,-0.026000,-0.004000
2026-06-15 18:21:58.517493,-0.293000,-0.255000
2026-06-15 18:21:58.519103,-0.103000,-0.010000
2026-06-15 18:21:58.522585,0.126000,0.185000
2026-06-15 18:21:58.538044,0.165000,0.163000
2026-06-15 18:21:58.538902,0.124000,0.028000
2026-06-15 18:21:58.543770,-0.015000,0.005000
2026-06-15 18:21:58.564269,-0.066000,-0.025000
2026-06-15 18:21:58.579240,-0.307000,-0.264000
2026-06-15 18:21:58.581000,-0.128000,-0.000000
2026-06-15 18:21:58.582060,0.058000,0.182000
2026-06-15 18:21:58.582522,0.151000,0.177000
2026-06-15 18:21:58.582767,0.112000,0.024000
2026-06-15 18:21:58.583203,0.011000,-0.026000
2026-06-15 18:21:58.583631,-0.006000,-0.011000
2026-06-15 18:21:58.584043,-0.302000,-0.271000
2026-06-15 18:21:58.606237,-0.102000,0.003000
2026-06-15 18:21:58.613235,0.120000,0.143000
2026-06-15 18:21:58.615582,0.178000,0.170000
2026-06-15 18:21:58.618365,0.152000,0.021000
2026-06-15 18:21:58.624265,0.010000,-0.035000
2026-06-15 18:21:58.625693,-0.019000,-0.077000
2026-06-15 18:21:58.629823,-0.297000,-0.319000
2026-06-15 18:21:58.630312,-0.160000,-0.069000
2026-06-15 18:21:58.630822,0.077000,0.070000
2026-06-15 18:21:58.631335,0.181000,0.054000
2026-06-15 18:21:58.651339,0.114000,-0.071000
2026-06-15 18:21:58.654330,-0.048000,-0.140000
2026-06-15 18:21:58.660623,-0.096000,-0.192000
2026-06-15 18:21:58.662223,-0.437000,-0.505000
2026-06-15 18:21:58.692351,-0.329000,-0.253000
2026-06-15 18:21:58.703237,-0.086000,-0.108000
2026-06-15 18:21:58.708477,-0.035000,-0.086000
2026-06-15 18:21:58.715188,-0.115000,-0.284000
2026-06-15 18:21:58.715964,-0.274000,-0.337000
2026-06-15 18:21:58.716414,-0.388000,-0.349000
2026-06-15 18:21:58.716719,-0.665000,-0.652000
2026-06-15 18:21:58.717058,-0.532000,-0.448000
2026-06-15 18:21:58.717407,-0.302000,-0.261000
2026-06-15 18:21:58.717703,-0.262000,-0.286000
2026-06-15 18:21:58.717957,-0.331000,-0.483000
2026-06-15 18:21:58.718133,-0.490000,-0.549000
2026-06-15 18:21:58.718403,-0.557000,-0.590000
2026-06-15 18:21:58.736380,-0.899000,-0.907000
2026-06-15 18:21:58.742029,-0.764000,-0.712000
2026-06-15 18:21:58.742448,-0.550000,-0.545000
2026-06-15 18:21:58.742893,-0.497000,-0.550000
2026-06-15 18:21:58.743229,-0.598000,-0.756000
2026-06-15 18:21:58.743760,-0.795000,-0.776000
2026-06-15 18:21:58.744794,-0.844000,-0.859000
2026-06-15 18:21:58.745127,-1.143000,-1.161000
2026-06-15 18:21:58.745324,-1.097000,-0.959000
2026-06-15 18:21:58.745479,-0.895000,-0.828000
2026-06-15 18:21:58.745697,-0.831000,-0.830000
2026-06-15 18:21:58.745986,-0.910000,-1.072000
2026-06-15 18:21:58.746158,-1.106000,-1.127000
2026-06-15 18:21:58.746304,-1.143000,-1.157000
2026-06-15 18:21:58.746443,-1.498000,-1.490000
2026-06-15 18:21:58.756127,-1.440000,-1.246000
2026-06-15 18:21:58.757400,-1.200000,-1.084000
2026-06-15 18:21:58.762772,-1.050000,-1.032000
2026-06-15 18:21:58.764747,-1.082000,-1.219000
2026-06-15 18:21:58.765046,-1.245000,-1.260000
2026-06-15 18:21:58.765355,-1.261000,-1.255000
2026-06-15 18:21:58.765550,-1.572000,-1.556000
2026-06-15 18:21:58.765752,-1.484000,-1.267000
2026-06-15 18:21:58.765936,-1.198000,-1.077000
2026-06-15 18:21:58.766133,-1.086000,-1.046000
2026-06-15 18:21:58.783281,-1.118000,-1.231000
2026-06-15 18:21:58.788070,-1.294000,-1.249000
2026-06-15 18:21:58.789160,-1.415000,-1.327000
2026-06-15 18:21:58.793759,-1.619000,-1.622000
2026-06-15 18:21:58.797335,-1.534000,-1.411000
2026-06-15 18:21:58.798464,-1.324000,-1.270000
2026-06-15 18:21:58.803104,-1.241000,-1.231000
2026-06-15 18:21:58.818718,-1.282000,-1.410000
2026-06-15 18:21:58.824083,-1.447000,-1.477000
2026-06-15 18:21:58.826467,-1.477000,-1.471000
2026-06-15 18:21:58.830310,-1.735000,-1.735000
2026-06-15 18:21:58.833506,-1.671000,-1.467000
2026-06-15 18:21:58.841281,-1.426000,-1.284000
2026-06-15 18:21:58.848093,-1.293000,-1.265000
2026-06-15 18:21:58.856394,-1.284000,-1.427000
2026-06-15 18:21:58.870761,-1.463000,-1.491000
2026-06-15 18:21:58.873815,-1.511000,-1.466000
2026-06-15 18:21:58.874101,-1.750000,-1.774000
2026-06-15 18:21:58.874687,-1.733000,-1.542000
2026-06-15 18:21:58.888625,-1.568000,-1.380000
2026-06-15 18:21:58.889743,-1.350000,-1.306000
2026-06-15 18:21:58.896487,-1.417000,-1.505000
2026-06-15 18:21:58.898381,-1.526000,-1.533000
2026-06-15 18:21:58.898876,-1.566000,-1.540000
2026-06-15 18:21:58.899068,-1.797000,-1.860000
2026-06-15 18:21:58.900035,-1.763000,-1.608000
2026-06-15 18:21:58.900223,-1.549000,-1.411000
2026-06-15 18:21:58.900356,-1.410000,-1.337000
2026-06-15 18:21:58.900482,-1.426000,-1.517000
2026-06-15 18:21:58.900616,-1.539000,-1.521000
2026-06-15 18:21:58.900742,-1.583000,-1.565000
2026-06-15 18:21:58.908831,-1.784000,-1.847000
2026-06-15 18:21:58.909493,-1.771000,-1.583000
2026-06-15 18:21:58.909750,-1.601000,-1.354000
2026-06-15 18:21:58.910208,-1.387000,-1.422000
