timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-12 15:47:53.683358,0,-128.638,5.000,4.9726,0.4359,-0.1641,0.0144,1
2026-06-12 15:47:55.638160,1,-128.638,10.000,9.9508,0.8910,-0.3284,0.0294,1
2026-06-12 15:47:57.550499,2,-128.638,15.000,14.8870,1.7334,-0.4913,0.0572,1
2026-06-12 15:47:59.551915,3,-128.638,24.000,23.8744,2.1267,-0.7879,0.0702,1
2026-06-12 15:48:01.564624,4,-115.488,5.000,4.7236,1.5601,-0.1559,0.0515,1
2026-06-12 15:48:03.552294,5,-115.488,10.000,9.4615,3.1236,-0.3122,0.1031,1
2026-06-12 15:48:05.552156,6,-115.488,15.000,14.1826,4.6941,-0.4680,0.1549,1
2026-06-12 15:48:07.554953,7,-115.488,24.000,22.6754,7.5100,-0.7483,0.2478,1
2026-06-12 15:48:09.560829,8,-102.338,5.000,4.2218,2.6007,-0.1393,0.0858,1
2026-06-12 15:48:11.541084,9,-102.338,10.000,8.4666,5.2105,-0.2794,0.1719,1
2026-06-12 15:48:13.553091,10,-102.338,15.000,12.6863,7.8147,-0.4186,0.2579,1
2026-06-12 15:48:15.548819,11,-102.338,24.000,20.2633,12.4955,-0.6687,0.4124,1
2026-06-12 15:48:17.558640,12,-89.189,5.000,3.5003,3.5071,-0.1155,0.1157,1
2026-06-12 15:48:19.552484,13,-89.189,10.000,7.0136,7.0163,-0.2314,0.2315,1
2026-06-12 15:48:21.549763,14,-89.189,15.000,10.5051,10.5222,-0.3467,0.3472,1
2026-06-12 15:48:23.543642,15,-89.189,24.000,16.7850,16.8387,-0.5539,0.5557,1
2026-06-12 15:48:25.554456,16,-76.039,5.000,2.5813,4.2293,-0.0852,0.1396,1
2026-06-12 15:48:27.542390,17,-76.039,10.000,5.1986,8.4529,-0.1716,0.2789,1
2026-06-12 15:48:29.562165,18,-76.039,15.000,7.7659,12.6811,-0.2563,0.4185,1
2026-06-12 15:48:31.559469,19,-76.039,24.000,12.4063,20.2934,-0.4094,0.6697,1
2026-06-12 15:48:33.544828,20,-62.889,5.000,1.5354,4.7256,-0.0507,0.1559,1
2026-06-12 15:48:35.546646,21,-62.889,10.000,3.1069,9.4483,-0.1025,0.3118,1
2026-06-12 15:48:37.552789,22,-62.889,15.000,4.6408,14.1727,-0.1531,0.4677,1
2026-06-12 15:48:39.538850,23,-62.889,24.000,7.4167,22.6778,-0.2448,0.7484,1
2026-06-12 15:48:41.555881,24,-49.740,5.000,0.4111,4.9741,-0.0136,0.1641,1
2026-06-12 15:48:43.567294,25,-49.740,10.000,0.8652,9.9467,-0.0286,0.3282,1
2026-06-12 15:48:45.557103,26,-49.740,15.000,1.2891,14.9203,-0.0425,0.4924,1
2026-06-12 15:48:47.550389,27,-49.740,24.000,1.9889,23.8753,-0.0656,0.7879,1
