step,angle,given_mag,mean_meas,mean_dir,n,mean_err,dir_err,angle_group
0,-131.767436,5.0,2.0879310750191733,-126.6830947710958,100,-2.9120689249808267,5.084341228904208,1
1,-131.767436,10.0,6.003272838119982,-137.01134951408167,100,-3.9967271618800178,-5.243913514081669,1
2,-131.767436,15.0,10.678485899227105,-133.86183682665927,100,-4.3215141007728946,-2.0944008266592675,1
3,-131.767436,24.0,18.19509936058258,-135.34345699734308,100,-5.8049006394174185,-3.576020997343079,1
4,-121.475667,24.0,18.78768394781985,-124.61065842901148,100,-5.2123160521801495,-3.134991429011478,2
5,-121.475667,15.0,16.607056346666766,-126.38494353249193,100,1.6070563466667664,-4.90927653249193,2
6,-121.475667,10.0,10.687082520562713,-124.66376456866774,100,0.6870825205627131,-3.188097568667743,2
7,-121.475667,5.0,5.588111259055609,-124.87952330136018,100,0.5881112590556086,-3.403856301360179,2
8,-111.183899,5.0,4.90462076094348,-115.49657629913075,100,-0.0953792390565198,-4.312677299130755,3
9,-111.183899,10.0,7.316430704102846,-113.0554873029803,100,-2.683569295897154,-1.8715883029802995,3
10,-111.183899,15.0,10.361999549383574,-109.94700499199739,100,-4.638000450616426,1.2368940080026078,3
11,-111.183899,24.0,18.639414992251808,-108.63624437956406,100,-5.360585007748192,2.547654620435935,3
12,-100.892131,24.0,21.06836322119505,-101.21867562485114,100,-2.9316367788049504,-0.3265446248511381,4
13,-100.892131,15.0,15.669904506560762,-100.35308048890245,100,0.6699045065607621,0.5390505110975568,4
14,-100.892131,10.0,11.19511478317129,-102.93053551419801,88,1.1951147831712898,-2.0384045141980067,4
15,-100.892131,5.0,4.891051467397758,-105.28459500465537,101,-0.10894853260224213,-4.392464004655366,4
16,-90.600362,5.0,4.155996281040878,-87.76724795136992,100,-0.8440037189591223,2.8331140486300797,5
17,-90.600362,10.0,8.229788011818021,-82.40655495605472,100,-1.7702119881819787,8.193807043945284,5
18,-90.600362,15.0,11.854444306125949,-85.20824719079916,100,-3.1455556938740514,5.392114809200848,5
19,-90.600362,24.0,19.52764857786625,-85.68609567709915,100,-4.472351422133752,4.914266322900858,5
20,-80.308594,24.0,21.311784988724618,-83.08560327434616,100,-2.688215011275382,-2.777009274346156,6
21,-80.308594,15.0,15.49256329300475,-80.85116077837463,100,0.4925632930047499,-0.5425667783746349,6
22,-80.308594,10.0,11.137484088690137,-77.0588834894361,100,1.1374840886901367,3.249710510563901,6
23,-80.308594,5.0,5.356837206194828,-75.54394099667992,100,0.35683720619482795,4.764653003320078,6
24,-70.016825,5.0,5.477079720180447,-61.488887008738246,100,0.47707972018044664,8.527937991261751,7
25,-70.016825,10.0,9.230297687831634,-63.923498445291706,100,-0.7697023121683664,6.093326554708291,7
26,-70.016825,15.0,13.123485005966351,-65.95738373903947,100,-1.8765149940336485,4.059441260960526,7
27,-70.016825,24.0,20.243526067552615,-66.26672763206963,101,-3.756473932447385,3.7500973679303655,7
