timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
2026-06-22 16:41:02.843839,0,-131.767,5.000,4.8373,0.4589,-0.1596,0.0151,1
2026-06-22 16:41:06.838193,1,-131.767,10.000,9.6746,0.9177,-0.3193,0.0303,1
2026-06-22 16:41:10.838259,2,-131.767,15.000,14.5118,1.3766,-0.4789,0.0454,1
2026-06-22 16:41:14.840009,3,-131.767,24.000,23.2189,2.2025,-0.7662,0.0727,1
2026-06-22 16:41:18.837738,4,-121.476,24.000,21.0632,6.6649,-0.6951,0.2199,1
2026-06-22 16:41:22.841664,5,-121.476,15.000,13.1645,4.1655,-0.4344,0.1375,1
2026-06-22 16:41:26.837966,6,-121.476,10.000,8.7763,2.7770,-0.2896,0.0916,1
2026-06-22 16:41:30.837970,7,-121.476,5.000,4.3882,1.3885,-0.1448,0.0458,1
2026-06-22 16:41:34.838068,8,-111.184,5.000,3.7978,2.2735,-0.1253,0.0750,1
2026-06-22 16:41:38.837827,9,-111.184,10.000,7.5957,4.5470,-0.2507,0.1500,1
2026-06-22 16:41:42.838024,10,-111.184,15.000,11.3935,6.8205,-0.3760,0.2251,1
2026-06-22 16:41:46.838209,11,-111.184,24.000,18.2296,10.9127,-0.6016,0.3601,1
2026-06-22 16:41:50.837853,12,-100.892,24.000,14.8094,14.8094,-0.4887,0.4887,1
2026-06-22 16:41:54.838000,13,-100.892,15.000,9.2559,9.2559,-0.3054,0.3054,1
2026-06-22 16:41:58.841872,14,-100.892,10.000,6.1706,6.1706,-0.2036,0.2036,1
2026-06-22 16:42:02.717611,15,-100.892,5.000,3.0853,3.0853,-0.1018,0.1018,1
2026-06-22 16:42:06.838353,16,-90.600,5.000,2.2735,3.7978,-0.0750,0.1253,1
2026-06-22 16:42:10.838270,17,-90.600,10.000,4.5470,7.5957,-0.1500,0.2507,1
2026-06-22 16:42:14.841542,18,-90.600,15.000,6.8205,11.3935,-0.2251,0.3760,1
2026-06-22 16:42:18.842269,19,-90.600,24.000,10.9127,18.2296,-0.3601,0.6016,1
2026-06-22 16:42:22.837399,20,-80.309,24.000,6.6649,21.0632,-0.2199,0.6951,1
2026-06-22 16:42:26.838298,21,-80.309,15.000,4.1655,13.1645,-0.1375,0.4344,1
2026-06-22 16:42:30.838324,22,-80.309,10.000,2.7770,8.7763,-0.0916,0.2896,1
2026-06-22 16:42:34.837717,23,-80.309,5.000,1.3885,4.3882,-0.0458,0.1448,1
2026-06-22 16:42:38.838459,24,-70.017,5.000,0.4589,4.8373,-0.0151,0.1596,1
2026-06-22 16:42:42.838118,25,-70.017,10.000,0.9177,9.6746,-0.0303,0.3193,1
2026-06-22 16:42:46.838761,26,-70.017,15.000,1.3766,14.5118,-0.0454,0.4789,1
2026-06-22 16:42:50.838310,27,-70.017,24.000,2.2025,23.2189,-0.0727,0.7662,1
