method,scope,distance_low_m,distance_high_m,distance_center_m,static_pairs,jitter_x_mm,jitter_y_mm,jitter_z_mm,jitter_3d_mm
C1-M1,native held-out detections,0.25,0.4,0.325,10,0.4117841114992318,0.8596685840700128,1.1099901651274882,1.463104369346186
C1-M1,native held-out detections,0.4,0.55,0.47500000000000003,61,3.3268252565546605,1.0491559088666391,3.7432808507398776,5.11670264294063
C1-M1,native held-out detections,0.55,0.7,0.625,28,3.5855531022513576,0.5341241698462179,6.841288214137267,7.742396535102792
C1-M1,native held-out detections,0.7,0.9,0.8,20,4.667757562371403,0.3791106595028781,6.146664702318657,7.727429877776584
C1-M2,native held-out detections,0.25,0.4,0.325,9,,,,
C1-M2,native held-out detections,0.4,0.55,0.47500000000000003,37,1.5720266269071772,0.6108276793007374,4.196602114010673,4.522814109912537
C1-M2,native held-out detections,0.55,0.7,0.625,12,2.0984914162797677,0.6352452675494838,6.647849965497089,7.000079423685387
C1-M2,native held-out detections,0.7,0.9,0.8,4,,,,
C1-M3,native held-out detections,0.25,0.4,0.325,9,,,,
C1-M3,native held-out detections,0.4,0.55,0.47500000000000003,37,0.9679327417605759,0.5109436921504354,3.7618480066432864,3.917838393069134
C1-M3,native held-out detections,0.55,0.7,0.625,0,,,,
C1-M3,native held-out detections,0.7,0.9,0.8,0,,,,
C2-M1,native held-out detections,0.25,0.4,0.325,10,2.117468164300386,1.5417158331108896,4.925149423501578,5.578320175528505
C2-M1,native held-out detections,0.4,0.55,0.47500000000000003,59,2.1102249520963126,0.6735303539751982,3.1869052383015766,3.881115494814586
C2-M1,native held-out detections,0.55,0.7,0.625,35,2.4593175017433957,0.4475800998564957,6.317409257492537,6.793984857712102
C2-M1,native held-out detections,0.7,0.9,0.8,25,2.97536275300032,0.5294257938403872,4.096711985079513,5.090788177858051
C2-M2,native held-out detections,0.25,0.4,0.325,8,,,,
C2-M2,native held-out detections,0.4,0.55,0.47500000000000003,35,1.4538255504725686,0.5234316285397965,2.9012053610505575,3.2870323922880935
C2-M2,native held-out detections,0.55,0.7,0.625,10,3.0722103715461957,0.3460062348961075,7.386077630836051,8.007018149745864
C2-M2,native held-out detections,0.7,0.9,0.8,1,,,,
C2-M3,native held-out detections,0.25,0.4,0.325,8,,,,
C2-M3,native held-out detections,0.4,0.55,0.47500000000000003,35,1.176781410367527,0.4851190198190099,2.807243388506571,3.082331973277797
C2-M3,native held-out detections,0.55,0.7,0.625,2,,,,
C2-M3,native held-out detections,0.7,0.9,0.8,0,,,,
