method,cameras,markers,marker_ids,depth_low_m,depth_high_m,depth_m,pose_samples,static_pairs,static_jitter_3d_mm,dynamic_position_rmse_mm,velocity_error_rmse_mm_s,acceleration_error_rmse_m_s2,jerk_error_rmse_m_s3,path_length_ratio,dynamic_samples,dynamic_pairs,acceleration_samples,jerk_samples
C1-M1,1,1,12,0.25,0.3,0.29118370181695674,103,24,7.017881730716638,11.227548417808437,211.7624270265675,9.579641292409496,500.95134389893394,1.13819739943608,82,75,74,73
C1-M1,1,1,12,0.3,0.35,0.3215228995143671,76,3,,14.451512522511468,232.33567553125113,12.291183038928507,694.1374436024839,1.2249758013092027,74,66,61,55
C1-M1,1,1,12,0.35,0.39999999999999997,0.37167553120131036,97,9,2.975865281398066,8.457814130349,126.67412402873491,5.835561074865502,307.51866242816993,1.039654762610625,90,83,81,77
C1-M1,1,1,12,0.39999999999999997,0.44999999999999996,0.41833964917620936,45,0,,9.187581126716216,177.21269360690687,8.667552767601638,470.44550092019136,1.1144454708357328,45,42,39,36
C1-M1,1,1,12,0.44999999999999996,0.49999999999999994,0.48505268444450905,90,46,3.9388048282967407,9.93049977348977,238.8958842814958,11.202059088751222,569.0521607122934,1.2470212254699706,47,38,38,37
C1-M1,1,1,12,0.49999999999999994,0.5499999999999999,0.5370382591068934,66,3,,17.090363061988747,386.78918205969865,19.43897431412647,1010.2844403812416,1.2631596385771442,63,54,47,41
C1-M1,1,1,12,0.5499999999999999,0.5999999999999999,0.5636420384342893,111,11,9.740050757637308,15.21859489562244,396.44869154843815,19.45119481446111,1022.7081908802277,1.3356432668290827,98,88,82,75
C1-M1,1,1,12,0.5999999999999999,0.6499999999999999,0.6271189113928266,81,22,7.467586124666362,22.079600020214293,286.8300593900687,13.62479279059176,690.2103155566688,1.5583263703482368,62,56,56,55
C1-M2,1,2,12+20,0.25,0.3,0.2906853284273945,62,13,2.9340648160294363,8.888777405433782,116.1227412434476,4.969644513167911,252.73496104645344,1.0353823206419168,46,35,26,20
C1-M2,1,2,12+20,0.3,0.35,0.31303138538159336,34,0,,9.903226789720163,168.6002225792501,9.655478577349811,594.0423372275595,1.1518960443996897,31,24,17,12
C1-M2,1,2,12+20,0.35,0.39999999999999997,0.37093542752531306,24,0,,10.385568792079562,73.99326743817493,3.4003476845182856,176.64624746496116,0.951680689853406,15,10,5,4
C1-M2,1,2,12+20,0.39999999999999997,0.44999999999999996,0.41825039502749733,40,0,,7.855921795477439,140.4140508446532,6.654065624504312,365.0447104609644,1.1183380726949805,39,34,29,24
C1-M2,1,2,12+20,0.44999999999999996,0.49999999999999994,0.48369914974407674,64,33,4.557266253631047,10.850707647947177,186.89063278301768,8.201377815322072,431.51188187210107,1.1097027057614126,29,23,24,23
C1-M2,1,2,12+20,0.49999999999999994,0.5499999999999999,0.5319416016352814,43,0,,12.631896742097567,169.0607964044956,7.388509081172258,377.6150799142328,1.033105723252637,43,36,29,24
C1-M2,1,2,12+20,0.5499999999999999,0.5999999999999999,0.5776093772468975,67,1,,12.236491990375306,281.7280235116718,13.945960310514957,755.662225179379,1.221588745959196,66,57,50,44
C1-M2,1,2,12+20,0.5999999999999999,0.6499999999999999,0.627889737375709,77,15,6.265256459554566,16.13224395649537,222.62586768496504,11.763429961525256,655.7122496956595,1.4333096615116294,62,56,56,55
C1-M3,1,3,4+12+20,0.25,0.3,0.29140657922592506,56,13,1.1410531472010685,7.195251233170161,80.1420243850575,3.008745145362225,129.70628527829933,1.0149689911981181,38,28,20,17
C1-M3,1,3,4+12+20,0.3,0.35,0.31343206730959694,30,0,,7.855698694528814,112.3922544134481,6.155156492132492,354.4391634609329,1.1178734468324105,25,20,15,12
C1-M3,1,3,4+12+20,0.35,0.39999999999999997,0.36730168219394993,16,0,,10.231500855548378,87.67989410103132,4.524649425615917,219.92278443488442,0.9740328179715142,11,8,5,4
C1-M3,1,3,4+12+20,0.39999999999999997,0.44999999999999996,0.4185430239110838,38,0,,6.85321101557671,110.46221640532393,5.20689681067565,262.89437345092756,1.0494809189505625,37,32,27,23
C1-M3,1,3,4+12+20,0.44999999999999996,0.49999999999999994,0.48369914974407674,64,33,4.108274867407039,11.112411306239649,273.41876733336574,12.316372247907632,626.6314530980856,1.168958624380149,29,23,24,23
C1-M3,1,3,4+12+20,0.49999999999999994,0.5499999999999999,0.5314131540717723,35,0,,12.473972597197589,211.02453715532286,10.246468651366062,565.1160763158026,0.974486528230603,35,26,17,13
C1-M3,1,3,4+12+20,0.5499999999999999,0.5999999999999999,0.5730932464124303,38,0,,12.736463958271182,146.65144704228712,7.353119571412767,400.66449125872066,1.0990465487320906,36,32,28,25
C1-M3,1,3,4+12+20,0.5999999999999999,0.6499999999999999,0.6294060237103716,14,0,,7.0436410494266894,154.19573911120128,1.695145543352403,83.67332665137464,1.2258686371854797,10,7,4,3
C2-M1,2,1,12,0.25,0.3,0.2907695505948316,103,25,4.193306505494185,18.259237268751267,650.5688769167393,34.168312300212115,2035.4165778040713,1.359794528993188,81,69,68,64
C2-M1,2,1,12,0.3,0.35,0.31983551574856073,71,1,,17.81186929384844,603.3733182646923,35.10055888451985,2276.1551454635123,1.3345112718935266,70,62,55,48
C2-M1,2,1,12,0.35,0.39999999999999997,0.37126016017851154,88,10,4.705514238805987,18.773469018207532,493.8092168148366,28.541720505944248,1821.9946918519063,1.1887625246068954,79,70,66,60
C2-M1,2,1,12,0.39999999999999997,0.44999999999999996,0.41831006291440415,44,1,,18.77059979338826,385.80889239070257,19.298461968798037,1155.6890146406972,1.0877083953919107,42,36,30,25
C2-M1,2,1,12,0.44999999999999996,0.49999999999999994,0.4850457706161937,89,43,2.472933282379051,29.241717756009628,827.1408576161033,46.62726178375681,2672.0430008554104,1.3994813621100584,44,37,35,32
C2-M1,2,1,12,0.49999999999999994,0.5499999999999999,0.5365026188296731,65,4,3.736876495963288,35.428760372227714,1069.2812779374933,58.92935304720336,3846.62759327168,1.6037935739203348,59,50,45,39
C2-M1,2,1,12,0.5499999999999999,0.5999999999999999,0.5636822329531431,111,17,6.535549773302975,32.92349973379912,1271.3267092382753,69.21796352867308,4254.786932566887,1.5969265593278976,92,78,71,60
C2-M1,2,1,12,0.5999999999999999,0.6499999999999999,0.627267777171337,81,25,6.873738150025294,27.88596098945444,527.3683126959817,32.059132078652276,1573.5953544858532,1.7134623172268375,57,48,49,46
C2-M2,2,2,12+20,0.25,0.3,0.2910295609070252,54,14,3.569729925416775,12.619095267585003,507.16231748822327,26.374703238992193,1338.7478423159766,1.308094139589677,31,22,19,14
C2-M2,2,2,12+20,0.3,0.35,0.3108698881942048,23,0,,13.052741167645781,161.77146901648385,5.273173887438563,295.3900649151729,1.0443144098743762,21,15,9,7
C2-M2,2,2,12+20,0.35,0.39999999999999997,0.36935602420330077,15,0,,8.176813736228794,413.8806719758158,3.738681971765058,198.91794561871447,1.2861754762575637,7,5,3,2
C2-M2,2,2,12+20,0.39999999999999997,0.44999999999999996,0.4192977362026977,34,1,,12.903994988098072,238.66499066754136,10.119475979149506,378.90849078625683,1.0343694172722455,30,23,16,12
C2-M2,2,2,12+20,0.44999999999999996,0.49999999999999994,0.48375765753958844,60,28,2.047063187229389,20.784570629441124,899.799584358513,50.72572781755715,3002.852368263662,1.4082458710697805,27,22,21,18
C2-M2,2,2,12+20,0.49999999999999994,0.5499999999999999,0.5315412625119604,41,0,,30.132314286852267,1030.240236266962,59.57445873159073,4085.194981148626,1.4334873857986885,37,32,27,22
C2-M2,2,2,12+20,0.5499999999999999,0.5999999999999999,0.5782429164402701,63,3,,23.50014045341142,1123.5822640434174,64.11545269376712,4133.728974995962,1.4722506550955492,60,49,42,33
C2-M2,2,2,12+20,0.5999999999999999,0.6499999999999999,0.6295262917266295,62,7,8.148315945155023,22.546431755904717,450.52098627933395,27.59423726333481,1276.895674017325,1.484372508492714,57,48,49,45
C2-M3,2,3,4+12+20,0.25,0.3,0.2912895712192188,41,14,2.9917164314078137,10.276482877785343,370.7904203433528,20.967647573215228,1084.7026299153356,1.2192302321827295,21,14,13,10
C2-M3,2,3,4+12+20,0.3,0.35,0.313253791582768,12,0,,11.79942207136972,120.34839644831975,4.938238716157141,238.83917305895247,1.0708950303326563,11,8,5,4
C2-M3,2,3,4+12+20,0.35,0.39999999999999997,0.36656492050172396,10,0,,5.275754543915055,83.866050757989,3.6475218429254013,171.25373282394455,1.0175571010019089,5,4,3,2
C2-M3,2,3,4+12+20,0.39999999999999997,0.44999999999999996,0.4196314957250854,33,1,,11.704990292387635,198.8145603695165,8.594396769552015,349.41294975967514,0.9959784677074566,30,23,16,12
C2-M3,2,3,4+12+20,0.44999999999999996,0.49999999999999994,0.4837950970945152,59,28,2.2338565592834265,18.38416850919132,745.0795950819934,43.884337865109096,2667.8695297357003,1.256821046296438,26,20,18,15
C2-M3,2,3,4+12+20,0.49999999999999994,0.5499999999999999,0.5349368308408124,28,0,,20.09982059332978,554.0057422863433,32.85046477422688,2361.4063972400468,1.1439707197928835,20,17,14,11
C2-M3,2,3,4+12+20,0.5499999999999999,0.5999999999999999,0.574772715797714,35,1,,16.334481362099325,416.4400223187589,25.55581274176527,1755.3778334093272,1.1755478083772342,33,28,25,21
C2-M3,2,3,4+12+20,0.5999999999999999,0.6499999999999999,0.6235017073740261,8,0,,16.992205946846926,130.30690147011475,6.562233867257282,396.28268120609516,1.0713454579782626,6,4,2,1
