Format Version,1.23,Take Name,linear_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-17 05.09.03.780 PM,Total Frames in Take,2705,Total Exported Frames,2705,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5
,ID,"98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","CA830","CA830","CA830","CA840","CA840","CA840","CA8D0","CA8D0","CA8D0","CA6B0","CA6B0","CA6B0","CA860","CA860","CA860","CA920","CA920","CA920","CA950","CA950","CA950","CA0B0","CA0B0","CA0B0","C9890","C9890","C9890","CA940","CA940","CA940"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000530,0.387078,-0.021835,-0.921788,0.435167,0.786317,0.514739,0.000440,0.387895,0.773398,0.460252,0.862688,0.489920,0.771842,0.470533,0.935097,0.387348,0.774703,0.500010,0.980062,0.484390,0.772675,0.514399,0.885771,0.426280,0.838966,0.628501,0.832278,-0.000517,0.003038,0.001944,-0.999993,0.187331,0.725548,0.904207,0.001060,0.243433,0.753994,1.142137,0.774913,0.665370,0.712410,1.218681,0.853092,-0.315772,0.724964,0.471261,0.000001,-0.321666,0.725593,1.214475,0.874071,0.665287,0.710780,0.474481,0.860377,0.387903,0.773125,0.459776,0.490072,0.771742,0.470347,0.387381,0.774715,0.499938,0.483987,0.772851,0.514523,0.426491,0.839150,0.629110,0.244026,0.754240,1.142768,0.665204,0.712362,1.218120,-0.318461,0.720435,0.471908,-0.321696,0.725484,1.213984,0.664933,0.710743,0.474911
1,0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000516,0.003037,0.001921,-0.999994,0.187337,0.725541,0.904205,0.001070,0.243439,0.753990,1.142134,0.774630,0.665378,0.712426,1.218677,0.854474,-0.315767,0.724931,0.471260,0.000001,-0.321658,0.725563,1.214474,0.874783,0.665293,0.710793,0.474477,0.857846,0.387902,0.773108,0.459772,0.490075,0.771756,0.470358,0.387376,0.774731,0.499940,0.483986,0.772857,0.514534,0.426502,0.839114,0.629108,0.244053,0.754235,1.142748,0.665202,0.712378,1.218125,-0.318462,0.720425,0.471910,-0.321691,0.725454,1.213987,0.664930,0.710758,0.474914
2,0.020000,-0.000550,0.387090,-0.021813,-0.921784,0.435171,0.786311,0.514739,0.000436,0.387900,0.773396,0.460250,0.860700,0.489925,0.771837,0.470534,0.935783,0.387352,0.774699,0.500008,0.979850,0.484394,0.772667,0.514400,0.883940,0.426283,0.838954,0.628503,0.833214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387910,0.773116,0.459769,0.490073,0.771731,0.470352,0.387380,0.774717,0.499935,0.483991,0.772858,0.514531,0.426500,0.839131,0.629109,0.244040,0.754242,1.142756,0.665200,0.712363,1.218115,-0.318461,0.720432,0.471909,-0.321699,0.725468,1.213988,0.664930,0.710762,0.474913
3,0.030000,-0.000490,0.387104,-0.021652,-0.921782,0.435172,0.786331,0.514745,0.000440,0.387898,0.773433,0.460254,0.860700,0.489922,0.771839,0.470541,0.935783,0.387350,0.774735,0.500012,0.979850,0.484390,0.772670,0.514406,0.883940,0.426299,0.838975,0.628510,0.833214,-0.000524,0.003037,0.001940,-0.999993,0.187334,0.725543,0.904204,0.001069,0.243437,0.753986,1.142134,0.774630,0.665375,0.712406,1.218677,0.854474,-0.315770,0.724959,0.471258,0.000001,-0.321662,0.725579,1.214473,0.874783,0.665290,0.710784,0.474477,0.857846,0.387906,0.773137,0.459789,0.490076,0.771733,0.470335,0.387391,0.774789,0.499956,0.483996,0.772845,0.514529,0.426491,0.839149,0.629115,0.244040,0.754248,1.142752,0.665200,0.712349,1.218114,-0.318463,0.720431,0.471907,-0.321688,0.725463,1.213985,0.664930,0.710747,0.474920
4,0.040000,-0.000551,0.387070,-0.021839,-0.921791,0.435167,0.786315,0.514737,0.000445,0.387895,0.773397,0.460251,0.861960,0.489920,0.771843,0.470530,0.930677,0.387349,0.774701,0.500008,0.977987,0.484391,0.772674,0.514396,0.887853,0.426281,0.838960,0.628501,0.835377,-0.000510,0.003037,0.001931,-0.999993,0.187333,0.725544,0.904204,0.001066,0.243436,0.753995,1.142133,0.774407,0.665375,0.712423,1.218677,0.851844,-0.315771,0.724940,0.471259,0.000001,-0.321662,0.725581,1.214474,0.874374,0.665289,0.710781,0.474477,0.857004,0.387891,0.773107,0.459753,0.490067,0.771727,0.470336,0.387382,0.774732,0.499940,0.484003,0.772871,0.514534,0.426493,0.839140,0.629123,0.244041,0.754253,1.142756,0.665202,0.712369,1.218116,-0.318462,0.720431,0.471912,-0.321693,0.725466,1.213985,0.664931,0.710744,0.474914
5,0.050000,-0.000634,0.387043,-0.021772,-0.921805,0.435172,0.786310,0.514739,0.000430,0.387895,0.773406,0.460253,0.862992,0.489921,0.771844,0.470525,0.932838,0.387352,0.774701,0.500011,0.979226,0.484395,0.772666,0.514391,0.882210,0.426297,0.838932,0.628514,0.836126,-0.000508,0.003037,0.001935,-0.999993,0.187337,0.725540,0.904197,0.001069,0.243440,0.753992,1.142126,0.773661,0.665378,0.712417,1.218670,0.854168,-0.315767,0.724938,0.471252,0.000001,-0.321659,0.725582,1.214466,0.874838,0.665293,0.710772,0.474469,0.857686,0.387913,0.773123,0.459783,0.490066,0.771727,0.470331,0.387378,0.774730,0.499937,0.483993,0.772869,0.514531,0.426510,0.839100,0.629110,0.244057,0.754244,1.142738,0.665202,0.712365,1.218116,-0.318456,0.720437,0.471910,-0.321694,0.725469,1.213980,0.664930,0.710736,0.474907
