Format Version,1.23,Take Name,rotation_random_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-17 05.11.53.592 PM,Total Frames in Take,2772,Total Exported Frames,2772,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5
,ID,"98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","CAB50","CAB50","CAB50","CAA90","CAA90","CAA90","CAA50","CAA50","CAA50","CAA10","CAA10","CAA10","CA860","CA860","CA860","CA980","CA980","CA980","CAB60","CAB60","CAB60","CA0B0","CA0B0","CA0B0","CAB80","CAB80","CAB80","CAAE0","CAAE0","CAAE0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.007596,0.365249,-0.027168,-0.930482,0.334061,0.782903,0.457813,0.000286,0.284351,0.768761,0.405859,0.931640,0.386749,0.767690,0.411400,0.943130,0.285652,0.770865,0.445565,0.926535,0.383265,0.769391,0.455451,0.898868,0.330290,0.837808,0.570790,0.913002,-0.000722,0.003339,0.002219,-0.999992,0.186673,0.725627,0.904155,0.000759,0.242648,0.753944,1.142131,0.828605,0.664517,0.712097,1.218912,0.938652,-0.316169,0.725496,0.470906,0.000001,-0.322509,0.725824,1.214117,0.956902,0.664881,0.710772,0.474711,0.911124,0.284530,0.768866,0.405680,0.386905,0.767632,0.411244,0.285583,0.770580,0.445590,0.382868,0.769462,0.455483,0.330420,0.837974,0.571066,0.242221,0.753885,1.142663,0.664560,0.712156,1.218677,-0.318386,0.720563,0.472284,-0.322365,0.725884,1.214045,0.665143,0.710763,0.474471
1,0.010000,0.007852,0.365513,-0.026189,-0.930405,0.334098,0.782989,0.457815,0.000258,0.284389,0.768960,0.405828,0.946618,0.386782,0.767682,0.411429,0.941512,0.285671,0.771051,0.445536,0.969265,0.383276,0.769379,0.455478,0.898885,0.330371,0.837874,0.570804,0.931106,-0.000742,0.003342,0.002242,-0.999992,0.186674,0.725644,0.904156,0.000758,0.242649,0.753950,1.142133,0.828868,0.664515,0.712081,1.218915,0.938551,-0.316165,0.725553,0.470903,0.000001,-0.322511,0.725852,1.214114,0.958963,0.664884,0.710784,0.474714,0.911066,0.284514,0.768866,0.405683,0.386906,0.767620,0.411240,0.285771,0.771060,0.445607,0.382875,0.769436,0.455486,0.330423,0.837965,0.571058,0.242222,0.753873,1.142662,0.664572,0.712147,1.218685,-0.318379,0.720548,0.472276,-0.322380,0.725920,1.214042,0.665145,0.710777,0.474472
2,0.020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284520,0.768840,0.405656,0.386911,0.767621,0.411241,0.285780,0.771056,0.445615,0.382882,0.769465,0.455487,0.330453,0.837942,0.571051,0.242224,0.753888,1.142659,0.664577,0.712135,1.218689,-0.318381,0.720568,0.472286,-0.322388,0.725920,1.214042,0.665148,0.710772,0.474480
3,0.030000,0.007614,0.365260,-0.027104,-0.930480,0.334061,0.782898,0.457810,0.000283,0.284350,0.768764,0.405854,0.946618,0.386748,0.767678,0.411398,0.941512,0.285650,0.770867,0.445560,0.969265,0.383262,0.769379,0.455449,0.898885,0.330293,0.837802,0.570787,0.931106,-0.000731,0.003340,0.002228,-0.999992,0.186679,0.725640,0.904156,0.000763,0.242654,0.753953,1.142132,0.828868,0.664521,0.712097,1.218914,0.938551,-0.316162,0.725525,0.470905,0.000001,-0.322505,0.725840,1.214116,0.958963,0.664888,0.710784,0.474713,0.911066,0.284521,0.768869,0.405674,0.386901,0.767622,0.411243,0.285588,0.770582,0.445587,0.382872,0.769448,0.455483,0.330422,0.837969,0.571063,0.242225,0.753880,1.142663,0.664575,0.712161,1.218684,-0.318391,0.720596,0.472281,-0.322369,0.725906,1.214044,0.665149,0.710776,0.474471
4,0.040000,0.007595,0.365242,-0.027245,-0.930483,0.334060,0.782895,0.457808,0.000278,0.284351,0.768744,0.405856,0.932458,0.386750,0.767687,0.411395,0.943658,0.285652,0.770850,0.445562,0.926893,0.383266,0.769390,0.455446,0.900424,0.330282,0.837806,0.570782,0.913446,-0.000732,0.003341,0.002233,-0.999992,0.186682,0.725636,0.904159,0.000760,0.242656,0.753947,1.142135,0.828431,0.664523,0.712087,1.218917,0.938842,-0.316158,0.725527,0.470907,0.000001,-0.322503,0.725841,1.214118,0.958061,0.664891,0.710777,0.474717,0.910943,0.284509,0.768853,0.405664,0.386901,0.767637,0.411248,0.285591,0.770558,0.445589,0.382882,0.769456,0.455488,0.330416,0.837973,0.571053,0.242230,0.753884,1.142662,0.664576,0.712146,1.218690,-0.318380,0.720592,0.472286,-0.322368,0.725903,1.214048,0.665153,0.710768,0.474474
5,0.050000,0.007599,0.365200,-0.027246,-0.930499,0.334065,0.782895,0.457806,0.000276,0.284351,0.768743,0.405858,0.932233,0.386750,0.767686,0.411389,0.946709,0.285655,0.770849,0.445564,0.928732,0.383270,0.769389,0.455440,0.899121,0.330297,0.837807,0.570780,0.915561,-0.000739,0.003342,0.002236,-0.999992,0.186678,0.725648,0.904156,0.000763,0.242652,0.753956,1.142133,0.827847,0.664519,0.712092,1.218915,0.936960,-0.316162,0.725549,0.470904,0.000001,-0.322507,0.725852,1.214115,0.959719,0.664887,0.710792,0.474714,0.911386,0.284513,0.768838,0.405663,0.386901,0.767637,0.411247,0.285598,0.770572,0.445594,0.382875,0.769461,0.455483,0.330436,0.837966,0.571044,0.242219,0.753884,1.142663,0.664582,0.712155,1.218679,-0.318397,0.720608,0.472287,-0.322378,0.725918,1.214044,0.665150,0.710784,0.474477
