Format Version,1.23,Take Name,table_frame,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-17 05.06.12.485 PM,Total Frames in Take,136,Total Exported Frames,136,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker4","tframe:Marker4","tframe:Marker4","tframe:Marker4",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3,tframe:Marker4,tframe:Marker4,tframe:Marker4
,ID,"91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","91F7C9F13A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","98DD97083A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","DB5CFB8E3A5011F1EA32166A2DC27B7","CA1B0","CA1B0","CA1B0","CA510","CA510","CA510","CA1E0","CA1E0","CA1E0","C9E10","C9E10","C9E10","CA400","CA400","CA400","C9C30","C9C30","C9C30","CA540","CA540","CA540","CA0B0","CA0B0","CA0B0","C9890","C9890","C9890","CA480","CA480","CA480","CA200","CA200","CA200","CA450","CA450","CA450","CA570","CA570","CA570","CA580","CA580","CA580"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000946,0.033981,-0.002022,-0.999420,0.074669,0.718711,0.482556,0.000779,-0.002451,0.644343,0.489764,0.809410,-0.002827,0.799990,0.489663,0.735216,0.162471,0.641259,0.489042,0.913915,0.141485,0.789250,0.461756,0.843000,0.026926,0.817206,-0.039622,-0.574352,0.552702,0.784215,0.488730,0.000673,0.581213,0.767801,0.423247,0.747394,0.616281,0.771218,0.519559,0.947113,0.545169,0.770046,0.439935,0.930199,0.574371,0.772861,0.533571,0.736747,0.446474,0.839150,0.527338,0.837144,0.000710,0.002674,0.000164,-0.999996,0.186785,0.723478,0.904015,0.000970,0.242959,0.752710,1.141833,0.531418,0.665097,0.712815,1.218169,0.901220,-0.316627,0.720039,0.471442,0.431160,-0.321982,0.722480,1.214657,0.907083,0.664479,0.709349,0.473975,0.848946,0.581938,0.767488,0.422617,0.616328,0.771020,0.519502,0.545397,0.769902,0.440009,0.573524,0.773484,0.533498,0.446296,0.839222,0.527961,0.243869,0.754265,1.141316,0.665216,0.712502,1.217958,-0.318903,0.720051,0.471436,-0.322024,0.722112,1.214684,0.664812,0.709168,0.474445,-0.002474,0.643649,0.489448,-0.003269,0.800799,0.490185,0.162490,0.641164,0.489373,0.141883,0.789318,0.461276
1,0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000584,0.002683,0.000171,-0.999996,0.186726,0.723366,0.904030,0.001117,0.242896,0.752537,1.141857,0.335404,0.665032,0.712617,1.218191,0.922555,-0.316678,0.720042,0.471447,0.443356,-0.322047,0.722296,1.214662,0.950930,0.664428,0.709338,0.473996,0.847106,0.581942,0.767486,0.422624,0.616320,0.771010,0.519497,0.545398,0.769922,0.440011,0.573535,0.773476,0.533498,0.446282,0.839248,0.527957,0.244347,0.754464,1.140739,0.665210,0.712495,1.217968,-0.318905,0.720066,0.471451,-0.322021,0.722103,1.214689,0.664808,0.709192,0.474451,-0.002442,0.643600,0.489479,-0.003111,0.798894,0.489143,0.162455,0.641086,0.489433,0.141878,0.789307,0.461269
2,0.020000,-0.000786,0.034058,-0.001966,-0.999418,0.074670,0.718692,0.482578,0.000778,-0.002461,0.644336,0.489797,0.816157,-0.002818,0.799984,0.489647,0.735000,0.162461,0.641232,0.489102,0.908744,0.141497,0.789217,0.461766,0.842706,0.026893,0.817219,-0.039707,-0.574329,0.552684,0.784215,0.488731,0.000683,0.581201,0.767799,0.423251,0.743936,0.616264,0.771231,0.519564,0.942868,0.545156,0.770040,0.439937,0.929978,0.574353,0.772869,0.533574,0.740727,0.446447,0.839138,0.527329,0.832648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581937,0.767471,0.422619,0.616327,0.771021,0.519497,0.545390,0.769906,0.440015,0.573522,0.773486,0.533500,0.446232,0.839223,0.527957,0.243873,0.754260,1.141327,0.665209,0.712506,1.217963,-0.318902,0.720060,0.471435,-0.322020,0.722094,1.214697,0.664822,0.709171,0.474451,-0.002442,0.643674,0.489477,-0.003277,0.800780,0.490174,0.162464,0.641097,0.489441,0.141884,0.789304,0.461278
3,0.030000,-0.000807,0.034119,-0.002065,-0.999415,0.074664,0.718668,0.482573,0.000825,-0.002453,0.644296,0.489780,0.816157,-0.002841,0.799943,0.489635,0.735000,0.162469,0.641225,0.489104,0.908744,0.141479,0.789206,0.461771,0.842706,0.026957,0.817191,-0.039627,-0.574371,0.552695,0.784230,0.488736,0.000683,0.581203,0.767811,0.423253,0.743936,0.616275,0.771231,0.519563,0.942868,0.545160,0.770059,0.439943,0.929978,0.574365,0.772877,0.533577,0.740727,0.446472,0.839172,0.527347,0.832648,0.000744,0.002667,0.000137,-0.999996,0.186788,0.723490,0.904023,0.000968,0.242963,0.752741,1.141838,0.335404,0.665105,0.712873,1.218171,0.922555,-0.316631,0.719994,0.471457,0.443356,-0.321976,0.722485,1.214672,0.950930,0.664476,0.709357,0.473977,0.847106,0.581937,0.767490,0.422618,0.616325,0.771019,0.519496,0.545400,0.769915,0.440017,0.573525,0.773511,0.533507,0.446268,0.839253,0.527977,0.243868,0.754272,1.141315,0.665226,0.712565,1.217979,-0.318905,0.720064,0.471447,-0.322021,0.722102,1.214701,0.664806,0.709165,0.474436,-0.002479,0.643545,0.489463,-0.003277,0.800794,0.490174,0.162464,0.641105,0.489441,0.141892,0.789327,0.461278
4,0.040000,-0.000799,0.034072,-0.002026,-0.999417,0.074666,0.718678,0.482580,0.000807,-0.002456,0.644313,0.489795,0.796236,-0.002832,0.799960,0.489649,0.725718,0.162466,0.641228,0.489104,0.910754,0.141485,0.789211,0.461771,0.836358,0.026823,0.817234,-0.039666,-0.574314,0.552692,0.784212,0.488733,0.000678,0.581213,0.767807,0.423252,0.744332,0.616271,0.771228,0.519567,0.942967,0.545167,0.770044,0.439937,0.927623,0.574360,0.772861,0.533576,0.736187,0.446449,0.839122,0.527335,0.833094,0.000629,0.002672,0.000173,-0.999996,0.186724,0.723373,0.904027,0.001118,0.242899,0.752565,1.141850,0.536707,0.665037,0.712649,1.218178,0.904305,-0.316690,0.720013,0.471455,0.431152,-0.322043,0.722334,1.214670,0.903163,0.664416,0.709304,0.473983,0.850733,0.581943,0.767490,0.422623,0.616322,0.771011,0.519500,0.545399,0.769904,0.440018,0.573525,0.773496,0.533503,0.446249,0.839198,0.527959,0.244348,0.754474,1.140740,0.665209,0.712530,1.217970,-0.318913,0.720078,0.471451,-0.322022,0.722126,1.214706,0.664800,0.709145,0.474425,-0.002467,0.643591,0.489473,-0.003269,0.800790,0.490192,0.162458,0.641104,0.489449,0.141890,0.789325,0.461270
5,0.050000,-0.000818,0.034103,-0.001972,-0.999416,0.074672,0.718693,0.482573,0.000793,-0.002458,0.644335,0.489781,0.811856,-0.002817,0.799983,0.489641,0.731243,0.162464,0.641234,0.489100,0.908156,0.141500,0.789220,0.461772,0.839960,0.026826,0.817216,-0.039804,-0.574330,0.552701,0.784237,0.488740,0.000669,0.581221,0.767821,0.423261,0.746559,0.616284,0.771269,0.519573,0.939756,0.545176,0.770056,0.439948,0.934592,0.574373,0.772900,0.533584,0.737638,0.446452,0.839139,0.527335,0.840186,0.000715,0.002669,0.000148,-0.999996,0.186788,0.723496,0.904027,0.000975,0.242963,0.752732,1.141844,0.536411,0.665103,0.712850,1.218176,0.901625,-0.316629,0.720037,0.471459,0.430660,-0.321977,0.722484,1.214674,0.905098,0.664477,0.709377,0.473982,0.847499,0.581940,0.767500,0.422623,0.616328,0.771040,0.519513,0.545395,0.769933,0.440021,0.573554,0.773555,0.533538,0.446269,0.839198,0.527944,0.243866,0.754264,1.141319,0.665217,0.712538,1.217965,-0.318906,0.720073,0.471443,-0.322023,0.722110,1.214713,0.664818,0.709193,0.474454,-0.002452,0.643655,0.489460,-0.003276,0.800795,0.490176,0.162467,0.641097,0.489441,0.141895,0.789319,0.461278
