Format Version,1.23,Take Name,rotation_random_t3,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-23 11.56.09.418 AM,Total Frames in Take,2476,Total Exported Frames,2476,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","C6E10","C6E10","C6E10","C60A0","C60A0","C60A0","C6E20","C6E20","C6E20","C6DF0","C6DF0","C6DF0","C4DC0","C4DC0","C4DC0","C64A0","C64A0","C64A0","C6B90","C6B90","C6B90","C6790","C6790","C6790","C6D60","C6D60","C6D60","C6E30","C6E30","C6E30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.004052,0.355641,0.003149,-0.934609,0.316183,0.081308,-0.287311,0.000900,0.269799,0.065959,-0.302052,0.726149,0.311049,0.116617,-0.175324,0.726673,0.366208,0.060968,-0.295333,0.818570,0.317676,0.081689,-0.376534,0.826128,0.001266,0.036175,0.000416,-0.999345,0.091084,0.009459,0.119812,0.000756,-0.425372,0.008329,0.352813,0.717160,0.557600,-0.010146,0.431233,0.812928,0.145199,0.034928,0.323584,0.708816,-0.363364,0.000799,-0.389775,0.872090,0.015968,0.037082,0.312308,0.898610,0.616473,-0.014235,-0.311288,0.938392,0.270660,0.065308,-0.302240,0.310965,0.117275,-0.174454,0.365649,0.060513,-0.295417,0.317550,0.082141,-0.377047,-0.424464,0.008408,0.352143,0.558059,-0.010721,0.431372,0.144172,0.035361,0.323923,-0.363741,0.000467,-0.389869,0.015923,0.037325,0.312630,0.616524,-0.014006,-0.311366
1,0.010000,0.003935,0.355504,0.003098,-0.934662,0.316195,0.081335,-0.287428,0.000895,0.269810,0.065980,-0.302159,0.717052,0.311087,0.116622,-0.175433,0.728818,0.366221,0.061005,-0.295469,0.816268,0.317662,0.081732,-0.376652,0.820756,0.001274,0.036172,0.000413,-0.999345,0.091074,0.009458,0.119814,0.000753,-0.425381,0.008329,0.352818,0.714735,0.557592,-0.010140,0.431231,0.813857,0.145190,0.034930,0.323585,0.710997,-0.363377,0.000787,-0.389770,0.873105,0.015958,0.037083,0.312310,0.898275,0.616460,-0.014240,-0.311289,0.938282,0.270709,0.065310,-0.302309,0.310980,0.117285,-0.174581,0.365666,0.060533,-0.295563,0.317532,0.082203,-0.377177,-0.424464,0.008413,0.352143,0.558040,-0.010718,0.431374,0.144174,0.035371,0.323916,-0.363745,0.000451,-0.389868,0.015922,0.037316,0.312641,0.616495,-0.014009,-0.311369
2,0.020000,0.003943,0.355560,0.003195,-0.934640,0.316223,0.081348,-0.287505,0.000889,0.269837,0.066002,-0.302242,0.717052,0.311109,0.116630,-0.175509,0.728818,0.366246,0.061009,-0.295541,0.816268,0.317701,0.081749,-0.376728,0.820756,0.001271,0.036183,0.000417,-0.999344,0.091083,0.009462,0.119814,0.000749,-0.425377,0.008336,0.352807,0.714735,0.557594,-0.010141,0.431241,0.813857,0.145195,0.034932,0.323586,0.710997,-0.363358,0.000798,-0.389780,0.873105,0.015963,0.037087,0.312308,0.898275,0.616478,-0.014237,-0.311279,0.938282,0.270741,0.065355,-0.302370,0.310997,0.117277,-0.174655,0.365679,0.060547,-0.295643,0.317579,0.082205,-0.377268,-0.424474,0.008416,0.352140,0.558033,-0.010715,0.431359,0.144179,0.035353,0.323934,-0.363741,0.000463,-0.389877,0.015934,0.037336,0.312637,0.616537,-0.014007,-0.311349
3,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270799,0.065328,-0.302455,0.311014,0.117297,-0.174754,0.365723,0.060499,-0.295752,0.317601,0.082260,-0.377366,-0.424473,0.008399,0.352129,0.558024,-0.010710,0.431374,0.144176,0.035368,0.323919,-0.363725,0.000472,-0.389883,0.015928,0.037331,0.312629,0.616517,-0.014028,-0.311353
4,0.040000,0.003954,0.355561,0.003214,-0.934639,0.316266,0.081365,-0.287637,0.000878,0.269878,0.066021,-0.302374,0.720151,0.311152,0.116648,-0.175641,0.730829,0.366288,0.061024,-0.295672,0.815208,0.317744,0.081766,-0.376860,0.820749,0.001282,0.036188,0.000417,-0.999344,0.091079,0.009465,0.119817,0.000748,-0.425383,0.008344,0.352805,0.718599,0.557588,-0.010132,0.431249,0.817005,0.145189,0.034939,0.323589,0.711691,-0.363356,0.000790,-0.389781,0.870488,0.015958,0.037094,0.312310,0.896507,0.616479,-0.014244,-0.311269,0.937927,0.270816,0.065317,-0.302483,0.311026,0.117312,-0.174823,0.365723,0.060538,-0.295787,0.317621,0.082262,-0.377381,-0.424475,0.008416,0.352137,0.558036,-0.010703,0.431376,0.144174,0.035364,0.323934,-0.363729,0.000461,-0.389879,0.015925,0.037344,0.312631,0.616520,-0.014018,-0.311337
5,0.050000,0.004094,0.355633,0.003412,-0.934611,0.316282,0.081369,-0.287604,0.000893,0.269890,0.066046,-0.302346,0.720365,0.311168,0.116669,-0.175613,0.731055,0.366296,0.061004,-0.295629,0.812690,0.317774,0.081759,-0.376827,0.817136,0.001270,0.036186,0.000412,-0.999344,0.091077,0.009466,0.119814,0.000750,-0.425384,0.008333,0.352803,0.715590,0.557586,-0.010133,0.431245,0.816081,0.145187,0.034936,0.323587,0.715980,-0.363359,0.000797,-0.389783,0.871433,0.015956,0.037089,0.312308,0.898087,0.616476,-0.014228,-0.311274,0.937576,0.270808,0.065409,-0.302408,0.311018,0.117321,-0.174770,0.365744,0.060518,-0.295769,0.317658,0.082225,-0.377379,-0.424467,0.008420,0.352135,0.558027,-0.010708,0.431378,0.144187,0.035350,0.323930,-0.363735,0.000461,-0.389882,0.015922,0.037336,0.312631,0.616520,-0.013994,-0.311352
