Format Version,1.23,Take Name,rotation_random_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-23 11.54.59.499 AM,Total Frames in Take,2338,Total Exported Frames,2338,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","9BF161673ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","A828F0D33ED711F1EA32166A2DC2CB7","C6DA0","C6DA0","C6DA0","C60A0","C60A0","C60A0","C6CD0","C6CD0","C6CD0","C6D90","C6D90","C6D90","C4DC0","C4DC0","C4DC0","C64A0","C64A0","C64A0","C6B90","C6B90","C6B90","C6790","C6790","C6790","C6D60","C6D60","C6D60","C6C30","C6C30","C6C30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005230,0.366585,0.000648,-0.930369,0.155882,0.083953,-0.300255,0.000862,0.109916,0.068362,-0.316016,0.714962,0.147987,0.119694,-0.188566,0.791820,0.206159,0.063778,-0.307019,0.824295,0.159466,0.083979,-0.389420,0.756656,0.001248,0.036125,0.000466,-0.999346,0.091706,0.009499,0.119986,0.000633,-0.424727,0.008410,0.353039,0.749152,0.558251,-0.010165,0.431358,0.715200,0.145844,0.034953,0.323753,0.698135,-0.362794,0.000904,-0.389556,0.908627,0.016612,0.037121,0.312491,0.834281,0.617049,-0.014230,-0.311168,0.839403,0.110807,0.067682,-0.316224,0.147960,0.120198,-0.187904,0.205658,0.063333,-0.306807,0.159203,0.084558,-0.390157,-0.424498,0.008349,0.352064,0.559150,-0.010838,0.431162,0.145408,0.035239,0.324842,-0.362553,0.000629,-0.389552,0.016341,0.037621,0.312831,0.616460,-0.014058,-0.311356
1,0.010000,0.005276,0.366532,0.000824,-0.930390,0.155872,0.083965,-0.300271,0.000896,0.109899,0.068391,-0.316028,0.711761,0.148003,0.119704,-0.188579,0.777952,0.206141,0.063773,-0.307041,0.823764,0.159446,0.083994,-0.389436,0.754429,0.001264,0.036122,0.000465,-0.999346,0.091693,0.009487,0.119997,0.000639,-0.424738,0.008406,0.353053,0.748136,0.558241,-0.010166,0.431367,0.712865,0.145833,0.034949,0.323763,0.698959,-0.362809,0.000876,-0.389542,0.907909,0.016600,0.037115,0.312501,0.835248,0.617034,-0.014255,-0.311159,0.836468,0.110784,0.067691,-0.316266,0.147988,0.120233,-0.187866,0.205634,0.063334,-0.306825,0.159189,0.084569,-0.390190,-0.424493,0.008355,0.352077,0.559146,-0.010845,0.431170,0.145395,0.035234,0.324848,-0.362568,0.000597,-0.389549,0.016329,0.037607,0.312847,0.616431,-0.014078,-0.311339
2,0.020000,0.005222,0.366539,0.000740,-0.930388,0.155874,0.083944,-0.300287,0.000869,0.109904,0.068361,-0.316045,0.711761,0.147996,0.119677,-0.188594,0.777952,0.206147,0.063762,-0.307057,0.823764,0.159449,0.083977,-0.389452,0.754429,0.001247,0.036123,0.000475,-0.999346,0.091693,0.009489,0.119997,0.000638,-0.424739,0.008409,0.353051,0.748136,0.558239,-0.010184,0.431367,0.712865,0.145832,0.034942,0.323764,0.698959,-0.362809,0.000903,-0.389544,0.907909,0.016600,0.037112,0.312502,0.835248,0.617034,-0.014248,-0.311159,0.836468,0.110810,0.067678,-0.316241,0.147956,0.120197,-0.187912,0.205644,0.063311,-0.306875,0.159197,0.084546,-0.390176,-0.424506,0.008352,0.352067,0.559138,-0.010853,0.431170,0.145387,0.035238,0.324834,-0.362557,0.000627,-0.389548,0.016336,0.037596,0.312869,0.616431,-0.014076,-0.311349
3,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.110917,0.067170,-0.315913,0.147918,0.120219,-0.187927,0.205612,0.063319,-0.306870,0.159204,0.084551,-0.390182,-0.424503,0.008367,0.352077,0.559147,-0.010859,0.431161,0.145404,0.035240,0.324834,-0.362564,0.000615,-0.389546,0.016333,0.037614,0.312847,0.616444,-0.014068,-0.311333
4,0.040000,0.005138,0.366611,0.000808,-0.930360,0.155854,0.083946,-0.300319,0.000852,0.109886,0.068369,-0.316087,0.712194,0.147961,0.119656,-0.188620,0.785297,0.206127,0.063761,-0.307086,0.824894,0.159443,0.083997,-0.389484,0.761455,0.001262,0.036126,0.000471,-0.999346,0.091695,0.009506,0.119988,0.000633,-0.424738,0.008430,0.353039,0.746678,0.558240,-0.010154,0.431361,0.715571,0.145833,0.034966,0.323754,0.700954,-0.362804,0.000902,-0.389555,0.906540,0.016601,0.037134,0.312491,0.834330,0.617039,-0.014241,-0.311165,0.836177,0.110782,0.067693,-0.316282,0.147931,0.120152,-0.187973,0.205624,0.063315,-0.306878,0.159183,0.084576,-0.390217,-0.424494,0.008363,0.352073,0.559145,-0.010841,0.431165,0.145399,0.035248,0.324831,-0.362566,0.000628,-0.389547,0.016325,0.037646,0.312812,0.616441,-0.014068,-0.311339
5,0.050000,0.005209,0.366611,0.000592,-0.930359,0.155866,0.083968,-0.300305,0.000878,0.109903,0.068370,-0.316068,0.700598,0.147961,0.119707,-0.188616,0.787964,0.206146,0.063799,-0.307065,0.823078,0.159455,0.083994,-0.389469,0.752463,0.001254,0.036122,0.000463,-0.999347,0.091693,0.009512,0.119989,0.000632,-0.424738,0.008423,0.353044,0.750501,0.558240,-0.010146,0.431359,0.714683,0.145832,0.034969,0.323755,0.699975,-0.362810,0.000907,-0.389551,0.907202,0.016600,0.037135,0.312493,0.833571,0.617034,-0.014219,-0.311168,0.837542,0.110839,0.067656,-0.316283,0.147928,0.120222,-0.187942,0.205637,0.063355,-0.306854,0.159185,0.084585,-0.390217,-0.424506,0.008369,0.352075,0.559134,-0.010829,0.431164,0.145398,0.035248,0.324839,-0.362568,0.000625,-0.389553,0.016336,0.037642,0.312836,0.616439,-0.014040,-0.311356
