Format Version,1.23,Take Name,linear_t1_apr_30,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-30 03.18.58.118 PM,Total Frames in Take,3655,Total Exported Frames,3655,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","C51B0","C51B0","C51B0","C5470","C5470","C5470","C5640","C5640","C5640","C5100","C5100","C5100","C4C80","C4C80","C4C80","C4CE0","C4CE0","C4CE0","C55E0","C55E0","C55E0","C4CB0","C4CB0","C4CB0","C52D0","C52D0","C52D0","C5610","C5610","C5610"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000505,0.000513,0.000192,-1.000000,-0.072696,0.087359,0.566154,0.000417,-0.002237,0.112551,0.765014,0.961667,-0.565912,0.085578,0.841490,0.808688,0.419286,0.068615,0.835755,0.926033,-0.131200,0.115387,0.763758,0.887799,-0.568787,0.077570,0.097994,0.955044,0.412674,0.064450,0.092913,0.916711,0.001620,0.090103,-0.000894,-0.995931,0.105813,0.160890,0.209795,0.000307,0.109940,0.196815,0.333078,0.896751,0.155092,0.140256,0.161844,0.933323,0.098916,0.160751,0.135619,0.963602,0.059303,0.145738,0.208639,0.926162,0.110063,0.196728,0.332694,0.155218,0.140344,0.162063,0.098955,0.160805,0.135749,0.059015,0.145683,0.208676,-0.002137,0.112665,0.764991,-0.566645,0.085617,0.841705,0.419487,0.068571,0.835968,-0.130874,0.115265,0.763476,-0.568952,0.077546,0.098063,0.412943,0.064487,0.092721
1,0.010000,0.000497,0.000519,0.000197,-1.000000,-0.072695,0.087359,0.566153,0.000417,-0.002239,0.112548,0.765014,0.965277,-0.565915,0.085579,0.841482,0.810693,0.419283,0.068606,0.835761,0.923867,-0.131202,0.115385,0.763757,0.888821,-0.568780,0.077582,0.097987,0.954013,0.412680,0.064453,0.092918,0.916204,0.001589,0.090044,-0.000815,-0.995936,0.105820,0.160873,0.209780,0.000327,0.109967,0.196789,0.333065,0.892345,0.155090,0.140235,0.161821,0.928215,0.098914,0.160741,0.135604,0.968857,0.059308,0.145728,0.208628,0.925457,0.110091,0.196690,0.332664,0.155222,0.140333,0.162057,0.098948,0.160784,0.135716,0.059017,0.145686,0.208681,-0.002150,0.112652,0.764990,-0.566640,0.085621,0.841698,0.419493,0.068562,0.835976,-0.130881,0.115269,0.763472,-0.568949,0.077556,0.098054,0.412953,0.064493,0.092727
2,0.020000,0.000493,0.000514,0.000187,-1.000000,-0.072694,0.087347,0.566159,0.000422,-0.002235,0.112536,0.765019,0.965277,-0.565910,0.085556,0.841494,0.810693,0.419288,0.068602,0.835761,0.923867,-0.131199,0.115371,0.763764,0.888821,-0.568784,0.077565,0.097998,0.954013,0.412677,0.064454,0.092918,0.916204,0.001776,0.090052,-0.000865,-0.995935,0.105818,0.160900,0.209790,0.000318,0.109961,0.196863,0.333062,0.892345,0.155091,0.140247,0.161840,0.928215,0.098914,0.160739,0.135615,0.968857,0.059307,0.145752,0.208643,0.925457,0.110084,0.196776,0.332657,0.155213,0.140328,0.162064,0.098956,0.160810,0.135755,0.059020,0.145685,0.208683,-0.002143,0.112640,0.765002,-0.566636,0.085586,0.841719,0.419496,0.068560,0.835990,-0.130873,0.115268,0.763476,-0.568945,0.077544,0.098053,0.412938,0.064487,0.092714
3,0.030000,0.000421,0.000546,0.000237,-1.000000,-0.072655,0.087385,0.566162,0.000395,-0.002206,0.112538,0.765031,0.968530,-0.565889,0.085603,0.841465,0.803105,0.419308,0.068552,0.835793,0.937025,-0.131170,0.115386,0.763767,0.891721,-0.568715,0.077719,0.097968,0.967708,0.412745,0.064512,0.092950,0.921585,0.001594,0.090139,-0.000904,-0.995928,0.105823,0.160892,0.209801,0.000304,0.109941,0.196811,0.333087,0.897621,0.155106,0.140261,0.161853,0.932022,0.098931,0.160756,0.135625,0.963255,0.059314,0.145739,0.208641,0.928682,0.110062,0.196726,0.332705,0.155241,0.140343,0.162075,0.098954,0.160814,0.135758,0.059035,0.145685,0.208668,-0.002140,0.112641,0.765004,-0.566638,0.085590,0.841708,0.419478,0.068567,0.835979,-0.130872,0.115266,0.763476,-0.568706,0.077751,0.098093,0.412951,0.064494,0.092714
4,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.110073,0.196671,0.332666,0.155234,0.140349,0.162069,0.098984,0.160850,0.135732,0.059016,0.145676,0.208683,-0.002145,0.112651,0.764993,-0.566648,0.085585,0.841715,0.419487,0.068575,0.835966,-0.130882,0.115248,0.763472,-0.568700,0.077776,0.098090,0.412945,0.064468,0.092713
5,0.050000,0.000500,0.000507,0.000177,-1.000000,-0.072688,0.087357,0.566153,0.000421,-0.002227,0.112550,0.765012,0.968729,-0.565900,0.085559,0.841494,0.806271,0.419298,0.068625,0.835749,0.920949,-0.131191,0.115382,0.763758,0.890171,-0.568783,0.077559,0.097998,0.956701,0.412678,0.064468,0.092906,0.918939,0.001589,0.090103,-0.000969,-0.995931,0.105814,0.160893,0.209801,0.000311,0.109936,0.196813,0.333086,0.897095,0.155097,0.140268,0.161849,0.931258,0.098917,0.160756,0.135625,0.963906,0.059307,0.145733,0.208644,0.924867,0.110061,0.196727,0.332703,0.155238,0.140353,0.162069,0.098945,0.160813,0.135755,0.059014,0.145678,0.208677,-0.002143,0.112642,0.765001,-0.566644,0.085597,0.841709,0.419540,0.068602,0.835951,-0.130877,0.115261,0.763475,-0.568945,0.077546,0.098060,0.412943,0.064495,0.092722
