Format Version,1.23,Take Name,table_frame_apr_30,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-30 03.04.53.933 PM,Total Frames in Take,154,Total Exported Frames,154,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker4","tframe:Marker4","tframe:Marker4","tframe:Marker4",table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3,tframe:Marker4,tframe:Marker4,tframe:Marker4
,ID,"EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","25066B79447611F1EA32166A2DC30B7","C4C80","C4C80","C4C80","C4CE0","C4CE0","C4CE0","C4C60","C4C60","C4C60","C4CB0","C4CB0","C4CB0","C4F10","C4F10","C4F10","C4DC0","C4DC0","C4DC0","C4CD0","C4CD0","C4CD0","C4F00","C4F00","C4F00","C4FA0","C4FA0","C4FA0","C4FB0","C4FB0","C4FB0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000090,-0.000233,0.000199,-1.000000,-0.073074,0.087353,0.567218,0.000713,-0.002318,0.112380,0.765993,0.660025,-0.565879,0.085352,0.843287,0.817810,0.419309,0.068379,0.836070,0.873585,-0.131284,0.115219,0.764932,0.844894,-0.569863,0.077960,0.099790,0.825073,0.411589,0.064830,0.093235,0.888809,0.003223,-0.000714,0.000835,-0.999994,-0.157458,0.078695,0.069602,0.000331,-0.251641,-0.001450,0.079760,0.905436,-0.083169,-0.004160,0.078082,0.958265,-0.082206,0.155021,0.072135,0.920422,-0.212817,0.165370,0.048431,0.932529,-0.001011,0.112734,0.765874,-0.566605,0.085392,0.843244,0.419142,0.067940,0.836257,-0.131420,0.115371,0.764346,-0.570211,0.077698,0.100337,0.411965,0.065067,0.093220,-0.251448,-0.001132,0.079826,-0.083172,-0.004042,0.077964,-0.082231,0.154758,0.072312,-0.212982,0.165196,0.048306
1,0.010000,0.000112,-0.000230,0.000208,-1.000000,-0.073055,0.087354,0.567222,0.000703,-0.002300,0.112388,0.765997,0.660025,-0.565861,0.085373,0.843289,0.817810,0.419327,0.068382,0.836078,0.873585,-0.131265,0.115229,0.764935,0.844894,-0.569841,0.077950,0.099792,0.825073,0.411611,0.064802,0.093243,0.888809,0.003310,-0.000754,0.000837,-0.999994,-0.157450,0.078701,0.069603,0.000326,-0.251632,-0.001443,0.079783,0.905436,-0.083159,-0.004153,0.078092,0.958265,-0.082197,0.155027,0.072117,0.920422,-0.212810,0.165372,0.048422,0.932529,-0.001014,0.112727,0.765867,-0.566600,0.085408,0.843244,0.419163,0.067937,0.836253,-0.131386,0.115401,0.764381,-0.570195,0.077685,0.100325,0.411991,0.065041,0.093235,-0.251448,-0.001133,0.079840,-0.083170,-0.004033,0.077982,-0.082211,0.154779,0.072282,-0.212970,0.165190,0.048310
2,0.020000,0.000116,-0.000231,0.000209,-1.000000,-0.073044,0.087367,0.567210,0.000709,-0.002289,0.112403,0.765984,0.666063,-0.565850,0.085390,0.843278,0.814847,0.419338,0.068397,0.836065,0.873497,-0.131254,0.115244,0.764923,0.851796,-0.569832,0.077960,0.099781,0.826895,0.411620,0.064810,0.093230,0.887768,0.003338,-0.000736,0.000824,-0.999994,-0.157437,0.078700,0.069586,0.000324,-0.251618,-0.001446,0.079767,0.908693,-0.083146,-0.004152,0.078081,0.959209,-0.082187,0.155028,0.072097,0.925415,-0.212799,0.165368,0.048397,0.933127,-0.000986,0.112735,0.765857,-0.566587,0.085425,0.843232,0.419168,0.067944,0.836232,-0.131376,0.115432,0.764358,-0.570173,0.077690,0.100322,0.411986,0.065055,0.093231,-0.251444,-0.001135,0.079824,-0.083149,-0.004028,0.077970,-0.082197,0.154780,0.072264,-0.212960,0.165182,0.048284
3,0.030000,0.000079,-0.000225,0.000226,-1.000000,-0.073045,0.087374,0.567209,0.000711,-0.002291,0.112393,0.765986,0.662357,-0.565854,0.085394,0.843271,0.815301,0.419333,0.068367,0.836068,0.871926,-0.131256,0.115239,0.764923,0.848081,-0.569826,0.078019,0.099773,0.826486,0.411625,0.064835,0.093233,0.889852,0.003452,-0.000774,0.000721,-0.999994,-0.157424,0.078716,0.069565,0.000326,-0.251588,-0.001446,0.079771,0.909754,-0.083114,-0.004118,0.078074,0.958401,-0.082189,0.155061,0.072053,0.925263,-0.212805,0.165369,0.048361,0.932118,-0.000973,0.112733,0.765850,-0.566578,0.085415,0.843232,0.419149,0.067954,0.836246,-0.131383,0.115395,0.764352,-0.570168,0.077778,0.100317,0.411996,0.065052,0.093224,-0.251443,-0.001150,0.079833,-0.083103,-0.003951,0.077958,-0.082196,0.154784,0.072223,-0.212954,0.165183,0.048246
4,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000989,0.112753,0.765843,-0.566565,0.085432,0.843212,0.419158,0.067966,0.836256,-0.131396,0.115406,0.764303,-0.570192,0.077812,0.100364,0.412004,0.065041,0.093235,-0.251441,-0.001150,0.079819,-0.083159,-0.004039,0.077946,-0.082199,0.154761,0.072197,-0.212952,0.165156,0.048220
5,0.050000,0.000074,-0.000233,0.000237,-1.000000,-0.073040,0.087376,0.567202,0.000714,-0.002282,0.112391,0.765978,0.658116,-0.565845,0.085402,0.843271,0.818545,0.419342,0.068356,0.836053,0.878361,-0.131247,0.115239,0.764917,0.848737,-0.569829,0.078035,0.099774,0.828634,0.411622,0.064831,0.093218,0.892580,0.003567,-0.000757,0.000847,-0.999993,-0.157438,0.078700,0.069526,0.000315,-0.251622,-0.001436,0.079747,0.916262,-0.083149,-0.004151,0.078056,0.949147,-0.082184,0.155026,0.071999,0.918909,-0.212796,0.165362,0.048300,0.933844,-0.000984,0.112749,0.765843,-0.566570,0.085412,0.843211,0.419168,0.067934,0.836234,-0.131386,0.115401,0.764333,-0.570184,0.077797,0.100351,0.412017,0.065044,0.093209,-0.251432,-0.001138,0.079814,-0.083156,-0.004041,0.077940,-0.082203,0.154774,0.072175,-0.212960,0.165206,0.048174
