Format Version,1.23,Take Name,rotation_random_t1_mixed_may_11,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-11 10.09.47.930 AM,Total Frames in Take,4154,Total Exported Frames,4154,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","ABE7B29F4CEA11F1EA32166A2DC38B7","C43A0","C43A0","C43A0","C43F0","C43F0","C43F0","C42B0","C42B0","C42B0","C4260","C4260","C4260","C4400","C4400","C4400","C3F10","C3F10","C3F10","C40D0","C40D0","C40D0","C3F50","C3F50","C3F50","C3EE0","C3EE0","C3EE0","C3F40","C3F40","C3F40"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000583,-0.000554,0.000540,-1.000000,0.221743,0.081197,0.252305,0.001210,0.764602,0.060895,-0.158751,0.643822,0.679284,0.068080,0.580540,0.918337,-0.300077,0.076245,0.466041,0.872438,-0.208979,0.066974,-0.272563,0.798528,0.133314,0.107720,0.440138,0.613492,0.262314,0.107267,0.458424,0.154308,0.013808,0.991140,-0.032715,0.127988,0.459475,0.154558,-0.128404,0.000632,0.431905,0.137769,-0.085446,0.864296,0.456112,0.137506,-0.172890,0.858355,0.383087,0.153561,-0.145058,0.955447,0.566794,0.189397,-0.110220,0.830419,0.432340,0.137941,-0.085169,0.456345,0.137378,-0.173391,0.383065,0.153695,-0.144943,0.566148,0.189218,-0.110111,0.765237,0.060558,-0.157521,0.679186,0.068031,0.580233,-0.299890,0.075806,0.465861,-0.209547,0.067124,-0.272012,0.133335,0.108536,0.438824,0.260778,0.107629,0.455431
1,0.010000,0.000586,-0.000553,0.000523,-1.000000,0.221740,0.081196,0.252306,0.001212,0.764600,0.060909,-0.158748,0.647047,0.679280,0.068096,0.580543,0.916255,-0.300081,0.076229,0.466041,0.873118,-0.208980,0.066956,-0.272563,0.797705,0.133309,0.107718,0.440139,0.614755,0.262310,0.107268,0.458425,0.155084,0.013806,0.991154,-0.032612,0.127902,0.459468,0.154553,-0.128396,0.000633,0.431907,0.137755,-0.085437,0.865067,0.456099,0.137510,-0.172886,0.855863,0.383078,0.153557,-0.145038,0.952070,0.566790,0.189391,-0.110224,0.832442,0.432341,0.137919,-0.085162,0.456341,0.137371,-0.173390,0.383040,0.153704,-0.144920,0.566151,0.189219,-0.110114,0.765223,0.060583,-0.157524,0.679176,0.068044,0.580229,-0.299892,0.075794,0.465859,-0.209544,0.067103,-0.272002,0.133339,0.108524,0.438826,0.260780,0.107633,0.455433
2,0.020000,0.000522,-0.000552,0.000464,-1.000000,0.221749,0.081233,0.252302,0.001214,0.764613,0.061063,-0.158754,0.623946,0.679291,0.068144,0.580538,0.907473,-0.300071,0.076176,0.466035,0.883286,-0.208967,0.067009,-0.272569,0.796096,0.133315,0.107720,0.440138,0.610673,0.262316,0.107283,0.458424,0.154570,0.013785,0.991138,-0.032746,0.127997,0.459486,0.154549,-0.128399,0.000631,0.431917,0.137762,-0.085441,0.864220,0.456125,0.137493,-0.172885,0.855718,0.383098,0.153548,-0.145055,0.953618,0.566803,0.189393,-0.110216,0.830228,0.432345,0.137924,-0.085149,0.456345,0.137355,-0.173400,0.383098,0.153695,-0.144942,0.566155,0.189223,-0.110106,0.765363,0.060797,-0.157477,0.679144,0.068038,0.580215,-0.299887,0.075785,0.465859,-0.209548,0.067103,-0.272004,0.133332,0.108547,0.438819,0.260777,0.107640,0.455434
3,0.030000,0.000591,-0.000551,0.000530,-1.000000,0.221730,0.081205,0.252304,0.001213,0.764592,0.060907,-0.158748,0.623946,0.679269,0.068102,0.580543,0.907473,-0.300092,0.076247,0.466037,0.883286,-0.208988,0.066966,-0.272566,0.796096,0.133299,0.107730,0.440136,0.610673,0.262299,0.107279,0.458423,0.154570,0.013798,0.991137,-0.032729,0.128005,0.459486,0.154557,-0.128405,0.000632,0.431916,0.137769,-0.085448,0.864220,0.456126,0.137503,-0.172891,0.855718,0.383099,0.153558,-0.145062,0.953618,0.566804,0.189398,-0.110219,0.830228,0.432358,0.137932,-0.085168,0.456349,0.137366,-0.173390,0.383082,0.153705,-0.144955,0.566156,0.189226,-0.110109,0.765230,0.060583,-0.157518,0.679128,0.068049,0.580214,-0.299893,0.075814,0.465863,-0.209542,0.067112,-0.272000,0.133340,0.108528,0.438838,0.260780,0.107638,0.455425
4,0.040000,0.000583,-0.000547,0.000534,-1.000000,0.221739,0.081199,0.252306,0.001212,0.764604,0.060904,-0.158742,0.644356,0.679276,0.068088,0.580548,0.909538,-0.300084,0.076242,0.466035,0.873176,-0.208975,0.066971,-0.272568,0.798507,0.133307,0.107722,0.440138,0.618853,0.262308,0.107269,0.458425,0.155069,0.013733,0.991151,-0.032536,0.127952,0.459478,0.154543,-0.128394,0.000627,0.431916,0.137734,-0.085440,0.863038,0.456116,0.137505,-0.172886,0.859193,0.383090,0.153537,-0.145043,0.954216,0.566792,0.189396,-0.110206,0.830164,0.432317,0.137882,-0.085138,0.456347,0.137376,-0.173386,0.383097,0.153685,-0.144937,0.566152,0.189228,-0.110114,0.765231,0.060577,-0.157516,0.679177,0.068035,0.580234,-0.299898,0.075808,0.465851,-0.209540,0.067118,-0.272003,0.133331,0.108528,0.438824,0.260781,0.107633,0.455436
5,0.050000,0.000584,-0.000553,0.000528,-1.000000,0.221745,0.081191,0.252312,0.001216,0.764605,0.060902,-0.158742,0.643288,0.679285,0.068085,0.580549,0.916359,-0.300076,0.076227,0.466046,0.872713,-0.208975,0.066957,-0.272557,0.797435,0.133314,0.107713,0.440144,0.614950,0.262315,0.107262,0.458431,0.151419,0.013776,0.991140,-0.032710,0.127992,0.459474,0.154558,-0.128397,0.000629,0.431906,0.137767,-0.085440,0.865586,0.456113,0.137506,-0.172884,0.858324,0.383087,0.153556,-0.145052,0.954765,0.566791,0.189404,-0.110213,0.832055,0.432331,0.137927,-0.085152,0.456341,0.137373,-0.173385,0.383074,0.153700,-0.144943,0.566150,0.189232,-0.110108,0.765239,0.060572,-0.157508,0.679183,0.068033,0.580235,-0.299887,0.075791,0.465864,-0.209543,0.067105,-0.271999,0.133337,0.108522,0.438834,0.260772,0.107628,0.455429
