Format Version,1.23,Take Name,table_frame_may_11,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-11 09.54.54.415 AM,Total Frames in Take,1051,Total Exported Frames,1051,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker4","tframe:Marker4","tframe:Marker4","tframe:Marker4",table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3,tframe:Marker4,tframe:Marker4,tframe:Marker4
,ID,"A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","A3B1B4F64CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","BA12B4914CEA11F1EA32166A2DC38B7","C42F0","C42F0","C42F0","C3F10","C3F10","C3F10","C40D0","C40D0","C40D0","C3F50","C3F50","C3F50","C3EE0","C3EE0","C3EE0","C3F40","C3F40","C3F40","C3E40","C3E40","C3E40","C3E50","C3E50","C3E50","C3F70","C3F70","C3F70","C4310","C4310","C4310"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000383,0.000349,0.000169,-1.000000,0.218839,0.081728,0.251747,0.000646,0.762455,0.061994,-0.158335,0.813331,0.675796,0.068819,0.580804,0.811191,-0.303362,0.076304,0.464538,0.873480,-0.210922,0.067396,-0.273904,0.762344,0.130051,0.108111,0.439430,0.531656,0.259019,0.107745,0.457949,0.689639,0.007209,-0.000878,0.001522,-0.999973,0.196683,0.063126,-0.252833,0.000238,0.275494,-0.011790,-0.234656,0.925043,0.109137,-0.007516,-0.254599,0.892053,0.277460,0.146745,-0.240213,0.924641,0.124641,0.125065,-0.281865,0.898951,0.762811,0.062065,-0.157683,0.675978,0.068109,0.580987,-0.303017,0.075941,0.464472,-0.211766,0.067072,-0.273608,0.130673,0.109844,0.439084,0.258482,0.108157,0.456908,0.275360,-0.011848,-0.234918,0.109171,-0.007770,-0.254252,0.277503,0.146873,-0.239944,0.124700,0.125250,-0.282220
1,0.010000,0.000450,0.000425,0.000247,-1.000000,0.218803,0.081832,0.251688,0.000647,0.762477,0.061958,-0.158309,0.818915,0.675708,0.068895,0.580816,0.786653,-0.303432,0.076517,0.464401,0.887061,-0.210882,0.067496,-0.274025,0.733764,0.129990,0.108253,0.439355,0.590452,0.258955,0.107870,0.457893,0.722140,0.007220,-0.000894,0.001509,-0.999972,0.196679,0.063130,-0.252829,0.000234,0.275493,-0.011784,-0.234653,0.924903,0.109135,-0.007514,-0.254589,0.891805,0.277455,0.146751,-0.240213,0.925559,0.124635,0.125067,-0.281859,0.899870,0.762737,0.062142,-0.157658,0.675965,0.068103,0.581002,-0.303141,0.076248,0.464184,-0.211767,0.067077,-0.273609,0.130597,0.109760,0.439140,0.258489,0.108149,0.456923,0.275351,-0.011829,-0.234914,0.109169,-0.007774,-0.254245,0.277501,0.146873,-0.239945,0.124696,0.125250,-0.282210
2,0.020000,0.000470,0.000505,0.000296,-1.000000,0.218790,0.081877,0.251628,0.000674,0.762528,0.061933,-0.158282,0.818915,0.675641,0.068909,0.580829,0.786653,-0.303480,0.076622,0.464257,0.887061,-0.210812,0.067562,-0.274154,0.733764,0.129950,0.108315,0.439279,0.590452,0.258912,0.107920,0.457838,0.722140,0.007170,-0.000865,0.001564,-0.999973,0.196677,0.063139,-0.252833,0.000221,0.275481,-0.011785,-0.234660,0.924903,0.109125,-0.007495,-0.254606,0.891805,0.277461,0.146750,-0.240205,0.925559,0.124641,0.125087,-0.281862,0.899870,0.762732,0.062141,-0.157658,0.675956,0.068116,0.581006,-0.303224,0.076384,0.463915,-0.211766,0.067086,-0.273601,0.130588,0.109775,0.439145,0.258478,0.108158,0.456922,0.275359,-0.011844,-0.234915,0.109161,-0.007719,-0.254270,0.277498,0.146869,-0.239940,0.124689,0.125251,-0.282208
3,0.030000,0.000446,0.000423,0.000239,-1.000000,0.218794,0.081833,0.251691,0.000652,0.762466,0.061971,-0.158310,0.818026,0.675700,0.068901,0.580816,0.784409,-0.303440,0.076509,0.464406,0.885626,-0.210893,0.067495,-0.274021,0.731535,0.129982,0.108252,0.439358,0.588294,0.258947,0.107871,0.457895,0.719645,0.007182,-0.000879,0.001506,-0.999973,0.196675,0.063130,-0.252822,0.000228,0.275488,-0.011785,-0.234650,0.926646,0.109131,-0.007514,-0.254591,0.893751,0.277449,0.146751,-0.240198,0.926226,0.124631,0.125069,-0.281850,0.900265,0.762730,0.062152,-0.157656,0.675968,0.068102,0.580997,-0.303145,0.076237,0.464186,-0.211787,0.067075,-0.273601,0.130587,0.109768,0.439142,0.258467,0.108160,0.456924,0.275359,-0.011829,-0.234909,0.109161,-0.007763,-0.254248,0.277493,0.146865,-0.239929,0.124686,0.125248,-0.282202
4,0.040000,0.000476,0.000504,0.000294,-1.000000,0.218784,0.081885,0.251627,0.000676,0.762521,0.061939,-0.158283,0.818026,0.675635,0.068923,0.580828,0.784409,-0.303485,0.076630,0.464257,0.885626,-0.210819,0.067562,-0.274154,0.731535,0.129944,0.108324,0.439278,0.588294,0.258906,0.107930,0.457837,0.719645,0.006550,-0.000270,0.000969,-0.999978,0.196690,0.063023,-0.252918,0.000335,0.275563,-0.011829,-0.234745,0.926646,0.109225,-0.007714,-0.254883,0.893751,0.277359,0.146715,-0.240091,0.926226,0.124615,0.124920,-0.281956,0.900265,0.762721,0.062147,-0.157654,0.675931,0.068145,0.581002,-0.303216,0.076393,0.463917,-0.211777,0.067083,-0.273603,0.130589,0.109772,0.439142,0.258474,0.108164,0.456916,0.275363,-0.011826,-0.234914,0.109208,-0.008198,-0.254634,0.277501,0.146878,-0.239924,0.124690,0.125240,-0.282201
5,0.050000,0.000465,0.000509,0.000299,-1.000000,0.218784,0.081878,0.251629,0.000675,0.762525,0.061935,-0.158276,0.827091,0.675632,0.068903,0.580834,0.779356,-0.303487,0.076625,0.464254,0.876914,-0.210814,0.067572,-0.274156,0.697141,0.129943,0.108314,0.439280,0.601101,0.258904,0.107919,0.457840,0.737330,0.007135,-0.000832,0.001493,-0.999973,0.196672,0.063136,-0.252811,0.000237,0.275486,-0.011778,-0.234638,0.926003,0.109130,-0.007511,-0.254595,0.891289,0.277443,0.146758,-0.240171,0.924669,0.124629,0.125075,-0.281840,0.897432,0.762729,0.062145,-0.157649,0.675956,0.068101,0.581010,-0.303226,0.076388,0.463910,-0.211773,0.067090,-0.273596,0.130568,0.109776,0.439146,0.258465,0.108159,0.456916,0.275359,-0.011827,-0.234901,0.109159,-0.007767,-0.254245,0.277489,0.146875,-0.239897,0.124681,0.125264,-0.282200
6,0.060000,0.000455,0.000513,0.000299,-1.000000,0.218786,0.081878,0.251624,0.000691,0.762531,0.061943,-0.158277,0.827091,0.675631,0.068898,0.580832,0.779356,-0.303487,0.076621,0.464244,0.876914,-0.210807,0.067582,-0.274166,0.697141,0.129943,0.108311,0.439274,0.601101,0.258904,0.107915,0.457835,0.737330,0.007234,-0.000858,0.001535,-0.999972,0.196674,0.063137,-0.252806,0.000231,0.275482,-0.011781,-0.234622,0.926003,0.109126,-0.007503,-0.254571,0.891289,0.277453,0.146754,-0.240187,0.924669,0.124635,0.125076,-0.281844,0.897432,0.762730,0.062154,-0.157649,0.675952,0.068090,0.581012,-0.303233,0.076401,0.463916,-0.211775,0.067083,-0.273599,0.130636,0.109838,0.439088,0.258462,0.108167,0.456918,0.275359,-0.011838,-0.234878,0.109159,-0.007745,-0.254231,0.277493,0.146872,-0.239921,0.124683,0.125257,-0.282195
