Format Version,1.23,Take Name,linear_t0_slow_may_12,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-12 06.45.58.926 PM,Total Frames in Take,3364,Total Exported Frames,3364,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker7","noark:Marker7","noark:Marker7","noark:Marker7","noark:Marker8","noark:Marker8","noark:Marker8","noark:Marker8","noark:Marker9","noark:Marker9","noark:Marker9","noark:Marker9","noark:Marker10","noark:Marker10","noark:Marker10","noark:Marker10","noark:Marker11","noark:Marker11","noark:Marker11","noark:Marker11",Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1131,Unlabeled 1131,Unlabeled 1131,Unlabeled 1132,Unlabeled 1132,Unlabeled 1132,Unlabeled 1133,Unlabeled 1133,Unlabeled 1133,Unlabeled 1134,Unlabeled 1134,Unlabeled 1134,Unlabeled 1135,Unlabeled 1135,Unlabeled 1135,Unlabeled 1136,Unlabeled 1136,Unlabeled 1136,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker10,noark:Marker10,noark:Marker10,noark:Marker11,noark:Marker11,noark:Marker11,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,noark:Marker7,noark:Marker7,noark:Marker7,noark:Marker8,noark:Marker8,noark:Marker8,noark:Marker9,noark:Marker9,noark:Marker9,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","C69D0","C69D0","C69D0","C6B00","C6B00","C6B00","C6B20","C6B20","C6B20","C6B30","C6B30","C6B30","C6B80","C6B80","C6B80","C6BA0","C6BA0","C6BA0","C6BE0","C6BE0","C6BE0","C5C60","C5C60","C5C60","C6A20","C6A20","C6A20","C60C0","C60C0","C60C0","C5CC0","C5CC0","C5CC0","C6230","C6230","C6230","C5E30","C5E30","C5E30","C5EA0","C5EA0","C5EA0","C5EC0","C5EC0","C5EC0","C6450","C6450","C6450","C6780","C6780","C6780","C6760","C6760","C6760","C3A40","C3A40","C3A40","C3A70","C3A70","C3A70","C39C0","C39C0","C39C0","C39F0","C39F0","C39F0","C3ED0","C3ED0","C3ED0","B6CF36AA4E0411F1EA32166A2DC39B7","B6CF36AA4E0411F1EA32166A2DC39B7","B6CF36AA4E0411F1EA32166A2DC39B7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000004,-0.000020,-0.000333,-1.000000,0.321029,0.078615,0.036227,0.000609,-0.177984,0.063786,-0.429794,0.842329,0.565643,0.061901,-0.470975,0.850331,0.620773,0.071636,0.512989,0.860064,-0.121777,0.069591,0.552629,0.900816,0.515571,0.103389,-0.038335,0.804282,0.523951,0.101386,0.090846,0.000000,0.010657,-0.223196,0.018152,-0.974546,-0.017748,0.096948,-0.205022,0.000785,0.076215,0.139217,-0.159609,0.865831,0.074315,0.137470,-0.256672,0.612957,0.020076,0.074030,-0.204929,0.853347,-0.151571,0.135714,-0.150713,0.835206,-0.054076,0.138574,-0.152491,0.754034,-0.056240,0.135967,-0.256984,0.803428,-0.053664,0.039949,-0.150154,0.854690,0.077927,0.044570,-0.254565,0.801310,-0.055319,0.041147,-0.255724,0.471694,0.080144,0.046048,-0.157928,0.208595,-0.153032,0.133743,-0.255466,0.844310,0.519684,0.103559,0.088843,,,,,,,,,,,,,,,,,,,0.075729,0.139038,-0.159469,0.082184,0.048351,-0.158673,-0.153024,0.134216,-0.255872,0.072960,0.138185,-0.256450,0.019982,0.074089,-0.205506,-0.151035,0.136084,-0.150612,-0.053305,0.138331,-0.151930,-0.056157,0.135632,-0.257691,-0.053134,0.039719,-0.150088,0.077798,0.044970,-0.253891,-0.055966,0.039140,-0.255596,-0.177572,0.063577,-0.429364,0.565442,0.062199,-0.470496,0.620450,0.071452,0.512570,-0.122073,0.069792,0.552800,0.515978,0.103283,-0.038995,,,
1,0.010000,0.000000,-0.000017,-0.000359,-1.000000,0.321027,0.078606,0.036219,0.000588,-0.177983,0.063748,-0.429804,0.851812,0.565644,0.061902,-0.470981,0.850126,0.620767,0.071647,0.512983,0.862520,-0.121782,0.069563,0.552619,0.897427,0.515567,0.103391,-0.038342,0.804757,0.523947,0.101389,0.090839,0.000000,0.010815,-0.223224,0.018118,-0.974539,-0.017733,0.096968,-0.205024,0.000782,0.076227,0.139263,-0.159630,0.874322,0.074320,0.137487,-0.256693,0.613176,0.020093,0.074055,-0.204928,0.863589,-0.151558,0.135731,-0.150719,0.839928,-0.054064,0.138604,-0.152504,0.752243,-0.056234,0.135967,-0.256996,0.803077,-0.053638,0.039980,-0.150138,0.857214,0.077945,0.044588,-0.254559,0.804819,-0.055301,0.041147,-0.255708,0.471020,0.080169,0.046094,-0.157922,0.224760,-0.153026,0.133730,-0.255470,0.844665,0.519680,0.103562,0.088825,,,,,,,,,,,,,,,,,,,0.075758,0.139122,-0.159515,0.082178,0.048333,-0.158674,-0.153021,0.134207,-0.255868,0.072961,0.138186,-0.256454,0.019980,0.074104,-0.205459,-0.151041,0.136094,-0.150613,-0.053298,0.138345,-0.151931,-0.056129,0.135616,-0.257693,-0.053129,0.039724,-0.150097,0.077803,0.044968,-0.253892,-0.055962,0.039140,-0.255601,-0.177590,0.063530,-0.429418,0.565448,0.062207,-0.470504,0.620452,0.071454,0.512576,-0.122072,0.069773,0.552820,0.515976,0.103287,-0.039000,,,
2,0.020000,-0.000076,-0.000037,-0.000389,-1.000000,0.321023,0.078674,0.036205,0.000591,-0.178004,0.063857,-0.429801,0.851812,0.565622,0.062061,-0.471007,0.850126,0.620783,0.071659,0.512956,0.862520,-0.121765,0.069525,0.552621,0.897427,0.515559,0.103481,-0.038360,0.804757,0.523944,0.101459,0.090821,0.000000,0.010793,-0.223215,0.018121,-0.974541,-0.017730,0.096967,-0.205029,0.000787,0.076230,0.139258,-0.159631,0.874322,0.074325,0.137486,-0.256694,0.613176,0.020096,0.074053,-0.204933,0.863589,-0.151555,0.135730,-0.150724,0.839928,-0.054061,0.138601,-0.152507,0.752243,-0.056230,0.135968,-0.257000,0.803077,-0.053636,0.039977,-0.150145,0.857214,0.077949,0.044588,-0.254564,0.804819,-0.055297,0.041149,-0.255715,0.471020,0.080170,0.046090,-0.157927,0.224760,-0.153021,0.133733,-0.255476,0.844665,0.519685,0.103540,0.088847,,,,,,,,,,,,,,,,,,,0.075765,0.139110,-0.159513,0.082235,0.048391,-0.158663,-0.153016,0.134213,-0.255876,0.072981,0.138206,-0.256451,0.019987,0.074098,-0.205489,-0.151038,0.136083,-0.150619,-0.053280,0.138395,-0.151964,-0.056113,0.135625,-0.257693,-0.053122,0.039728,-0.150100,0.077811,0.044985,-0.253892,-0.055943,0.039143,-0.255600,-0.177572,0.063581,-0.429360,0.565399,0.062474,-0.470604,0.620461,0.071439,0.512583,-0.122073,0.069802,0.552789,0.515981,0.103288,-0.038999,,,
3,0.030000,0.000005,-0.000015,-0.000355,-1.000000,0.321028,0.078606,0.036212,0.000587,-0.177979,0.063748,-0.429814,0.852547,0.565649,0.061894,-0.470987,0.848603,0.620766,0.071649,0.512977,0.865219,-0.121784,0.069572,0.552609,0.898239,0.515570,0.103388,-0.038348,0.804872,0.523948,0.101387,0.090833,0.000000,0.010829,-0.223108,0.018342,-0.974561,-0.017754,0.096967,-0.205025,0.000790,0.076213,0.139228,-0.159614,0.868754,0.074329,0.137440,-0.256677,0.609905,0.020063,0.074038,-0.204917,0.866030,-0.151575,0.135795,-0.150757,0.840950,-0.054080,0.138626,-0.152519,0.744001,-0.056226,0.135976,-0.257011,0.803512,-0.053696,0.040002,-0.150140,0.887478,0.077914,0.044540,-0.254530,0.806375,-0.055333,0.041156,-0.255710,0.471905,0.080115,0.046058,-0.157893,0.203099,-0.153019,0.133781,-0.255509,0.856664,0.519689,0.103553,0.088838,,,,,,,,,,,,,,,,,,,0.075749,0.139020,-0.159484,0.082207,0.048328,-0.158688,-0.153008,0.134215,-0.255883,0.072970,0.138174,-0.256455,0.020004,0.074144,-0.205439,-0.151027,0.136093,-0.150632,-0.053286,0.138351,-0.151934,-0.056123,0.135618,-0.257703,-0.053250,0.039959,-0.150185,0.077768,0.044915,-0.253868,-0.055944,0.039137,-0.255601,-0.177590,0.063520,-0.429433,0.565443,0.062205,-0.470509,0.620458,0.071445,0.512585,-0.122070,0.069790,0.552799,0.515981,0.103291,-0.039004,,,
4,0.040000,-0.000009,-0.000020,-0.000328,-1.000000,0.321032,0.078620,0.036230,0.000609,-0.177982,0.063801,-0.429791,0.852547,0.565646,0.061909,-0.470972,0.848603,0.620774,0.071632,0.512992,0.865219,-0.121775,0.069594,0.552632,0.898239,0.515574,0.103393,-0.038332,0.804872,0.523953,0.101388,0.090850,0.000000,0.010839,-0.223210,0.018160,-0.974541,-0.017712,0.096968,-0.205033,0.000781,0.076249,0.139259,-0.159639,0.868754,0.074346,0.137477,-0.256702,0.609905,0.020113,0.074053,-0.204935,0.866030,-0.151536,0.135745,-0.150734,0.840950,-0.054042,0.138611,-0.152517,0.744001,-0.056209,0.135967,-0.257009,0.803512,-0.053623,0.039987,-0.150144,0.887478,0.077964,0.044579,-0.254562,0.806375,-0.055282,0.041147,-0.255714,0.471905,0.080185,0.046091,-0.157925,0.203099,-0.153001,0.133737,-0.255486,0.856664,0.519686,0.103551,0.088835,,,,,,,,,,,,,,,,,,,0.075772,0.139114,-0.159521,0.082191,0.048345,-0.158690,-0.152997,0.134205,-0.255881,0.072988,0.138202,-0.256455,0.020007,0.074090,-0.205476,-0.151008,0.136095,-0.150635,-0.053274,0.138396,-0.151958,-0.056105,0.135629,-0.257704,-0.053118,0.039718,-0.150097,0.077811,0.044959,-0.253893,-0.055932,0.039147,-0.255606,-0.177578,0.063588,-0.429357,0.565451,0.062212,-0.470495,0.620461,0.071445,0.512583,-0.122077,0.069799,0.552796,0.515981,0.103285,-0.038997,,,
5,0.050000,-0.000009,-0.000024,-0.000333,-1.000000,0.321036,0.078621,0.036226,0.000611,-0.177981,0.063798,-0.429791,0.840444,0.565646,0.061913,-0.470978,0.853266,0.620782,0.071637,0.512986,0.862805,-0.121767,0.069592,0.552631,0.900536,0.515577,0.103396,-0.038337,0.802061,0.523958,0.101391,0.090844,0.000000,0.010736,-0.223199,0.018176,-0.974544,-0.017699,0.096974,-0.205039,0.000786,0.076265,0.139249,-0.159634,0.880439,0.074364,0.137486,-0.256698,0.612963,0.020124,0.074056,-0.204944,0.852242,-0.151521,0.135751,-0.150736,0.843782,-0.054026,0.138609,-0.152515,0.758218,-0.056191,0.135986,-0.257008,0.798964,-0.053615,0.039985,-0.150162,0.856453,0.077975,0.044587,-0.254575,0.800707,-0.055272,0.041166,-0.255732,0.464470,0.080193,0.046081,-0.157938,0.213561,-0.152984,0.133763,-0.255488,0.845309,0.519684,0.103541,0.088844,,,,,,,,,,,,,,,,,,,0.075829,0.139100,-0.159506,0.082232,0.048356,-0.158687,-0.152966,0.134238,-0.255884,0.073018,0.138211,-0.256451,0.020007,0.074111,-0.205520,-0.151015,0.136103,-0.150637,-0.053261,0.138394,-0.151965,-0.056089,0.135617,-0.257715,-0.053109,0.039722,-0.150097,0.077823,0.044981,-0.253899,-0.055939,0.039134,-0.255608,-0.177575,0.063590,-0.429345,0.565455,0.062208,-0.470508,0.620463,0.071454,0.512578,-0.122072,0.069791,0.552792,0.515986,0.103292,-0.039007,,,
