Format Version,1.23,Take Name,linear_t1_slow_may_12,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-12 06.47.17.599 PM,Total Frames in Take,3302,Total Exported Frames,3302,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker7","noark:Marker7","noark:Marker7","noark:Marker7","noark:Marker8","noark:Marker8","noark:Marker8","noark:Marker8","noark:Marker9","noark:Marker9","noark:Marker9","noark:Marker9","noark:Marker10","noark:Marker10","noark:Marker10","noark:Marker10","noark:Marker11","noark:Marker11","noark:Marker11","noark:Marker11",Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker10,noark:Marker10,noark:Marker10,noark:Marker11,noark:Marker11,noark:Marker11,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,noark:Marker7,noark:Marker7,noark:Marker7,noark:Marker8,noark:Marker8,noark:Marker8,noark:Marker9,noark:Marker9,noark:Marker9,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","C6E20","C6E20","C6E20","C6F50","C6F50","C6F50","C6FE0","C6FE0","C6FE0","C5CC0","C5CC0","C5CC0","C6E40","C6E40","C6E40","C5E30","C5E30","C5E30","C5C60","C5C60","C5C60","C6230","C6230","C6230","C60C0","C60C0","C60C0","C5EC0","C5EC0","C5EC0","C5EA0","C5EA0","C5EA0","C6760","C6760","C6760","C6E30","C6E30","C6E30","C6450","C6450","C6450","C3A40","C3A40","C3A40","C3A70","C3A70","C3A70","C39C0","C39C0","C39C0","C39F0","C39F0","C39F0","C3ED0","C3ED0","C3ED0","C6D90","C6D90","C6D90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000102,-0.000044,-0.000325,-1.000000,0.320926,0.078564,0.036541,0.000860,-0.178110,0.063835,-0.429458,0.838046,0.565515,0.061946,-0.470676,0.833212,0.620693,0.071487,0.513287,0.811880,-0.121855,0.069446,0.552963,0.772115,0.515465,0.103350,-0.038025,0.719147,0.523851,0.101321,0.091155,0.480745,0.916528,-0.346755,0.169951,0.104185,0.061803,0.080337,-0.180421,0.000773,0.096396,-0.015279,-0.228784,0.000001,0.103072,-0.013107,-0.131940,0.000001,0.104782,0.070403,-0.183582,0.116303,-0.064661,0.146055,-0.225682,0.000001,0.003184,0.076035,-0.228972,0.000001,0.010791,0.078976,-0.124742,0.000001,0.071915,0.146469,-0.235860,0.000001,0.170125,0.050991,-0.138506,0.185404,0.077315,0.146323,-0.130409,0.000001,0.163894,0.048790,-0.234954,0.000001,-0.056977,0.148049,-0.121202,0.000001,,,,,,,,,,0.157076,0.137600,-0.236518,0.161423,0.044639,-0.234249,-0.062580,0.135951,-0.120698,0.163626,0.138545,-0.139298,0.106072,0.073686,-0.183353,-0.069002,0.134833,-0.225938,0.027860,0.136373,-0.231733,0.035376,0.138047,-0.126296,0.028066,0.038634,-0.230273,0.169499,0.047918,-0.139390,0.035393,0.041550,-0.125695,-0.177560,0.063505,-0.429549,0.565260,0.062538,-0.470501,0.620520,0.071327,0.512573,-0.122102,0.069921,0.553701,0.516482,0.103180,-0.037581,0.522228,0.100457,0.090189
1,0.010000,-0.000086,-0.000042,-0.000345,-1.000000,0.320926,0.078583,0.036532,0.000888,-0.178108,0.063819,-0.429468,0.839826,0.565518,0.061959,-0.470683,0.837844,0.620690,0.071533,0.513280,0.807570,-0.121857,0.069463,0.552953,0.772251,0.515464,0.103375,-0.038034,0.716457,0.523849,0.101350,0.091147,0.466840,0.916537,-0.347064,0.169963,0.103046,0.061833,0.080432,-0.180441,0.000774,0.096452,-0.015084,-0.228982,0.000001,0.103043,-0.013125,-0.132128,0.000001,0.104813,0.070497,-0.183586,0.129888,-0.064581,0.146270,-0.225668,0.000001,0.003255,0.076246,-0.229052,0.000001,0.010771,0.078958,-0.124809,0.000001,0.072004,0.146684,-0.235726,0.000001,0.170113,0.050976,-0.138496,0.191208,0.077312,0.146306,-0.130271,0.000001,0.163966,0.048986,-0.234954,0.000001,-0.056987,0.148034,-0.121177,0.000001,,,,,,,,,,0.157067,0.137601,-0.236520,0.161416,0.044648,-0.234247,-0.062579,0.135944,-0.120702,0.163596,0.138583,-0.139327,0.106085,0.073728,-0.183346,-0.069003,0.134833,-0.225942,0.027823,0.136353,-0.231733,0.035359,0.138064,-0.126234,0.028054,0.038619,-0.230259,0.169505,0.047928,-0.139393,0.035385,0.041558,-0.125694,-0.177560,0.063498,-0.429554,0.565269,0.062530,-0.470502,0.620497,0.071372,0.512553,-0.122100,0.069920,0.553703,0.516484,0.103179,-0.037580,0.522177,0.100554,0.090090
2,0.020000,-0.000092,-0.000041,-0.000335,-1.000000,0.320919,0.078573,0.036536,0.000864,-0.178114,0.063825,-0.429466,0.839826,0.565512,0.061950,-0.470678,0.837844,0.620682,0.071511,0.513285,0.807570,-0.121866,0.069455,0.552955,0.772251,0.515457,0.103361,-0.038029,0.716457,0.523843,0.101335,0.091152,0.466840,0.916607,-0.347195,0.169988,0.101942,0.061837,0.080447,-0.180465,0.000779,0.096513,-0.014961,-0.229175,0.000001,0.103026,-0.013201,-0.132312,0.000001,0.104821,0.070528,-0.183595,0.129888,-0.064553,0.146355,-0.225659,0.000001,0.003299,0.076351,-0.229132,0.000001,0.010730,0.078849,-0.124878,0.000001,0.072041,0.146815,-0.235605,0.000001,0.170089,0.050925,-0.138492,0.191208,0.077262,0.146221,-0.130146,0.000001,0.164020,0.049134,-0.234959,0.000001,-0.057044,0.147905,-0.121159,0.000001,,,,,,,,,,0.157063,0.137607,-0.236520,0.161417,0.044715,-0.234261,-0.062607,0.135936,-0.120694,0.163615,0.138536,-0.139293,0.106079,0.073733,-0.183343,-0.069010,0.134836,-0.225929,0.027852,0.136363,-0.231737,0.035369,0.138039,-0.126297,0.028079,0.038668,-0.230278,0.169513,0.047953,-0.139376,0.035423,0.041585,-0.125682,-0.177557,0.063509,-0.429548,0.565261,0.062530,-0.470503,0.620492,0.071366,0.512550,-0.122108,0.069913,0.553692,0.516474,0.103194,-0.037573,0.522230,0.100455,0.090181
3,0.030000,-0.000090,-0.000042,-0.000347,-1.000000,0.320921,0.078569,0.036537,0.000863,-0.178112,0.063807,-0.429464,0.839228,0.565513,0.061951,-0.470678,0.834523,0.620685,0.071516,0.513285,0.805813,-0.121863,0.069443,0.552958,0.772978,0.515459,0.103362,-0.038029,0.718792,0.523844,0.101336,0.091152,0.482645,0.916600,-0.347572,0.169989,0.100707,0.061823,0.080461,-0.180486,0.000774,0.096519,-0.014841,-0.229392,0.000001,0.102941,-0.013314,-0.132519,0.000001,0.104808,0.070537,-0.183600,0.147356,-0.064506,0.146512,-0.225642,0.000001,0.003330,0.076497,-0.229218,0.000001,0.010664,0.078744,-0.124952,0.000001,0.072097,0.146957,-0.235458,0.000001,0.170027,0.050808,-0.138483,0.236823,0.077220,0.146110,-0.129996,0.000001,0.164049,0.049249,-0.234960,0.000001,-0.057095,0.147809,-0.121131,0.000001,,,,,,,,,,0.157057,0.137610,-0.236512,0.161396,0.044632,-0.234249,-0.062619,0.135919,-0.120690,0.163551,0.138499,-0.139341,0.106059,0.073700,-0.183348,-0.069022,0.134835,-0.225931,0.027770,0.136421,-0.231707,0.035359,0.138045,-0.126288,0.028030,0.038601,-0.230259,0.169500,0.047940,-0.139383,0.035370,0.041552,-0.125692,-0.177561,0.063490,-0.429556,0.565265,0.062537,-0.470496,0.620498,0.071373,0.512545,-0.122099,0.069907,0.553701,0.516469,0.103188,-0.037565,0.522242,0.100454,0.090185
4,0.040000,-0.000090,-0.000042,-0.000346,-1.000000,0.320924,0.078564,0.036535,0.000862,-0.178109,0.063803,-0.429466,0.839228,0.565517,0.061944,-0.470680,0.834523,0.620689,0.071510,0.513283,0.805813,-0.121859,0.069438,0.552956,0.772978,0.515462,0.103356,-0.038031,0.718792,0.523848,0.101330,0.091150,0.482645,0.916581,-0.346531,0.169907,0.104537,0.061759,0.080317,-0.180402,0.000773,0.096364,-0.015320,-0.228713,0.000001,0.103076,-0.013081,-0.131873,0.000001,0.104740,0.070395,-0.183573,0.147356,-0.064744,0.145964,-0.225658,0.000001,0.003122,0.075964,-0.228926,0.000001,0.010769,0.078978,-0.124702,0.000001,0.071828,0.146415,-0.235890,0.000001,0.170107,0.051034,-0.138509,0.236823,0.077269,0.146343,-0.130440,0.000001,0.163838,0.048765,-0.234953,0.000001,-0.057019,0.148031,-0.121182,0.000001,,,,,,,,,,0.156915,0.137687,-0.236277,0.161412,0.044740,-0.234268,-0.062630,0.135934,-0.120681,0.163573,0.138587,-0.139321,0.106056,0.073693,-0.183345,-0.069035,0.134837,-0.225930,0.027764,0.136419,-0.231709,0.035317,0.137977,-0.126245,0.028040,0.038627,-0.230273,0.169485,0.047919,-0.139381,0.035376,0.041550,-0.125689,-0.177558,0.063488,-0.429555,0.565270,0.062527,-0.470502,0.620498,0.071368,0.512548,-0.122104,0.069903,0.553712,0.516480,0.103182,-0.037590,0.522233,0.100442,0.090187
5,0.050000,-0.000109,-0.000042,-0.000331,-1.000000,0.320926,0.078562,0.036543,0.000859,-0.178108,0.063832,-0.429459,0.838174,0.565517,0.061954,-0.470673,0.834607,0.620690,0.071482,0.513290,0.813449,-0.121857,0.069431,0.552963,0.773160,0.515464,0.103351,-0.038023,0.723141,0.523850,0.101321,0.091158,0.479088,0.916602,-0.346184,0.169906,0.105498,0.061704,0.080198,-0.180375,0.000775,0.096304,-0.015519,-0.228532,0.000001,0.103088,-0.013096,-0.131702,0.000001,0.104686,0.070284,-0.183559,0.088133,-0.064854,0.145719,-0.225659,0.000001,0.003032,0.075735,-0.228847,0.000001,0.010756,0.078946,-0.124634,0.000001,0.071710,0.146195,-0.235994,0.000001,0.170093,0.051029,-0.138508,0.173323,0.077230,0.146322,-0.130549,0.000001,0.163753,0.048577,-0.234943,0.000001,-0.057052,0.147985,-0.121194,0.000001,,,,,,,,,,0.156845,0.137593,-0.236317,0.161394,0.044710,-0.234246,-0.062637,0.135928,-0.120681,0.163595,0.138557,-0.139281,0.106021,0.073671,-0.183339,-0.069035,0.134844,-0.225925,0.027764,0.136427,-0.231695,0.035309,0.137964,-0.126261,0.028034,0.038637,-0.230271,0.169465,0.047904,-0.139391,0.035362,0.041551,-0.125690,-0.177563,0.063498,-0.429558,0.565261,0.062540,-0.470504,0.620516,0.071311,0.512585,-0.122093,0.069907,0.553699,0.516465,0.103202,-0.037573,0.522227,0.100455,0.090179
