Format Version,1.23,Take Name,rotation_random_t0_mixed_may_12,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-12 06.55.00.540 PM,Total Frames in Take,4461,Total Exported Frames,4461,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker7","noark:Marker7","noark:Marker7","noark:Marker7","noark:Marker8","noark:Marker8","noark:Marker8","noark:Marker8","noark:Marker9","noark:Marker9","noark:Marker9","noark:Marker9","noark:Marker10","noark:Marker10","noark:Marker10","noark:Marker10","noark:Marker11","noark:Marker11","noark:Marker11","noark:Marker11",Unlabeled 1285,Unlabeled 1285,Unlabeled 1285,Unlabeled 1286,Unlabeled 1286,Unlabeled 1286,Unlabeled 1287,Unlabeled 1287,Unlabeled 1287,Unlabeled 1288,Unlabeled 1288,Unlabeled 1288,Unlabeled 1289,Unlabeled 1289,Unlabeled 1289,Unlabeled 1290,Unlabeled 1290,Unlabeled 1290,Unlabeled 1291,Unlabeled 1291,Unlabeled 1291,Unlabeled 1292,Unlabeled 1292,Unlabeled 1292,Unlabeled 1293,Unlabeled 1293,Unlabeled 1293,Unlabeled 1294,Unlabeled 1294,Unlabeled 1294,Unlabeled 1295,Unlabeled 1295,Unlabeled 1295,Unlabeled 1296,Unlabeled 1296,Unlabeled 1296,Unlabeled 1298,Unlabeled 1298,Unlabeled 1298,Unlabeled 1299,Unlabeled 1299,Unlabeled 1299,Unlabeled 1300,Unlabeled 1300,Unlabeled 1300,Unlabeled 1301,Unlabeled 1301,Unlabeled 1301,Unlabeled 1303,Unlabeled 1303,Unlabeled 1303,Unlabeled 1304,Unlabeled 1304,Unlabeled 1304,Unlabeled 1305,Unlabeled 1305,Unlabeled 1305,Unlabeled 1306,Unlabeled 1306,Unlabeled 1306,Unlabeled 1307,Unlabeled 1307,Unlabeled 1307,Unlabeled 1308,Unlabeled 1308,Unlabeled 1308,Unlabeled 1309,Unlabeled 1309,Unlabeled 1309,Unlabeled 1310,Unlabeled 1310,Unlabeled 1310,Unlabeled 1311,Unlabeled 1311,Unlabeled 1311,Unlabeled 1312,Unlabeled 1312,Unlabeled 1312,Unlabeled 1313,Unlabeled 1313,Unlabeled 1313,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker10,noark:Marker10,noark:Marker10,noark:Marker11,noark:Marker11,noark:Marker11,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,noark:Marker7,noark:Marker7,noark:Marker7,noark:Marker8,noark:Marker8,noark:Marker8,noark:Marker9,noark:Marker9,noark:Marker9,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","B9367AA64E0111F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","6DBFFB34E0411F1EA32166A2DC39B7","C7FB0","C7FB0","C7FB0","C8040","C8040","C8040","C8030","C8030","C8030","C8050","C8050","C8050","C8080","C8080","C8080","C8090","C8090","C8090","C8110","C8110","C8110","C8120","C8120","C8120","C8160","C8160","C8160","C8140","C8140","C8140","C8180","C8180","C8180","C8190","C8190","C8190","C81A0","C81A0","C81A0","C81B0","C81B0","C81B0","C81D0","C81D0","C81D0","C81E0","C81E0","C81E0","C8200","C8200","C8200","C8220","C8220","C8220","C8240","C8240","C8240","C8280","C8280","C8280","C82A0","C82A0","C82A0","C82E0","C82E0","C82E0","C82C0","C82C0","C82C0","C82F0","C82F0","C82F0","C8310","C8310","C8310","C8300","C8300","C8300","C8320","C8320","C8320","C5C60","C5C60","C5C60","C8010","C8010","C8010","C60C0","C60C0","C60C0","C5CC0","C5CC0","C5CC0","C7F10","C7F10","C7F10","C5E30","C5E30","C5E30","C5EA0","C5EA0","C5EA0","C5EC0","C5EC0","C5EC0","C7AB0","C7AB0","C7AB0","C7F90","C7F90","C7F90","C5840","C5840","C5840","C39F0","C39F0","C39F0","C39C0","C39C0","C39C0","C3A70","C3A70","C3A70","C3A40","C3A40","C3A40","C8000","C8000","C8000","C3ED0","C3ED0","C3ED0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.998457,0.000174,0.055535,-0.000072,0.320727,0.055591,0.035874,0.001300,-0.123511,0.070327,0.554377,0.710851,0.620094,0.072448,0.512806,0.664065,0.565726,0.062600,-0.471199,0.765581,-0.176639,0.064410,-0.428217,0.643226,0.522347,0.030887,0.088396,0.000001,0.516343,0.032876,-0.040918,0.000001,-0.007409,0.236456,-0.019045,0.971427,-0.017244,0.097123,-0.206000,0.000634,0.078069,0.138772,-0.162886,0.931388,0.073534,0.137652,-0.259871,0.761898,0.020484,0.074073,-0.207078,0.838185,-0.149404,0.136009,-0.147841,0.874228,-0.051983,0.138539,-0.152243,0.777662,-0.056986,0.136609,-0.256653,0.796524,-0.051870,0.039901,-0.150539,0.838800,0.076860,0.044728,-0.258448,0.782006,-0.056380,0.041780,-0.256015,0.530383,0.081700,0.045580,-0.161899,0.000000,-0.153709,0.134714,-0.252526,0.817672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078131,0.138508,-0.162840,,,,-0.153985,0.135036,-0.253119,0.072869,0.138263,-0.259569,0.020555,0.074358,-0.207654,-0.149155,0.136409,-0.147663,-0.051448,0.138355,-0.151557,-0.057208,0.136754,-0.257423,-0.051271,0.039668,-0.150598,0.076626,0.044705,-0.257609,-0.056653,0.039921,-0.255991,-0.122677,0.069917,0.553689,0.620375,0.071385,0.513579,0.565217,0.062151,-0.470552,-0.177202,0.063371,-0.429017,0.519734,0.103544,0.088970,0.515815,0.103291,-0.039000
1,0.010000,-0.998456,0.000271,0.055546,0.000015,0.320768,0.055510,0.035895,0.001301,-0.123455,0.070252,0.554410,0.720866,0.620149,0.072228,0.512823,0.631568,0.565758,0.062552,-0.471182,0.768813,-0.176605,0.064506,-0.428183,0.620752,0.522385,0.030756,0.088409,0.000001,0.516379,0.032768,-0.040905,0.000001,-0.007459,0.236515,-0.018977,0.971414,-0.017233,0.097125,-0.206002,0.000640,0.078079,0.138790,-0.162903,0.940116,0.073532,0.137664,-0.259888,0.768682,0.020498,0.074080,-0.207083,0.839973,-0.149391,0.135994,-0.147829,0.877927,-0.051972,0.138539,-0.152244,0.775544,-0.056987,0.136601,-0.256653,0.790635,-0.051843,0.039900,-0.150534,0.826767,0.076873,0.044741,-0.258459,0.778274,-0.056366,0.041772,-0.256010,0.535525,0.081725,0.045600,-0.161910,0.000000,-0.153710,0.134691,-0.252513,0.811860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078195,0.138584,-0.162871,,,,-0.153985,0.135034,-0.253124,0.072879,0.138242,-0.259578,0.020540,0.074352,-0.207661,-0.149171,0.136395,-0.147660,-0.051418,0.138395,-0.151552,-0.057219,0.136781,-0.257438,-0.051243,0.039555,-0.150559,0.076631,0.044721,-0.257606,-0.056644,0.039935,-0.255998,-0.122677,0.069907,0.553687,0.620539,0.071076,0.513656,0.565224,0.062167,-0.470532,-0.177195,0.063380,-0.429012,0.519739,0.103553,0.088972,0.515818,0.103280,-0.039002
2,0.020000,-0.998457,0.000181,0.055534,-0.000056,0.320727,0.055597,0.035880,0.001296,-0.123513,0.070323,0.554382,0.720866,0.620092,0.072433,0.512814,0.631568,0.565728,0.062618,-0.471192,0.768813,-0.176637,0.064439,-0.428212,0.620752,0.522347,0.030888,0.088402,0.000001,0.516343,0.032881,-0.040912,0.000001,-0.007498,0.236521,-0.018931,0.971413,-0.017238,0.097142,-0.206004,0.000621,0.078070,0.138820,-0.162908,0.940116,0.073521,0.137688,-0.259892,0.768682,0.020495,0.074101,-0.207084,0.839973,-0.149400,0.136000,-0.147831,0.877927,-0.051981,0.138555,-0.152247,0.775544,-0.056998,0.136611,-0.256656,0.790635,-0.051841,0.039917,-0.150531,0.826767,0.076873,0.044765,-0.258459,0.778274,-0.056367,0.041782,-0.256007,0.535525,0.081726,0.045630,-0.161910,0.000000,-0.153720,0.134691,-0.252515,0.811860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078196,0.138580,-0.162863,,,,-0.153984,0.135036,-0.253120,0.072870,0.138267,-0.259570,0.020542,0.074386,-0.207654,-0.149179,0.136401,-0.147665,-0.051402,0.138407,-0.151558,-0.057215,0.136784,-0.257437,-0.051233,0.039562,-0.150563,0.076652,0.044790,-0.257610,-0.056739,0.040215,-0.256030,-0.122674,0.069922,0.553692,0.620376,0.071352,0.513577,0.565217,0.062178,-0.470525,-0.177206,0.063382,-0.429022,0.519734,0.103552,0.088976,0.515812,0.103285,-0.039000
3,0.030000,-0.998456,0.000275,0.055551,0.000011,0.320767,0.055503,0.035896,0.001301,-0.123452,0.070253,0.554415,0.721245,0.620153,0.072223,0.512821,0.631814,0.565751,0.062539,-0.471184,0.769284,-0.176612,0.064499,-0.428178,0.618773,0.522384,0.030749,0.088408,0.000001,0.516376,0.032759,-0.040906,0.000001,-0.007384,0.236483,-0.018961,0.971422,-0.017241,0.097134,-0.206009,0.000634,0.078068,0.138792,-0.162897,0.937012,0.073528,0.137681,-0.259882,0.766286,0.020490,0.074089,-0.207091,0.838738,-0.149403,0.135994,-0.147840,0.881446,-0.051983,0.138540,-0.152247,0.778270,-0.056992,0.136617,-0.256657,0.793757,-0.051855,0.039901,-0.150551,0.838115,0.076869,0.044758,-0.258467,0.778744,-0.056371,0.041789,-0.256027,0.528291,0.081714,0.045602,-0.161918,0.000000,-0.153714,0.134707,-0.252524,0.816902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078195,0.138579,-0.162853,,,,-0.153996,0.135034,-0.253116,0.072866,0.138263,-0.259572,0.020540,0.074371,-0.207669,-0.149186,0.136379,-0.147666,-0.051435,0.138360,-0.151573,-0.057221,0.136794,-0.257430,-0.051265,0.039640,-0.150616,0.076637,0.044711,-0.257615,-0.056649,0.039922,-0.255998,-0.122668,0.069921,0.553695,0.620541,0.071072,0.513653,0.565219,0.062169,-0.470526,-0.177208,0.063372,-0.429014,0.519743,0.103540,0.088981,0.515808,0.103294,-0.039001
4,0.040000,-0.998457,0.000190,0.055538,-0.000055,0.320727,0.055582,0.035880,0.001292,-0.123507,0.070316,0.554386,0.721245,0.620098,0.072414,0.512811,0.631814,0.565723,0.062599,-0.471194,0.769284,-0.176641,0.064432,-0.428207,0.618773,0.522347,0.030870,0.088400,0.000001,0.516343,0.032863,-0.040914,0.000001,-0.007359,0.236508,-0.018885,0.971418,-0.017231,0.097135,-0.206007,0.000639,0.078075,0.138803,-0.162896,0.937012,0.073530,0.137699,-0.259881,0.766286,0.020503,0.074096,-0.207093,0.838738,-0.149395,0.135973,-0.147827,0.881446,-0.051976,0.138532,-0.152239,0.778270,-0.056990,0.136618,-0.256649,0.793757,-0.051834,0.039893,-0.150552,0.838115,0.076883,0.044776,-0.258474,0.778744,-0.056356,0.041789,-0.256028,0.528291,0.081733,0.045613,-0.161925,0.000000,-0.153712,0.134695,-0.252511,0.816902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078195,0.138584,-0.162870,,,,-0.153989,0.135030,-0.253123,0.072877,0.138240,-0.259578,0.020544,0.074339,-0.207658,-0.149160,0.136408,-0.147665,-0.051433,0.138367,-0.151568,-0.057219,0.136779,-0.257437,-0.051242,0.039544,-0.150564,0.076652,0.044837,-0.257622,-0.056655,0.039919,-0.255997,-0.122668,0.069920,0.553693,0.620380,0.071338,0.513576,0.565214,0.062165,-0.470530,-0.177209,0.063381,-0.429012,0.519742,0.103538,0.088972,0.515805,0.103295,-0.039015
5,0.050000,-0.998457,0.000176,0.055536,-0.000051,0.320725,0.055577,0.035878,0.001289,-0.123512,0.070292,0.554382,0.710812,0.620093,0.072411,0.512810,0.663671,0.565724,0.062606,-0.471195,0.762883,-0.176641,0.064418,-0.428212,0.640488,0.522345,0.030869,0.088398,0.000001,0.516342,0.032864,-0.040916,0.000001,-0.007385,0.236471,-0.018912,0.971426,-0.017240,0.097139,-0.206009,0.000630,0.078064,0.138806,-0.162893,0.934726,0.073526,0.137696,-0.259879,0.771351,0.020493,0.074098,-0.207090,0.846013,-0.149408,0.135985,-0.147841,0.875575,-0.051988,0.138540,-0.152246,0.775789,-0.056994,0.136620,-0.256657,0.798347,-0.051850,0.039902,-0.150553,0.839743,0.076876,0.044773,-0.258466,0.778953,-0.056364,0.041791,-0.256029,0.530396,0.081718,0.045615,-0.161916,0.000000,-0.153716,0.134700,-0.252526,0.816900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078196,0.138582,-0.162864,,,,-0.153993,0.135036,-0.253115,0.072863,0.138248,-0.259576,0.020540,0.074337,-0.207656,-0.149188,0.136400,-0.147675,-0.051449,0.138345,-0.151556,-0.057205,0.136758,-0.257423,-0.051266,0.039642,-0.150610,0.076647,0.044817,-0.257613,-0.056651,0.039935,-0.256016,-0.122674,0.069894,0.553691,0.620371,0.071333,0.513566,0.565212,0.062168,-0.470527,-0.177203,0.063364,-0.429014,0.519757,0.103557,0.088957,0.515802,0.103302,-0.039015
