Format Version,1.23,Take Name,table_frame_may_14,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-14 08.01.10.263 AM,Total Frames in Take,636,Total Exported Frames,636,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3",table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3
,ID,"CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","CBE09B004F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","D73B16E04F3B11F1EA32166A2DC3BB7","C36C0","C36C0","C36C0","C3640","C3640","C3640","C3530","C3530","C3530","C3570","C3570","C3570","C3550","C3550","C3550","C36A0","C36A0","C36A0","C3500","C3500","C3500","C3520","C3520","C3520","C3540","C3540","C3540"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000397,0.001183,0.000283,-0.999999,0.561992,0.081425,-0.029437,0.000455,0.062205,0.069915,-0.494165,0.911032,0.805993,0.065643,-0.537673,0.854068,0.119943,0.070395,0.489607,0.880613,0.862877,0.070717,0.446541,0.925906,0.758102,0.105585,-0.103871,0.854665,0.762835,0.106296,0.022943,0.541686,0.000971,0.000513,-0.000133,-0.999999,0.096227,0.181213,0.108405,0.000079,0.056251,0.179647,-0.002129,0.984286,0.066592,0.180137,0.166427,0.983620,0.165838,0.183853,0.160916,0.991413,0.062127,0.069576,-0.494241,0.805859,0.066122,-0.537368,0.119864,0.070849,0.489482,0.862841,0.070486,0.446359,0.757750,0.105904,-0.104206,0.764022,0.105099,0.023664,0.056260,0.179648,-0.002067,0.066550,0.180135,0.166377,0.165870,0.183855,0.160904
1,0.010000,-0.000388,0.001195,0.000267,-0.999999,0.561995,0.081434,-0.029442,0.000456,0.062219,0.069900,-0.494182,0.911032,0.806007,0.065651,-0.537672,0.854068,0.119933,0.070400,0.489592,0.880613,0.862868,0.070744,0.446543,0.925906,0.758105,0.105599,-0.103872,0.854665,0.762835,0.106313,0.022942,0.541686,0.001025,0.000423,-0.000130,-0.999999,0.096222,0.181207,0.108379,0.000087,0.056226,0.179630,-0.002147,0.984286,0.066598,0.180138,0.166407,0.983620,0.165843,0.183854,0.160878,0.991413,0.062149,0.069550,-0.494260,0.805871,0.066151,-0.537364,0.119861,0.070871,0.489468,0.862833,0.070504,0.446362,0.757753,0.105908,-0.104204,0.764022,0.105081,0.023668,0.056249,0.179631,-0.002072,0.066563,0.180137,0.166365,0.165855,0.183854,0.160845
2,0.020000,-0.000400,0.001183,0.000279,-0.999999,0.561997,0.081426,-0.029437,0.000454,0.062210,0.069914,-0.494166,0.908606,0.805997,0.065649,-0.537674,0.849303,0.119947,0.070389,0.489606,0.876976,0.862881,0.070717,0.446541,0.924202,0.758106,0.105587,-0.103871,0.856370,0.762839,0.106298,0.022943,0.535353,0.000905,0.000489,-0.000271,-1.000000,0.096219,0.181194,0.108399,0.000076,0.056238,0.179632,-0.002133,0.980493,0.066588,0.180102,0.166423,0.986270,0.165832,0.183847,0.160908,0.991307,0.062127,0.069580,-0.494237,0.805870,0.066128,-0.537363,0.119870,0.070839,0.489478,0.862844,0.070494,0.446354,0.757753,0.105901,-0.104204,0.764024,0.105100,0.023656,0.056241,0.179632,-0.002072,0.066549,0.180101,0.166364,0.165868,0.183848,0.160906
3,0.030000,-0.000393,0.001190,0.000285,-0.999999,0.561990,0.081441,-0.029441,0.000460,0.062209,0.069929,-0.494177,0.912032,0.805997,0.065655,-0.537675,0.853754,0.119933,0.070417,0.489596,0.881333,0.862867,0.070736,0.446540,0.926611,0.758100,0.105600,-0.103873,0.855514,0.762831,0.106312,0.022941,0.542634,0.000894,0.000397,-0.000304,-0.999999,0.096203,0.181237,0.108398,0.000071,0.056201,0.179675,-0.002126,0.984722,0.066582,0.180142,0.166427,0.982224,0.165825,0.183893,0.160894,0.991115,0.062138,0.069605,-0.494243,0.805865,0.066132,-0.537361,0.119865,0.070862,0.489469,0.862814,0.070523,0.446345,0.757752,0.105900,-0.104205,0.764029,0.105090,0.023665,0.056215,0.179675,-0.002079,0.066527,0.180140,0.166401,0.165867,0.183895,0.160873
4,0.040000,-0.000393,0.001191,0.000271,-0.999999,0.561991,0.081433,-0.029441,0.000458,0.062212,0.069907,-0.494178,0.915266,0.806000,0.065652,-0.537673,0.853458,0.119933,0.070397,0.489595,0.883125,0.862868,0.070736,0.446542,0.926535,0.758101,0.105596,-0.103872,0.858215,0.762832,0.106309,0.022942,0.535475,0.000731,0.000488,-0.000092,-1.000000,0.096196,0.181203,0.108385,0.000087,0.056214,0.179694,-0.002147,0.987739,0.066565,0.180101,0.166409,0.984723,0.165810,0.183813,0.160894,0.988425,0.062137,0.069560,-0.494256,0.805865,0.066139,-0.537360,0.119864,0.070863,0.489467,0.862832,0.070492,0.446358,0.757748,0.105920,-0.104202,0.764026,0.105082,0.023671,0.056226,0.179694,-0.002074,0.066526,0.180100,0.166350,0.165837,0.183813,0.160880
5,0.050000,-0.000402,0.001185,0.000282,-0.999999,0.561990,0.081440,-0.029442,0.000458,0.062206,0.069934,-0.494174,0.909031,0.805993,0.065664,-0.537678,0.851336,0.119938,0.070404,0.489599,0.877930,0.862872,0.070727,0.446536,0.923074,0.758100,0.105601,-0.103876,0.854589,0.762832,0.106311,0.022938,0.534920,0.000846,0.000472,-0.000544,-0.999999,0.096210,0.181217,0.108388,0.000100,0.056226,0.179646,-0.002142,0.981478,0.066581,0.180102,0.166413,0.982514,0.165824,0.183902,0.160895,0.992499,0.062129,0.069595,-0.494244,0.805858,0.066145,-0.537372,0.119867,0.070861,0.489464,0.862832,0.070495,0.446352,0.757751,0.105917,-0.104200,0.764031,0.105090,0.023667,0.056246,0.179647,-0.002069,0.066517,0.180100,0.166368,0.165869,0.183904,0.160866
