Format Version,1.23,Take Name,linear_t2_may_14_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-14 03.15.21.751 PM,Total Frames in Take,4800,Total Exported Frames,4800,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","1BBEFDC24F7711F1EA32166A2DC3BB7","C4D20","C4D20","C4D20","C4DF0","C4DF0","C4DF0","C4BE0","C4BE0","C4BE0","C4E30","C4E30","C4E30","C4DE0","C4DE0","C4DE0","C4E40","C4E40","C4E40","C3EF0","C3EF0","C3EF0","C3C90","C3C90","C3C90","C3CB0","C3CB0","C3CB0","C3CC0","C3CC0","C3CC0","C3CD0","C3CD0","C3CD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000083,-0.000043,-0.000442,-1.000000,0.561443,0.080877,-0.029497,0.000597,0.061751,0.068503,-0.493216,0.909774,0.804829,0.065746,-0.538179,0.899267,0.864011,0.069600,0.446980,0.564252,0.761869,0.104918,0.024554,0.843761,0.756622,0.105883,-0.104960,0.952594,0.119577,0.070613,0.487837,0.787457,0.011571,-0.175700,-0.004718,0.984365,0.296408,0.124481,-0.228629,0.000630,0.253257,0.106492,-0.223866,0.803241,0.295554,0.179008,-0.274968,0.809695,0.306702,0.172777,-0.178950,0.775861,0.307926,0.085086,-0.280425,0.849118,0.318599,0.079041,-0.184938,0.858367,0.253128,0.107090,-0.224361,0.295296,0.178391,-0.274605,0.306752,0.173242,-0.178185,0.308056,0.084505,-0.280524,0.318808,0.079195,-0.185442,0.061965,0.068792,-0.493245,0.805010,0.065389,-0.538139,0.862631,0.070510,0.446426,0.762355,0.104656,0.024261,0.756640,0.106039,-0.105065,0.119526,0.070216,0.488587
1,0.010000,-0.000086,-0.000044,-0.000449,-1.000000,0.561444,0.080880,-0.029496,0.000595,0.061752,0.068502,-0.493214,0.909774,0.804830,0.065755,-0.538178,0.899267,0.864012,0.069603,0.446981,0.564252,0.761870,0.104923,0.024555,0.843761,0.756622,0.105888,-0.104959,0.952594,0.119579,0.070606,0.487839,0.787457,0.011574,-0.175649,-0.004598,0.984374,0.296454,0.124505,-0.228504,0.000628,0.253308,0.106506,-0.223735,0.803241,0.295583,0.179030,-0.274845,0.809695,0.306743,0.172805,-0.178827,0.775861,0.307977,0.085111,-0.280299,0.849118,0.318661,0.079072,-0.184813,0.858367,0.253136,0.107117,-0.224324,0.295338,0.178394,-0.274472,0.306802,0.173258,-0.178098,0.308073,0.084578,-0.280319,0.318919,0.079204,-0.185305,0.061959,0.068791,-0.493241,0.805010,0.065400,-0.538131,0.862646,0.070511,0.446424,0.762358,0.104656,0.024261,0.756645,0.106043,-0.105061,0.119527,0.070213,0.488578
2,0.020000,-0.000086,-0.000040,-0.000435,-1.000000,0.561442,0.080884,-0.029502,0.000598,0.061753,0.068519,-0.493224,0.910829,0.804831,0.065752,-0.538182,0.899543,0.864007,0.069599,0.446978,0.570049,0.761868,0.104922,0.024551,0.845999,0.756622,0.105887,-0.104963,0.954410,0.119573,0.070622,0.487830,0.784873,0.011397,-0.175795,-0.004678,0.984350,0.296574,0.124611,-0.228460,0.000648,0.253422,0.106623,-0.223698,0.783291,0.295728,0.179121,-0.274819,0.776272,0.306858,0.172925,-0.178796,0.782459,0.308103,0.085198,-0.280239,0.848148,0.318757,0.079187,-0.184748,0.794849,0.253198,0.107224,-0.224281,0.295601,0.178370,-0.274349,0.306851,0.173257,-0.177992,0.308125,0.084593,-0.280289,0.319087,0.079609,-0.185370,0.061955,0.068810,-0.493264,0.805015,0.065398,-0.538134,0.862645,0.070487,0.446417,0.762347,0.104668,0.024259,0.756649,0.106036,-0.105065,0.119531,0.070223,0.488591
3,0.030000,-0.000093,-0.000091,-0.000440,-1.000000,0.561476,0.080862,-0.029472,0.000632,0.061740,0.068499,-0.493143,0.910829,0.804813,0.065740,-0.538177,0.899543,0.864089,0.069573,0.446977,0.570049,0.761907,0.104901,0.024560,0.845999,0.756648,0.105868,-0.104953,0.954410,0.119660,0.070589,0.487905,0.784873,0.012402,-0.176256,-0.005931,0.984248,0.296563,0.124472,-0.228411,0.000653,0.253369,0.106565,-0.223733,0.783291,0.295876,0.179096,-0.274639,0.776272,0.306904,0.172644,-0.178621,0.782459,0.308056,0.085160,-0.280275,0.848148,0.318609,0.078896,-0.184789,0.794849,0.253220,0.107133,-0.224201,0.295709,0.178363,-0.274248,0.306896,0.173057,-0.177846,0.308137,0.084631,-0.280182,0.318854,0.079184,-0.185569,0.061964,0.068785,-0.493246,0.805011,0.065381,-0.538132,0.862649,0.070504,0.446417,0.762338,0.104664,0.024247,0.756648,0.106027,-0.105064,0.119662,0.070145,0.488807
4,0.040000,-0.000075,-0.000042,-0.000457,-1.000000,0.561440,0.080879,-0.029496,0.000595,0.061750,0.068482,-0.493216,0.909718,0.804828,0.065747,-0.538177,0.897589,0.864007,0.069618,0.446982,0.570565,0.761865,0.104927,0.024555,0.848047,0.756618,0.105889,-0.104959,0.954338,0.119574,0.070609,0.487838,0.788189,0.012667,-0.176023,-0.005740,0.984288,0.296706,0.124347,-0.228200,0.000608,0.253523,0.106417,-0.223510,0.766712,0.295972,0.178991,-0.274402,0.823338,0.307047,0.172501,-0.178393,0.775500,0.308194,0.085064,-0.280087,0.868221,0.318794,0.078761,-0.184609,0.837864,0.253303,0.107115,-0.224088,0.295744,0.178352,-0.274207,0.307105,0.172646,-0.177508,0.308286,0.084546,-0.280126,0.319082,0.079119,-0.185067,0.061957,0.068777,-0.493246,0.805014,0.065385,-0.538129,0.862653,0.070506,0.446410,0.762336,0.104674,0.024265,0.756642,0.106043,-0.105055,0.119533,0.070210,0.488584
5,0.050000,-0.000098,-0.000112,-0.000441,-1.000000,0.561477,0.080863,-0.029456,0.000628,0.061722,0.068504,-0.493107,0.909718,0.804794,0.065748,-0.538171,0.897589,0.864110,0.069570,0.446980,0.570565,0.761911,0.104903,0.024568,0.848047,0.756646,0.105871,-0.104944,0.954338,0.119682,0.070583,0.487939,0.788189,0.012389,-0.176072,-0.005345,0.984285,0.296807,0.124240,-0.228085,0.000615,0.253635,0.106284,-0.223387,0.766712,0.296040,0.178853,-0.274325,0.823338,0.307111,0.172436,-0.178310,0.775500,0.308327,0.084929,-0.279944,0.868221,0.318922,0.078700,-0.184461,0.837864,0.253373,0.107165,-0.224075,0.295786,0.178320,-0.274156,0.307144,0.172646,-0.177475,0.308432,0.084355,-0.280026,0.319264,0.078847,-0.184771,0.061939,0.068786,-0.493185,0.805014,0.065381,-0.538133,0.862646,0.070508,0.446415,0.762345,0.104664,0.024260,0.756643,0.106043,-0.105065,0.119665,0.070152,0.488806
