Format Version,1.23,Take Name,table_frame_may_14_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-14 02.50.55.209 PM,Total Frames in Take,946,Total Exported Frames,946,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3",table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3
,ID,"578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","578341E34F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","5F34A1F74F7511F1EA32166A2DC3BB7","C3E90","C3E90","C3E90","C3E40","C3E40","C3E40","C3C90","C3C90","C3C90","C3CB0","C3CB0","C3CB0","C3CC0","C3CC0","C3CC0","C3CD0","C3CD0","C3CD0","C3D10","C3D10","C3D10","C3E00","C3E00","C3E00","C3E30","C3E30","C3E30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000046,0.000000,0.000087,-1.000000,0.561511,0.080586,-0.029374,0.000234,0.061847,0.068707,-0.493135,0.959826,0.804925,0.065160,-0.538033,0.930738,0.864025,0.069024,0.447131,0.981842,0.761958,0.104419,0.024693,0.819144,0.756723,0.105380,-0.104821,0.808136,0.119590,0.070828,0.487923,0.973877,-0.001626,-0.000053,0.000312,-0.999999,0.095525,0.181719,0.112793,0.000231,0.164462,0.184585,0.165504,0.974418,0.065816,0.180663,0.169997,0.968029,0.056296,0.179908,0.002879,0.944933,0.061989,0.068632,-0.493138,0.804873,0.065205,-0.537765,0.864092,0.069049,0.447116,0.762219,0.103747,0.024744,0.756297,0.105964,-0.105077,0.119599,0.070921,0.487877,0.164462,0.184585,0.165606,0.065888,0.180667,0.170103,0.056223,0.179905,0.002671
1,0.010000,-0.000037,-0.000000,0.000106,-1.000000,0.561511,0.080587,-0.029381,0.000223,0.061846,0.068718,-0.493142,0.959826,0.804924,0.065143,-0.538041,0.930738,0.864025,0.069021,0.447124,0.981842,0.761958,0.104413,0.024685,0.819144,0.756723,0.105372,-0.104829,0.808136,0.119589,0.070854,0.487916,0.973877,-0.001629,-0.000019,0.000158,-0.999999,0.095539,0.181737,0.112798,0.000223,0.164472,0.184624,0.165514,0.974418,0.065827,0.180672,0.170000,0.968029,0.056318,0.179915,0.002881,0.944933,0.061989,0.068645,-0.493137,0.804881,0.065170,-0.537805,0.864109,0.069037,0.447119,0.762212,0.103750,0.024743,0.756294,0.105976,-0.105076,0.119581,0.070943,0.487869,0.164478,0.184625,0.165616,0.065893,0.180675,0.170101,0.056246,0.179912,0.002678
2,0.020000,-0.000044,-0.000001,0.000106,-1.000000,0.561508,0.080586,-0.029374,0.000238,0.061842,0.068724,-0.493134,0.958897,0.804920,0.065149,-0.538034,0.928436,0.864023,0.069014,0.447130,0.976630,0.761956,0.104412,0.024692,0.817334,0.756720,0.105372,-0.104822,0.806725,0.119588,0.070846,0.487925,0.970742,-0.001629,-0.000024,0.000296,-0.999999,0.095531,0.181735,0.112798,0.000222,0.164465,0.184603,0.165513,0.977009,0.065819,0.180678,0.170000,0.966926,0.056309,0.179924,0.002882,0.948852,0.061981,0.068637,-0.493142,0.804857,0.065204,-0.537760,0.864115,0.069027,0.447123,0.762222,0.103734,0.024745,0.756298,0.105965,-0.105081,0.119575,0.070951,0.487873,0.164448,0.184602,0.165603,0.065901,0.180681,0.170105,0.056245,0.179921,0.002687
3,0.030000,-0.000039,0.000002,0.000102,-1.000000,0.561509,0.080584,-0.029378,0.000215,0.061846,0.068713,-0.493141,0.958897,0.804924,0.065144,-0.538037,0.928436,0.864021,0.069019,0.447128,0.976630,0.761956,0.104412,0.024688,0.817334,0.756721,0.105371,-0.104826,0.806725,0.119585,0.070845,0.487917,0.970742,-0.001636,-0.000047,0.000272,-0.999999,0.095523,0.181724,0.112790,0.000240,0.164459,0.184595,0.165502,0.977009,0.065813,0.180665,0.169994,0.966926,0.056295,0.179913,0.002875,0.948852,0.061976,0.068640,-0.493162,0.804889,0.065176,-0.537797,0.864104,0.069037,0.447128,0.762209,0.103748,0.024740,0.756294,0.105967,-0.105074,0.119581,0.070935,0.487894,0.164463,0.184595,0.165610,0.065887,0.180668,0.170102,0.056219,0.179909,0.002658
4,0.040000,-0.000049,0.000001,0.000094,-1.000000,0.561511,0.080590,-0.029370,0.000238,0.061847,0.068720,-0.493132,0.958968,0.804925,0.065164,-0.538029,0.927509,0.864024,0.069020,0.447135,0.979272,0.761957,0.104420,0.024697,0.818155,0.756723,0.105381,-0.104817,0.805153,0.119588,0.070835,0.487926,0.972610,-0.001742,0.000044,0.000185,-0.999999,0.095519,0.181713,0.112798,0.000213,0.164446,0.184584,0.165523,0.978147,0.065800,0.180636,0.169996,0.968684,0.056312,0.179918,0.002876,0.947322,0.061988,0.068638,-0.493142,0.804874,0.065215,-0.537748,0.864104,0.069036,0.447125,0.762217,0.103742,0.024747,0.756291,0.105972,-0.105084,0.119589,0.070936,0.487884,0.164458,0.184585,0.165609,0.065851,0.180639,0.170111,0.056249,0.179915,0.002675
5,0.050000,-0.000048,0.000005,0.000094,-1.000000,0.561511,0.080591,-0.029367,0.000234,0.061851,0.068720,-0.493134,0.958968,0.804930,0.065163,-0.538025,0.927509,0.864020,0.069022,0.447140,0.979272,0.761957,0.104421,0.024701,0.818155,0.756724,0.105382,-0.104813,0.805153,0.119584,0.070836,0.487925,0.972610,-0.001961,0.000042,0.000132,-0.999998,0.095511,0.181740,0.112795,0.000224,0.164437,0.184595,0.165520,0.978147,0.065791,0.180635,0.169992,0.968684,0.056303,0.179989,0.002872,0.947322,0.061995,0.068633,-0.493145,0.804866,0.065222,-0.537758,0.864112,0.069038,0.447141,0.762218,0.103741,0.024752,0.756300,0.105968,-0.105074,0.119575,0.070942,0.487880,0.164455,0.184596,0.165614,0.065842,0.180637,0.170111,0.056235,0.179985,0.002659
