Format Version,1.23,Take Name,Rotation_t1_may_15_lee,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 05.12.04.138 PM,Total Frames in Take,25316,Total Exported Frames,25316,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","47938BB1504311F1EA32166A2DC3CB7","C4050","C4050","C4050","C4090","C4090","C4090","C4060","C4060","C4060","C4080","C4080","C4080","C40A0","C40A0","C40A0","C4020","C4020","C4020","C4070","C4070","C4070","C4010","C4010","C4010","C4030","C4030","C4030","C4040","C4040","C4040"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000057,-0.000377,0.000306,-1.000000,0.678183,0.081350,-0.011342,0.001325,0.170205,0.067176,-0.465594,0.724512,0.911600,0.064920,-0.524945,0.799993,0.246613,0.071580,0.515619,0.407195,0.988512,0.072656,0.458087,0.923812,0.880839,0.105072,0.039228,0.538089,0.871327,0.106696,-0.090445,0.914609,0.013078,-0.645844,0.004888,-0.763342,0.260056,0.160663,-0.144826,0.001027,0.270603,0.194326,-0.257411,0.714315,0.248150,0.158802,-0.071077,0.864211,0.304411,0.144915,-0.122664,0.863293,0.217060,0.144609,-0.128153,0.777144,0.270509,0.194181,-0.256281,0.248352,0.159272,-0.071260,0.304897,0.144815,-0.122896,0.216430,0.144352,-0.128729,0.169554,0.067173,-0.464705,0.912171,0.064937,-0.524385,0.247199,0.071482,0.513323,0.988445,0.072609,0.458381,0.880056,0.105379,0.037583,0.871610,0.106591,-0.090286
1,0.010000,0.000003,-0.000386,0.000353,-1.000000,0.678181,0.081349,-0.011368,0.001305,0.170194,0.067169,-0.465610,0.722925,0.911588,0.064836,-0.524973,0.812712,0.246620,0.071682,0.515601,0.393064,0.988518,0.072682,0.458056,0.917699,0.880840,0.105058,0.039195,0.548187,0.871326,0.106668,-0.090478,0.911750,0.012859,-0.645875,0.005038,-0.763318,0.260053,0.160657,-0.144820,0.001008,0.270608,0.194330,-0.257401,0.720399,0.248151,0.158792,-0.071070,0.861660,0.304401,0.144883,-0.122664,0.862489,0.217050,0.144623,-0.128146,0.779214,0.270501,0.194195,-0.256296,0.248348,0.159269,-0.071269,0.304898,0.144769,-0.122871,0.216427,0.144368,-0.128718,0.169549,0.067177,-0.464708,0.912176,0.064822,-0.524510,0.247207,0.071503,0.513252,0.988442,0.072625,0.458371,0.880071,0.105380,0.037592,0.871608,0.106605,-0.090275
2,0.020000,-0.000001,-0.000416,0.000361,-1.000000,0.678167,0.081347,-0.011346,0.001308,0.170152,0.067178,-0.465558,0.741001,0.911542,0.064834,-0.524966,0.813640,0.246637,0.071683,0.515649,0.381531,0.988532,0.072672,0.458059,0.915700,0.880829,0.105053,0.039205,0.547909,0.871307,0.106663,-0.090467,0.908319,0.013218,-0.645764,0.004749,-0.763408,0.260046,0.160674,-0.144825,0.001027,0.270602,0.194337,-0.257409,0.715568,0.248126,0.158810,-0.071079,0.867851,0.304403,0.144944,-0.122654,0.856657,0.217053,0.144603,-0.128160,0.782053,0.270504,0.194187,-0.256286,0.248306,0.159271,-0.071264,0.304915,0.144844,-0.122893,0.216427,0.144363,-0.128717,0.169554,0.067181,-0.464712,0.912113,0.064829,-0.524487,0.247195,0.071509,0.513245,0.988441,0.072616,0.458379,0.880066,0.105376,0.037597,0.871613,0.106588,-0.090280
3,0.030000,-0.000064,-0.000409,0.000306,-1.000000,0.678166,0.081350,-0.011334,0.001320,0.170159,0.067183,-0.465554,0.741001,0.911550,0.064928,-0.524952,0.813640,0.246630,0.071572,0.515654,0.381531,0.988525,0.072649,0.458075,0.915700,0.880825,0.105071,0.039223,0.547909,0.871305,0.106697,-0.090449,0.908319,0.012901,-0.645868,0.005141,-0.763323,0.260054,0.160667,-0.144824,0.001012,0.270615,0.194317,-0.257412,0.715568,0.248150,0.158818,-0.071075,0.867851,0.304400,0.144893,-0.122664,0.856657,0.217049,0.144640,-0.128148,0.782053,0.270510,0.194192,-0.256291,0.248348,0.159317,-0.071284,0.304892,0.144767,-0.122875,0.216428,0.144364,-0.128712,0.169553,0.067175,-0.464713,0.912099,0.064948,-0.524383,0.247197,0.071486,0.513316,0.988438,0.072599,0.458365,0.880074,0.105368,0.037589,0.871611,0.106592,-0.090278
4,0.040000,-0.000018,-0.000400,0.000341,-1.000000,0.678170,0.081342,-0.011364,0.001295,0.170171,0.067169,-0.465593,0.741044,0.911564,0.064856,-0.524976,0.802248,0.246624,0.071643,0.515617,0.398157,0.988520,0.072662,0.458052,0.923431,0.880831,0.105054,0.039195,0.544240,0.871313,0.106668,-0.090478,0.908592,0.013087,-0.645859,0.004979,-0.763329,0.260063,0.160674,-0.144831,0.001023,0.270610,0.194321,-0.257420,0.716815,0.248159,0.158825,-0.071081,0.855820,0.304417,0.144923,-0.122668,0.862497,0.217066,0.144628,-0.128153,0.779238,0.270516,0.194186,-0.256293,0.248366,0.159310,-0.071266,0.304894,0.144814,-0.122896,0.216438,0.144356,-0.128732,0.169553,0.067181,-0.464707,0.912106,0.064855,-0.524476,0.247189,0.071475,0.513312,0.988437,0.072619,0.458388,0.880105,0.105342,0.037579,0.871610,0.106592,-0.090287
5,0.050000,-0.000002,-0.000364,0.000349,-1.000000,0.678183,0.081335,-0.011388,0.001289,0.170216,0.067156,-0.465653,0.711831,0.911613,0.064829,-0.524983,0.815136,0.246599,0.071660,0.515561,0.418581,0.988499,0.072665,0.458050,0.917433,0.880840,0.105045,0.039184,0.550148,0.871332,0.106656,-0.090489,0.912122,0.016350,-0.645627,0.002101,-0.763475,0.260119,0.160910,-0.144952,0.001196,0.270426,0.194505,-0.257579,0.665882,0.248200,0.159051,-0.071205,0.919156,0.304598,0.145570,-0.122751,0.814463,0.217254,0.144515,-0.128273,0.762537,0.270532,0.194203,-0.256282,0.248352,0.159324,-0.071288,0.305132,0.145679,-0.123254,0.216433,0.144359,-0.128723,0.169554,0.067169,-0.464710,0.912179,0.064806,-0.524508,0.247197,0.071481,0.513321,0.988434,0.072608,0.458369,0.880069,0.105383,0.037594,0.871607,0.106594,-0.090279
