Format Version,1.23,Take Name,table_frame_t1_may_15_lee,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 05.24.15.111 PM,Total Frames in Take,1313,Total Exported Frames,1313,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3",table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3
,ID,"415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","415D909C504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","4D9E92EE504211F1EA32166A2DC3CB7","C40A0","C40A0","C40A0","C4170","C4170","C4170","C4070","C4070","C4070","C4010","C4010","C4010","C4030","C4030","C4030","C4040","C4040","C4040","C4140","C4140","C4140","C4110","C4110","C4110","C4120","C4120","C4120"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000209,-0.000239,-0.000026,-1.000000,0.678571,0.081207,-0.011272,0.001448,0.170728,0.066835,-0.465669,0.810013,0.912141,0.065089,-0.524815,0.797590,0.246862,0.070989,0.515566,0.434752,0.988776,0.072575,0.458241,0.905424,0.881197,0.105048,0.039361,0.327738,0.871720,0.106705,-0.090313,0.962317,-0.001364,-0.000736,-0.003170,-0.999994,0.218184,0.180112,0.137817,0.000082,0.176621,0.179258,0.028646,0.991159,0.189456,0.179480,0.195690,0.972596,0.288477,0.181598,0.189114,0.980897,0.170978,0.066822,-0.464952,0.911748,0.065205,-0.524117,0.247510,0.071090,0.513403,0.988418,0.072600,0.458361,0.882356,0.104924,0.036938,0.871660,0.106567,-0.090321,0.176589,0.179257,0.028662,0.189536,0.179482,0.195616,0.288428,0.181597,0.189173
1,0.010000,-0.000207,-0.000241,-0.000016,-1.000000,0.678567,0.081203,-0.011273,0.001445,0.170722,0.066838,-0.465668,0.808950,0.912135,0.065077,-0.524817,0.805564,0.246861,0.070996,0.515567,0.435068,0.988774,0.072567,0.458238,0.904318,0.881194,0.105040,0.039359,0.324642,0.871717,0.106697,-0.090316,0.964902,-0.001377,-0.000771,-0.003336,-0.999993,0.218193,0.180115,0.137813,0.000080,0.176621,0.179250,0.028645,0.991555,0.189468,0.179472,0.195688,0.972567,0.288488,0.181623,0.189105,0.980945,0.170981,0.066826,-0.464949,0.911742,0.065184,-0.524154,0.247517,0.071094,0.513407,0.988417,0.072588,0.458373,0.882360,0.104916,0.036925,0.871655,0.106571,-0.090324,0.176594,0.179250,0.028665,0.189551,0.179474,0.195616,0.288433,0.181622,0.189158
2,0.020000,-0.000230,-0.000242,-0.000048,-1.000000,0.678566,0.081208,-0.011260,0.001462,0.170721,0.066833,-0.465656,0.811259,0.912134,0.065122,-0.524806,0.791509,0.246861,0.070950,0.515580,0.428856,0.988775,0.072570,0.458250,0.905425,0.881192,0.105056,0.039373,0.324151,0.871714,0.106718,-0.090302,0.959422,-0.001369,-0.000720,-0.003179,-0.999994,0.218185,0.180103,0.137816,0.000086,0.176625,0.179250,0.028644,0.991508,0.189455,0.179471,0.195688,0.969882,0.288476,0.181590,0.189115,0.978365,0.170977,0.066813,-0.464946,0.911730,0.065252,-0.524088,0.247519,0.071087,0.513396,0.988415,0.072591,0.458364,0.882360,0.104923,0.036938,0.871661,0.106567,-0.090328,0.176599,0.179249,0.028665,0.189551,0.179473,0.195615,0.288407,0.181588,0.189167
3,0.030000,-0.000185,-0.000247,-0.000008,-1.000000,0.678569,0.081200,-0.011285,0.001434,0.170718,0.066825,-0.465673,0.808651,0.912130,0.065049,-0.524832,0.808801,0.246870,0.071024,0.515561,0.436651,0.988782,0.072579,0.458222,0.903030,0.881197,0.105036,0.039343,0.330283,0.871718,0.106688,-0.090331,0.965210,-0.001481,-0.000723,-0.003401,-0.999993,0.218212,0.180120,0.137817,0.000096,0.176651,0.179272,0.028645,0.990600,0.189482,0.179461,0.195689,0.966710,0.288502,0.181626,0.189116,0.976068,0.170978,0.066819,-0.464953,0.911734,0.065149,-0.524185,0.247518,0.071094,0.513404,0.988425,0.072607,0.458371,0.882359,0.104923,0.036932,0.871653,0.106565,-0.090326,0.176620,0.179271,0.028665,0.189587,0.179464,0.195608,0.288428,0.181624,0.189176
4,0.040000,-0.000204,-0.000242,-0.000026,-1.000000,0.678563,0.081203,-0.011276,0.001440,0.170717,0.066827,-0.465670,0.808389,0.912130,0.065079,-0.524821,0.807219,0.246858,0.070992,0.515565,0.433284,0.988772,0.072576,0.458234,0.902761,0.881190,0.105044,0.039355,0.327084,0.871712,0.106700,-0.090320,0.963915,-0.001359,-0.000647,-0.003087,-0.999994,0.218188,0.180097,0.137838,0.000100,0.176643,0.179249,0.028661,0.989181,0.189449,0.179471,0.195707,0.966757,0.288471,0.181572,0.189148,0.976126,0.170977,0.066814,-0.464949,0.911737,0.065189,-0.524167,0.247512,0.071095,0.513397,0.988409,0.072599,0.458374,0.882362,0.104920,0.036935,0.871653,0.106569,-0.090325,0.176601,0.179248,0.028673,0.189549,0.179473,0.195619,0.288412,0.181570,0.189224
5,0.050000,-0.000232,-0.000242,-0.000056,-1.000000,0.678567,0.081226,-0.011261,0.001467,0.170723,0.066844,-0.465656,0.808389,0.912135,0.065145,-0.524807,0.807219,0.246863,0.070959,0.515579,0.433284,0.988776,0.072592,0.458249,0.902761,0.881193,0.105077,0.039372,0.327084,0.871715,0.106740,-0.090303,0.963915,-0.001354,-0.000739,-0.003226,-0.999994,0.218192,0.180107,0.137827,0.000083,0.176628,0.179246,0.028656,0.989181,0.189464,0.179473,0.195700,0.966757,0.288485,0.181602,0.189124,0.976126,0.170975,0.066825,-0.464951,0.911721,0.065293,-0.524051,0.247515,0.071094,0.513410,0.988425,0.072621,0.458369,0.882321,0.104959,0.036946,0.871656,0.106563,-0.090327,0.176598,0.179245,0.028677,0.189546,0.179475,0.195623,0.288433,0.181600,0.189181
