Format Version,1.23,Take Name,linear_t0_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.28.12.880 AM,Total Frames in Take,1014,Total Exported Frames,1014,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker5","noark:Marker6","noark:Marker6","noark:Marker6","noark:Marker6",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","296D216B501A11F1EA32166A2DC3CB7","C4FF0","C4FF0","C4FF0","C5020","C5020","C5020","C5210","C5210","C5210","C5230","C5230","C5230","C5240","C5240","C5240","C52A0","C52A0","C52A0","C4520","C4520","C4520","C3890","C3890","C3890","C4B40","C4B40","C4B40","C3550","C3550","C3550","C51F0","C51F0","C51F0","C3660","C3660","C3660"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000981,0.008665,-0.000147,-0.999962,0.672700,0.081656,-0.013937,0.000189,0.171252,0.067636,-0.476337,0.956040,0.914402,0.064936,-0.523626,0.915789,0.874109,0.105866,0.040398,0.848154,0.975558,0.072924,0.460784,0.937926,0.233618,0.071906,0.505822,0.937959,0.867261,0.106666,-0.090663,0.948303,-0.048454,-0.050558,-0.018101,-0.997381,0.364847,0.127167,-0.062472,0.000411,0.288862,0.109532,-0.042897,0.919359,0.335654,0.115484,-0.064231,0.874179,0.391696,0.091706,-0.119290,0.833004,0.384866,0.186504,-0.111381,0.932847,0.390372,0.176718,-0.014233,0.863842,0.397629,0.083060,-0.022800,0.692726,0.288993,0.109823,-0.042852,0.335472,0.115943,-0.064330,0.391914,0.091289,-0.118816,0.384610,0.186421,-0.111376,0.390032,0.176971,-0.013891,0.398150,0.082449,-0.023731,0.171306,0.067541,-0.476199,0.914227,0.065206,-0.523525,0.874224,0.105270,0.040423,0.975471,0.073076,0.460607,0.233620,0.072037,0.505612,0.867352,0.106805,-0.090540
1,0.010000,0.000981,0.008665,-0.000148,-0.999962,0.672702,0.081657,-0.013937,0.000190,0.171255,0.067636,-0.476337,0.954883,0.914405,0.064938,-0.523625,0.913105,0.874111,0.105867,0.040399,0.846781,0.975560,0.072926,0.460785,0.938572,0.233620,0.071906,0.505822,0.936372,0.867263,0.106667,-0.090663,0.950900,-0.048558,-0.050808,-0.017733,-0.997370,0.364921,0.127109,-0.062354,0.000465,0.288935,0.109525,-0.042740,0.907313,0.335720,0.115447,-0.064099,0.851839,0.391714,0.091637,-0.119192,0.869763,0.384957,0.186439,-0.111264,0.840066,0.390508,0.176633,-0.014120,0.872917,0.397694,0.082971,-0.022706,0.735959,0.289090,0.109859,-0.042780,0.335556,0.115999,-0.064238,0.391900,0.091367,-0.118787,0.384645,0.185926,-0.111043,0.390153,0.176842,-0.013822,0.398242,0.082623,-0.023539,0.171307,0.067537,-0.476196,0.914230,0.065215,-0.523511,0.874232,0.105267,0.040424,0.975476,0.073076,0.460609,0.233617,0.072042,0.505607,0.867352,0.106803,-0.090552
2,0.020000,0.000989,0.008661,-0.000144,-0.999962,0.672702,0.081649,-0.013939,0.000185,0.171252,0.067625,-0.476336,0.954883,0.914401,0.064919,-0.523630,0.913105,0.874112,0.105858,0.040394,0.846781,0.975564,0.072923,0.460780,0.938572,0.233624,0.071910,0.505823,0.936372,0.867263,0.106656,-0.090667,0.950900,-0.046684,-0.050261,-0.018827,-0.997467,0.364930,0.127216,-0.062229,0.000386,0.288960,0.109527,-0.042649,0.907313,0.335758,0.115480,-0.063969,0.851839,0.391878,0.091601,-0.118905,0.869763,0.384891,0.186415,-0.111329,0.840066,0.390341,0.176974,-0.014143,0.872917,0.397754,0.083298,-0.022381,0.735959,0.289084,0.109736,-0.042689,0.335582,0.115937,-0.064151,0.392036,0.091206,-0.118655,0.384663,0.185905,-0.111012,0.390158,0.176845,-0.013804,0.398066,0.083675,-0.023080,0.171309,0.067533,-0.476186,0.914233,0.065174,-0.523543,0.874226,0.105269,0.040423,0.975482,0.073068,0.460601,0.233615,0.072037,0.505609,0.867350,0.106811,-0.090540
3,0.030000,0.000990,0.008660,-0.000144,-0.999962,0.672703,0.081660,-0.013940,0.000193,0.171251,0.067634,-0.476335,0.953456,0.914400,0.064929,-0.523630,0.914581,0.874113,0.105869,0.040393,0.847965,0.975565,0.072935,0.460779,0.938137,0.233626,0.071923,0.505824,0.935929,0.867263,0.106667,-0.090668,0.950666,-0.046916,-0.050029,-0.018566,-0.997472,0.364992,0.127221,-0.062091,0.000422,0.289003,0.109567,-0.042552,0.939376,0.335814,0.115503,-0.063849,0.862823,0.391944,0.091617,-0.118771,0.860697,0.385007,0.186431,-0.111156,0.849825,0.390410,0.176943,-0.013972,0.850392,0.397774,0.083267,-0.022248,0.763065,0.289151,0.109738,-0.042637,0.335598,0.115954,-0.064074,0.392082,0.091150,-0.118500,0.384723,0.185936,-0.110969,0.390330,0.176880,-0.013382,0.398086,0.083696,-0.023034,0.171307,0.067536,-0.476187,0.914230,0.065205,-0.523524,0.874223,0.105272,0.040420,0.975478,0.073084,0.460602,0.233630,0.072059,0.505607,0.867351,0.106802,-0.090553
4,0.040000,0.000970,0.008669,-0.000161,-0.999962,0.672702,0.081656,-0.013935,0.000195,0.171258,0.067632,-0.476340,0.953456,0.914409,0.064954,-0.523622,0.914581,0.874110,0.105870,0.040403,0.847965,0.975556,0.072923,0.460789,0.938137,0.233615,0.071883,0.505821,0.935929,0.867263,0.106673,-0.090659,0.950666,-0.047308,-0.050176,-0.018795,-0.997442,0.365014,0.127261,-0.061998,0.000398,0.289038,0.109558,-0.042450,0.939376,0.335841,0.115531,-0.063756,0.862823,0.391965,0.091713,-0.118714,0.860697,0.384990,0.186519,-0.111020,0.849825,0.390425,0.176955,-0.013846,0.850392,0.397826,0.083289,-0.022199,0.763065,0.289152,0.109673,-0.042551,0.335660,0.116056,-0.063945,0.392082,0.091286,-0.118421,0.384730,0.186005,-0.110841,0.390341,0.176883,-0.013305,0.398134,0.083679,-0.022957,0.171310,0.067524,-0.476195,0.914244,0.065244,-0.523502,0.874216,0.105268,0.040426,0.975477,0.073065,0.460602,0.233615,0.072030,0.505605,0.867348,0.106804,-0.090544
5,0.050000,0.000977,0.008669,-0.000137,-0.999962,0.672696,0.081651,-0.013935,0.000190,0.171251,0.067645,-0.476339,0.951787,0.914401,0.064930,-0.523622,0.915772,0.874105,0.105856,0.040402,0.850255,0.975550,0.072909,0.460788,0.939849,0.233609,0.071907,0.505821,0.935780,0.867257,0.106657,-0.090659,0.949599,-0.044864,-0.047897,-0.018411,-0.997674,0.364907,0.127197,-0.061726,0.000309,0.288828,0.109644,-0.042445,0.923186,0.335733,0.115480,-0.063563,0.831905,0.392092,0.091354,-0.118144,0.906946,0.385153,0.186201,-0.110943,0.868746,0.390132,0.177105,-0.013699,0.929720,0.397501,0.083394,-0.021564,0.000000,0.289129,0.109650,-0.042505,0.335683,0.116054,-0.063909,0.392210,0.091004,-0.118184,0.384716,0.185969,-0.110769,0.390199,0.177108,-0.013426,0.398187,0.083595,-0.022945,0.171305,0.067539,-0.476187,0.914235,0.065204,-0.523519,0.874220,0.105269,0.040427,0.975459,0.073044,0.460611,0.233609,0.072047,0.505606,0.867345,0.106800,-0.090547
