Format Version,1.23,Take Name,linear_t2_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.30.14.140 AM,Total Frames in Take,2945,Total Exported Frames,2945,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,noark:Marker5,noark:Marker5,noark:Marker5,noark:Marker6,noark:Marker6,noark:Marker6,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"C4FF0","C4FF0","C4FF0","C5020","C5020","C5020","C5210","C5210","C5210","C5230","C5230","C5230","C5240","C5240","C5240","C53F0","C53F0","C53F0","C4520","C4520","C4520","C3890","C3890","C3890","C4B40","C4B40","C4B40","C3550","C3550","C3550","C51F0","C51F0","C51F0","C3660","C3660","C3660"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.286727,0.091101,-0.189281,0.332865,0.094874,-0.213471,0.385111,0.069087,-0.270072,0.381209,0.165046,-0.262486,0.391712,0.154814,-0.165389,0.395436,0.060159,-0.175436,0.171338,0.067580,-0.476250,0.914254,0.065245,-0.523479,0.874249,0.105246,0.040377,0.975433,0.073042,0.460578,0.233609,0.072056,0.505566,0.867363,0.106825,-0.090557
1,0.010000,0.286790,0.091182,-0.189424,0.332840,0.094964,-0.213567,0.385122,0.069162,-0.270158,0.381206,0.165142,-0.262557,0.391704,0.154973,-0.165517,0.395463,0.060350,-0.175575,0.171334,0.067577,-0.476251,0.914249,0.065211,-0.523519,0.874258,0.105246,0.040379,0.975414,0.073045,0.460586,0.233611,0.072035,0.505568,0.867369,0.106817,-0.090566
2,0.020000,0.286784,0.091148,-0.189615,0.332812,0.095001,-0.213626,0.385018,0.069299,-0.270370,0.381209,0.165159,-0.262684,0.391911,0.154527,-0.165512,0.395397,0.060259,-0.175784,0.171336,0.067574,-0.476251,0.914251,0.065219,-0.523517,0.874264,0.105253,0.040369,0.975444,0.073047,0.460585,0.233612,0.072047,0.505569,0.867362,0.106828,-0.090563
3,0.030000,0.286768,0.091130,-0.189678,0.332815,0.094956,-0.213785,0.384919,0.069244,-0.270607,0.381234,0.165091,-0.262753,0.391988,0.154665,-0.165757,0.395183,0.059824,-0.176267,0.171331,0.067574,-0.476245,0.914257,0.065252,-0.523489,0.874265,0.105247,0.040372,0.975444,0.073030,0.460586,0.233605,0.072038,0.505565,0.867368,0.106817,-0.090564
4,0.040000,0.286772,0.091131,-0.189766,0.332814,0.094816,-0.213941,0.384765,0.069060,-0.270841,0.381291,0.165043,-0.262854,0.392123,0.154425,-0.165980,0.395203,0.059522,-0.176569,0.171337,0.067596,-0.476248,0.914256,0.065253,-0.523485,0.874256,0.105268,0.040369,0.975442,0.073028,0.460578,0.233618,0.072038,0.505562,0.867363,0.106818,-0.090567
5,0.050000,0.286789,0.091109,-0.189849,0.332758,0.094665,-0.214154,0.384726,0.068876,-0.271181,0.381293,0.165090,-0.262992,0.392490,0.153611,-0.165875,0.395046,0.059591,-0.176917,0.171335,0.067589,-0.476246,0.914253,0.065213,-0.523514,0.874246,0.105274,0.040366,0.975461,0.073044,0.460575,0.233608,0.072042,0.505555,0.867370,0.106817,-0.090565
6,0.060000,0.286763,0.091162,-0.189925,0.332740,0.094637,-0.214265,0.384663,0.068858,-0.271272,0.381319,0.165141,-0.263151,0.392236,0.154222,-0.166111,0.395048,0.059583,-0.176970,0.171312,0.067612,-0.476236,0.914253,0.065245,-0.523501,0.874248,0.105265,0.040365,0.975443,0.073043,0.460580,0.233611,0.072039,0.505561,0.867365,0.106812,-0.090564
7,0.070000,0.286756,0.091151,-0.189991,0.332780,0.094781,-0.214309,0.384640,0.068965,-0.271361,0.381311,0.165186,-0.263188,0.392162,0.154193,-0.166135,0.395041,0.059627,-0.177022,0.171331,0.067570,-0.476250,0.914255,0.065251,-0.523495,0.874246,0.105264,0.040366,0.975439,0.073044,0.460573,0.233612,0.072037,0.505562,0.867364,0.106814,-0.090581
