Format Version,1.23,Take Name,table_frame_may_15,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-15 10.23.09.738 AM,Total Frames in Take,667,Total Exported Frames,667,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",tframe,tframe,tframe,tframe,tframe,tframe,tframe,tframe,"tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker1","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker2","tframe:Marker3","tframe:Marker3","tframe:Marker3","tframe:Marker3",table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6,tframe:Marker1,tframe:Marker1,tframe:Marker1,tframe:Marker2,tframe:Marker2,tframe:Marker2,tframe:Marker3,tframe:Marker3,tframe:Marker3
,ID,"423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","423154F2501311F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","E8005058501811F1EA32166A2DC3CB7","C4520","C4520","C4520","C3890","C3890","C3890","C4B40","C4B40","C4B40","C3550","C3550","C3550","C51F0","C51F0","C51F0","C3660","C3660","C3660","C50B0","C50B0","C50B0","C5170","C5170","C5170","C51C0","C51C0","C51C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000921,0.008575,-0.000338,-0.999963,0.672528,0.081717,-0.013958,0.000320,0.171003,0.067559,-0.476270,0.931572,0.914145,0.065149,-0.523692,0.812346,0.873938,0.105997,0.040344,0.817641,0.975475,0.073046,0.460708,0.931953,0.233543,0.071738,0.505879,0.895237,0.867066,0.106810,-0.090716,0.966697,-0.000207,0.000107,-0.002987,-0.999996,0.212300,0.182545,0.125024,0.000183,0.281299,0.184129,0.177060,0.941161,0.182904,0.183252,0.182642,0.960586,0.172697,0.180253,0.015369,0.967021,0.171054,0.067319,-0.476148,0.913850,0.065687,-0.523259,0.874117,0.105292,0.040290,0.975385,0.073142,0.460470,0.233570,0.072032,0.505581,0.867193,0.106827,-0.090680,0.281422,0.184134,0.177261,0.182906,0.183250,0.182485,0.172572,0.180251,0.015327
1,0.010000,0.000910,0.008577,-0.000330,-0.999963,0.672528,0.081707,-0.013948,0.000320,0.171004,0.067568,-0.476262,0.929864,0.914146,0.065147,-0.523682,0.809475,0.873938,0.105983,0.040355,0.822932,0.975474,0.073021,0.460718,0.936801,0.233542,0.071725,0.505887,0.893203,0.867066,0.106799,-0.090705,0.966408,-0.000357,0.000454,-0.004390,-0.999990,0.212301,0.182671,0.125108,0.000257,0.281259,0.184434,0.177192,0.910880,0.182863,0.183279,0.182706,0.947905,0.172780,0.180302,0.015425,0.945031,0.171058,0.067318,-0.476147,0.913846,0.065692,-0.523242,0.874102,0.105297,0.040293,0.975393,0.073101,0.460492,0.233574,0.072029,0.505588,0.867197,0.106808,-0.090674,0.281435,0.184441,0.177503,0.182882,0.183276,0.182498,0.172586,0.180297,0.015323
2,0.020000,0.000904,0.008576,-0.000324,-0.999963,0.672527,0.081704,-0.013951,0.000315,0.171003,0.067576,-0.476264,0.929864,0.914145,0.065147,-0.523685,0.809475,0.873938,0.105977,0.040352,0.822932,0.975473,0.073008,0.460715,0.936801,0.233541,0.071720,0.505885,0.893203,0.867066,0.106795,-0.090708,0.966408,-0.000265,0.000160,-0.002816,-0.999996,0.212296,0.182564,0.125027,0.000189,0.281291,0.184119,0.177071,0.910880,0.182895,0.183275,0.182643,0.947905,0.172704,0.180298,0.015369,0.945031,0.171049,0.067323,-0.476146,0.913843,0.065691,-0.523255,0.874119,0.105287,0.040300,0.975384,0.073084,0.460497,0.233576,0.072025,0.505579,0.867194,0.106813,-0.090681,0.281423,0.184123,0.177262,0.182881,0.183272,0.182488,0.172585,0.180297,0.015332
3,0.030000,0.000963,0.008596,-0.000419,-0.999963,0.672544,0.081666,-0.013965,0.000323,0.171039,0.067388,-0.476296,0.912872,0.914184,0.065093,-0.523688,0.795976,0.873947,0.105984,0.040343,0.820214,0.975472,0.073084,0.460713,0.938368,0.233539,0.071662,0.505855,0.885200,0.867080,0.106784,-0.090718,0.967692,-0.000398,0.000428,-0.004350,-0.999990,0.212294,0.182673,0.125103,0.000263,0.281256,0.184426,0.177184,0.909054,0.182860,0.183279,0.182703,0.947002,0.172768,0.180316,0.015423,0.944027,0.171149,0.067070,-0.476207,0.913836,0.065689,-0.523252,0.874118,0.105287,0.040291,0.975399,0.073083,0.460478,0.233569,0.072029,0.505580,0.867189,0.106842,-0.090679,0.281436,0.184433,0.177500,0.182877,0.183275,0.182492,0.172570,0.180311,0.015318
4,0.040000,0.000916,0.008571,-0.000323,-0.999963,0.672522,0.081710,-0.013959,0.000317,0.170992,0.067572,-0.476266,0.912872,0.914134,0.065140,-0.523695,0.795976,0.873932,0.105984,0.040342,0.820214,0.975472,0.073025,0.460704,0.938368,0.233541,0.071740,0.505882,0.885200,0.867059,0.106798,-0.090718,0.967692,-0.000508,0.000386,-0.004280,-0.999991,0.212280,0.182683,0.125105,0.000269,0.281246,0.184414,0.177181,0.909054,0.182851,0.183280,0.182707,0.947002,0.172744,0.180355,0.015427,0.944027,0.171043,0.067317,-0.476151,0.913829,0.065680,-0.523263,0.874108,0.105286,0.040293,0.975390,0.073099,0.460478,0.233572,0.072045,0.505577,0.867187,0.106831,-0.090685,0.281436,0.184422,0.177505,0.182865,0.183276,0.182502,0.172540,0.180350,0.015308
5,0.050000,0.000913,0.008569,-0.000332,-0.999963,0.672523,0.081707,-0.013954,0.000320,0.170992,0.067564,-0.476260,0.929144,0.914134,0.065145,-0.523691,0.811005,0.873934,0.105984,0.040346,0.822314,0.975475,0.073024,0.460708,0.936659,0.233544,0.071726,0.505888,0.892418,0.867060,0.106799,-0.090714,0.963781,-0.000220,0.000100,-0.002972,-0.999996,0.212258,0.182546,0.125041,0.000198,0.281258,0.184127,0.177076,0.939657,0.182863,0.183253,0.182660,0.963756,0.172653,0.180258,0.015387,0.967599,0.171043,0.067311,-0.476142,0.913827,0.065683,-0.523258,0.874107,0.105297,0.040290,0.975387,0.073098,0.460482,0.233576,0.072029,0.505585,0.867198,0.106824,-0.090679,0.281405,0.184132,0.177267,0.182835,0.183251,0.182517,0.172533,0.180256,0.015338
