Format Version,1.23,Take Name,linear_fast_t1_may_4,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-04 12.35.52.446 PM,Total Frames in Take,4221,Total Exported Frames,4221,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","CEADF63C478211F1EA32166A2DC32B7","C8F10","C8F10","C8F10","C8F90","C8F90","C8F90","C8F70","C8F70","C8F70","C8F40","C8F40","C8F40","C8A30","C8A30","C8A30","C35B0","C35B0","C35B0","C7A90","C7A90","C7A90","C8FC0","C8FC0","C8FC0","C7DA0","C7DA0","C7DA0","C8A20","C8A20","C8A20"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.001196,0.005023,0.001635,-0.999985,-0.252694,0.090347,0.716988,0.000595,-0.183960,0.114661,0.916560,0.710424,-0.748377,0.089061,0.987857,0.721202,0.236780,0.069265,0.990949,0.883827,-0.312899,0.117875,0.914151,0.930242,-0.744564,0.083580,0.244343,0.969916,0.236861,0.067636,0.248068,0.911093,-0.014043,-0.081045,0.008705,-0.996574,-0.079094,0.163380,0.312370,0.000286,-0.027771,0.142129,0.267540,0.891430,-0.083261,0.163351,0.238546,0.844676,-0.080614,0.200302,0.433973,0.961576,-0.124729,0.147737,0.309422,0.876674,-0.027661,0.142453,0.267273,-0.083020,0.162877,0.238867,-0.080560,0.200169,0.433916,-0.125134,0.148020,0.309425,-0.183239,0.114708,0.917465,-0.749421,0.088991,0.987472,0.237219,0.069274,0.990797,-0.312712,0.117913,0.913947,-0.744545,0.083581,0.244224,0.236508,0.067611,0.248106
1,0.010000,-0.001208,0.005023,0.001637,-0.999985,-0.252697,0.090337,0.717000,0.000594,-0.183964,0.114647,0.916572,0.712215,-0.748381,0.089047,0.987869,0.719693,0.236776,0.069247,0.990960,0.884284,-0.312902,0.117861,0.914163,0.929446,-0.744568,0.083585,0.244354,0.968558,0.236857,0.067637,0.248079,0.910298,-0.014018,-0.080973,0.008805,-0.996579,-0.079090,0.163406,0.312388,0.000291,-0.027765,0.142142,0.267566,0.890394,-0.083246,0.163373,0.238563,0.845809,-0.080619,0.200336,0.433987,0.957921,-0.124728,0.147772,0.309434,0.876221,-0.027646,0.142465,0.267295,-0.083015,0.162890,0.238869,-0.080583,0.200190,0.433913,-0.125115,0.148079,0.309473,-0.183251,0.114679,0.917476,-0.749433,0.088977,0.987489,0.237214,0.069265,0.990811,-0.312709,0.117899,0.913961,-0.744540,0.083590,0.244232,0.236501,0.067608,0.248110
2,0.020000,-0.001225,0.005102,0.001612,-0.999985,-0.252658,0.090353,0.717053,0.000598,-0.183957,0.114659,0.916637,0.726673,-0.748384,0.089030,0.987843,0.720260,0.236773,0.069277,0.991090,0.869886,-0.312895,0.117867,0.914208,0.925683,-0.744453,0.083592,0.244329,0.964908,0.236972,0.067692,0.248208,0.924913,-0.014115,-0.081075,0.008718,-0.996570,-0.079097,0.163382,0.312373,0.000286,-0.027778,0.142136,0.267537,0.891694,-0.083269,0.163364,0.238549,0.843829,-0.080608,0.200287,0.433981,0.958961,-0.124733,0.147742,0.309426,0.873923,-0.027667,0.142466,0.267280,-0.083020,0.162892,0.238874,-0.080546,0.200152,0.433911,-0.125155,0.148018,0.309428,-0.183251,0.114691,0.917471,-0.749443,0.088989,0.987483,0.237209,0.069282,0.990805,-0.312712,0.117889,0.913975,-0.744551,0.083584,0.244228,0.236747,0.067680,0.248407
3,0.030000,-0.001220,0.005100,0.001612,-0.999985,-0.252662,0.090343,0.717055,0.000596,-0.183960,0.114651,0.916639,0.726673,-0.748387,0.089022,0.987847,0.720260,0.236770,0.069270,0.991091,0.869886,-0.312899,0.117859,0.914210,0.925683,-0.744459,0.083577,0.244333,0.964908,0.236966,0.067677,0.248209,0.924913,-0.013982,-0.080988,0.008674,-0.996579,-0.079110,0.163373,0.312369,0.000284,-0.027781,0.142120,0.267547,0.891694,-0.083268,0.163335,0.238544,0.843829,-0.080646,0.200309,0.433966,0.958961,-0.124744,0.147727,0.309417,0.873923,-0.027672,0.142435,0.267276,-0.083020,0.162880,0.238869,-0.080590,0.200186,0.433914,-0.125158,0.147990,0.309415,-0.183254,0.114678,0.917475,-0.749436,0.088970,0.987490,0.237208,0.069276,0.990799,-0.312716,0.117895,0.913970,-0.744547,0.083573,0.244233,0.236729,0.067661,0.248418
4,0.040000,-0.001192,0.005022,0.001626,-0.999985,-0.252701,0.090333,0.716994,0.000591,-0.183968,0.114651,0.916566,0.726247,-0.748384,0.089041,0.987863,0.722545,0.236773,0.069263,0.990955,0.868450,-0.312906,0.117862,0.914156,0.924244,-0.744571,0.083554,0.244349,0.966585,0.236854,0.067628,0.248073,0.920677,-0.014852,-0.080317,0.012627,-0.996579,-0.079230,0.163591,0.312385,0.000432,-0.028018,0.141975,0.267604,0.892636,-0.083297,0.163667,0.238555,0.846972,-0.080621,0.200408,0.434021,0.963871,-0.124985,0.148316,0.309360,0.877452,-0.027658,0.142451,0.267277,-0.083023,0.162885,0.238865,-0.080546,0.200160,0.433906,-0.125728,0.148875,0.309511,-0.183262,0.114688,0.917449,-0.749436,0.088968,0.987491,0.237212,0.069286,0.990794,-0.312718,0.117894,0.913958,-0.744542,0.083564,0.244225,0.236502,0.067596,0.248117
5,0.050000,-0.001212,0.005097,0.001614,-0.999985,-0.252663,0.090344,0.717051,0.000598,-0.183960,0.114655,0.916634,0.726412,-0.748387,0.089029,0.987847,0.720721,0.236771,0.069274,0.991084,0.869935,-0.312898,0.117863,0.914206,0.923774,-0.744463,0.083572,0.244333,0.966653,0.236962,0.067669,0.248202,0.921215,-0.014007,-0.081000,0.008778,-0.996577,-0.079113,0.163377,0.312366,0.000285,-0.027790,0.142115,0.267542,0.893569,-0.083274,0.163343,0.238542,0.848472,-0.080639,0.200309,0.433965,0.964427,-0.124751,0.147741,0.309415,0.881185,-0.027685,0.142423,0.267269,-0.083034,0.162888,0.238864,-0.080591,0.200185,0.433913,-0.125142,0.148010,0.309419,-0.183247,0.114697,0.917463,-0.749443,0.088982,0.987485,0.237208,0.069275,0.990802,-0.312716,0.117886,0.913962,-0.744555,0.083565,0.244237,0.236726,0.067657,0.248411
