Format Version,1.23,Take Name,linear_t0_slow_may_6,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-06 04.07.13.784 PM,Total Frames in Take,4869,Total Exported Frames,4869,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","C4120","C4120","C4120","C41E0","C41E0","C41E0","C40F0","C40F0","C40F0","C40D0","C40D0","C40D0","C4160","C4160","C4160","C41D0","C41D0","C41D0","C3F20","C3F20","C3F20","C3F50","C3F50","C3F50","C4130","C4130","C4130","C4100","C4100","C4100"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003642,-0.584055,0.009491,-0.811650,-0.052642,0.161712,0.186595,0.000284,-0.012266,0.143657,0.168055,0.873978,-0.030713,0.197561,0.293229,0.907685,-0.064298,0.159405,0.108942,0.844248,-0.103290,0.146225,0.176152,0.886843,-0.000034,-0.011358,0.000607,0.999935,-0.158738,0.086789,0.583450,0.000895,0.326078,0.068149,0.872001,0.848360,0.346870,0.064951,0.127362,0.900606,-0.100924,0.111677,0.783680,0.711469,-0.229382,0.114205,0.778323,0.762624,-0.660694,0.084223,0.841522,0.630292,-0.634378,0.077529,0.097815,0.761994,-0.012462,0.143225,0.168223,-0.030755,0.197753,0.292917,-0.064337,0.160002,0.109114,-0.103013,0.145869,0.176125,0.325703,0.067935,0.871575,0.347207,0.065128,0.127475,-0.100036,0.111786,0.784410,-0.229663,0.114131,0.779227,-0.660192,0.084635,0.840193,-0.635256,0.077225,0.097607
1,0.010000,-0.004356,-0.586152,0.009242,-0.810136,-0.050853,0.161616,0.186696,0.000292,-0.010582,0.143572,0.167921,0.827892,-0.028359,0.197295,0.293270,0.904369,-0.062911,0.159431,0.109102,0.797600,-0.101561,0.146168,0.176491,0.854764,0.000078,-0.011420,0.000501,0.999935,-0.158727,0.086865,0.583397,0.000863,0.326050,0.068058,0.872003,0.865333,0.346934,0.065024,0.127366,0.922626,-0.100932,0.111696,0.783639,0.726234,-0.229389,0.114252,0.778266,0.732446,-0.660716,0.084345,0.841405,0.664138,-0.634308,0.077813,0.097700,0.786160,-0.010659,0.142933,0.168165,-0.028436,0.197589,0.293038,-0.063149,0.160202,0.109162,-0.101169,0.145745,0.176420,0.325716,0.067942,0.871597,0.347204,0.065141,0.127462,-0.100089,0.111814,0.784329,-0.229745,0.114082,0.779261,-0.660184,0.084654,0.840210,-0.635100,0.077614,0.097445
2,0.020000,-0.003544,-0.587302,0.009476,-0.809304,-0.048734,0.161550,0.186846,0.000303,-0.008506,0.143499,0.167984,0.827892,-0.025956,0.197409,0.293299,0.904369,-0.061012,0.159237,0.109290,0.797600,-0.099462,0.146057,0.176810,0.854764,0.000038,-0.011416,0.000494,0.999935,-0.158704,0.086900,0.583324,0.000753,0.326075,0.068110,0.871928,0.865333,0.346952,0.065016,0.127291,0.922626,-0.100907,0.111746,0.783564,0.726234,-0.229364,0.114303,0.778192,0.732446,-0.660690,0.084407,0.841337,0.664138,-0.634289,0.077816,0.097632,0.786160,-0.008748,0.143059,0.168092,-0.026008,0.197611,0.292986,-0.061018,0.159836,0.109543,-0.099162,0.145696,0.176762,0.325710,0.067942,0.871610,0.347182,0.065160,0.127440,-0.100152,0.111828,0.784212,-0.229559,0.114262,0.778805,-0.660182,0.084661,0.840184,-0.635062,0.077602,0.097516
3,0.030000,-0.003544,-0.588815,0.009320,-0.808206,-0.046744,0.161605,0.187066,0.000232,-0.006583,0.143567,0.168050,0.874705,-0.023577,0.197445,0.293442,0.914564,-0.059311,0.159305,0.109556,0.841388,-0.097506,0.146101,0.177216,0.888380,0.000045,-0.011439,0.000498,0.999934,-0.158694,0.086879,0.583315,0.000711,0.326071,0.068088,0.871942,0.870033,0.346984,0.065005,0.127306,0.927554,-0.100907,0.111722,0.783558,0.770814,-0.229364,0.114279,0.778180,0.834066,-0.660693,0.084379,0.841304,0.684733,-0.634256,0.077798,0.097600,0.820269,-0.006761,0.143109,0.168146,-0.023628,0.197665,0.293186,-0.059342,0.159903,0.109766,-0.097246,0.145742,0.177166,0.325707,0.067927,0.871607,0.347189,0.065146,0.127454,-0.100211,0.111853,0.784141,-0.229598,0.114159,0.778789,-0.660178,0.084654,0.840186,-0.634941,0.077592,0.097527
4,0.040000,-0.003526,-0.590330,0.009501,-0.807098,-0.044782,0.161546,0.187259,0.000285,-0.004698,0.143494,0.168097,0.874705,-0.021206,0.197402,0.293540,0.914564,-0.057641,0.159234,0.109797,0.841388,-0.095585,0.146055,0.177604,0.888380,0.000025,-0.011452,0.000509,0.999934,-0.158697,0.086873,0.583301,0.000685,0.326062,0.068104,0.871941,0.870033,0.346993,0.064991,0.127306,0.927554,-0.100915,0.111726,0.783545,0.770814,-0.229372,0.114279,0.778164,0.834066,-0.660702,0.084373,0.841278,0.684733,-0.634247,0.077763,0.097575,0.820269,-0.004876,0.143004,0.168267,-0.021263,0.197623,0.293233,-0.057702,0.159886,0.109967,-0.095288,0.145672,0.177570,0.325678,0.067944,0.871586,0.347201,0.065128,0.127458,-0.100265,0.111846,0.784083,-0.229637,0.114174,0.778724,-0.660187,0.084627,0.840178,-0.634863,0.077566,0.097590
5,0.050000,-0.006742,-0.592649,0.008172,-0.805391,-0.042568,0.161244,0.187645,0.000262,-0.002623,0.143257,0.168132,0.890554,-0.018327,0.196335,0.294031,0.934877,-0.055870,0.159482,0.110243,0.906212,-0.093451,0.145903,0.178173,0.908561,0.000020,-0.011480,0.000507,0.999934,-0.158698,0.086876,0.583301,0.000667,0.326044,0.068109,0.871969,0.861776,0.347018,0.064988,0.127335,0.932660,-0.100927,0.111731,0.783548,0.800624,-0.229384,0.114285,0.778159,0.829986,-0.660718,0.084380,0.841250,0.696364,-0.634221,0.077763,0.097549,0.863132,-0.002961,0.143105,0.168365,-0.018228,0.196439,0.293813,-0.055793,0.159827,0.110368,-0.093290,0.145606,0.178032,0.325686,0.067942,0.871581,0.347193,0.065130,0.127481,-0.100317,0.111873,0.784041,-0.229744,0.114142,0.778719,-0.660190,0.084652,0.840190,-0.634726,0.077563,0.097614
6,0.060000,-0.004422,-0.593231,0.007774,-0.804983,-0.040652,0.161375,0.187911,0.000279,-0.000675,0.143459,0.168398,0.890554,-0.016376,0.196893,0.294147,0.934877,-0.054061,0.159315,0.110535,0.906212,-0.091496,0.145830,0.178564,0.908561,-0.000239,-0.011493,0.000549,0.999934,-0.158630,0.086922,0.583208,0.000556,0.326106,0.068342,0.871898,0.861776,0.347099,0.064836,0.127266,0.932660,-0.100866,0.111885,0.783443,0.800624,-0.229323,0.114426,0.778050,0.829986,-0.660656,0.084521,0.841145,0.696364,-0.634139,0.077519,0.097448,0.863132,-0.000839,0.142939,0.168498,-0.016493,0.197109,0.293795,-0.054074,0.159993,0.110708,-0.091203,0.145458,0.178643,0.325708,0.067902,0.871590,0.347203,0.065120,0.127473,-0.100348,0.111891,0.783989,-0.229537,0.114800,0.778117,-0.660190,0.084660,0.840200,-0.634563,0.077171,0.097778
7,0.070000,-0.004230,-0.594419,0.007800,-0.804107,-0.038603,0.161409,0.188244,0.000259,0.001319,0.143495,0.168618,0.864982,-0.014020,0.196965,0.294397,0.897271,-0.052240,0.159323,0.110909,0.826374,-0.089472,0.145852,0.179052,0.885045,-0.000245,-0.011490,0.000550,0.999934,-0.158636,0.086936,0.583193,0.000561,0.326102,0.068361,0.871880,0.839708,0.347090,0.064846,0.127248,0.905650,-0.100871,0.111902,0.783427,0.829659,-0.229328,0.114443,0.778035,0.886638,-0.660660,0.084537,0.841133,0.735612,-0.634148,0.077527,0.097436,0.826902,0.001170,0.142988,0.168731,-0.014111,0.197186,0.294062,-0.052251,0.159992,0.111093,-0.089221,0.145469,0.179089,0.325718,0.067929,0.871602,0.347231,0.065128,0.127456,-0.100424,0.111886,0.783941,-0.229564,0.114824,0.777965,-0.660179,0.084672,0.840201,-0.634545,0.077190,0.097893
8,0.080000,-0.003886,-0.596402,0.006888,-0.802647,-0.036575,0.161522,0.188551,0.000235,0.003284,0.143694,0.168719,0.864982,-0.011536,0.197064,0.294602,0.897271,-0.050588,0.159455,0.111283,0.826374,-0.087459,0.145875,0.179600,0.885045,-0.000177,-0.011474,0.000580,0.999934,-0.158697,0.086883,0.583246,0.000580,0.326052,0.068298,0.871914,0.839708,0.347017,0.064886,0.127281,0.905650,-0.100927,0.111825,0.783482,0.829659,-0.229384,0.114359,0.778094,0.886638,-0.660713,0.084418,0.841201,0.735612,-0.634224,0.077510,0.097502,0.826902,0.003144,0.143244,0.168921,-0.011608,0.197260,0.294405,-0.050715,0.160019,0.111244,-0.087120,0.145564,0.179633,0.325725,0.067939,0.871586,0.347204,0.065125,0.127444,-0.100541,0.111978,0.783832,-0.229774,0.114407,0.778289,-0.660187,0.084660,0.840209,-0.634530,0.077220,0.097970
9,0.090000,-0.003808,-0.597320,0.007243,-0.801961,-0.034365,0.161456,0.188949,0.000330,0.005439,0.143598,0.169035,0.880387,-0.009066,0.197042,0.294923,0.896245,-0.048557,0.159354,0.111714,0.851905,-0.085278,0.145829,0.180123,0.891165,-0.000180,-0.011430,0.000595,0.999934,-0.158738,0.086878,0.583271,0.000605,0.326036,0.068309,0.871897,0.852550,0.346935,0.064892,0.127262,0.900906,-0.100952,0.111823,0.783502,0.879821,-0.229410,0.114353,0.778125,0.889500,-0.660732,0.084401,0.841271,0.694951,-0.634308,0.077488,0.097570,0.825222,0.005295,0.143172,0.169197,-0.009183,0.197191,0.294553,-0.048613,0.159925,0.111863,-0.084961,0.145536,0.180181,0.325698,0.067953,0.871571,0.347200,0.065127,0.127442,-0.100606,0.112001,0.783785,-0.229811,0.114362,0.778310,-0.660169,0.084665,0.840221,-0.634642,0.077205,0.098115
10,0.100000,-0.004331,-0.599771,0.005668,-0.800140,-0.032350,0.161505,0.189390,0.000289,0.007366,0.143778,0.169185,0.880387,-0.006473,0.196846,0.295307,0.896245,-0.047008,0.159590,0.112237,0.851905,-0.083286,0.145806,0.180831,0.891165,-0.000008,-0.011411,0.000447,0.999935,-0.158784,0.086946,0.583275,0.000625,0.325995,0.068136,0.871876,0.852550,0.346866,0.064972,0.127239,0.900906,-0.100983,0.111805,0.783512,0.879821,-0.229440,0.114374,0.778141,0.889500,-0.660769,0.084526,0.841292,0.694951,-0.634375,0.077865,0.097588,0.825222,0.007278,0.143227,0.169435,-0.006534,0.197101,0.295079,-0.047216,0.160268,0.112324,-0.082929,0.145424,0.180721,0.325729,0.067935,0.871566,0.347206,0.065079,0.127434,-0.100697,0.111983,0.783771,-0.229889,0.114327,0.778284,-0.660180,0.084649,0.840218,-0.634769,0.077726,0.098183
11,0.110000,-0.004171,-0.600640,0.006260,-0.799484,-0.030184,0.161421,0.189899,0.000312,0.009475,0.143645,0.169624,0.890749,-0.004049,0.196844,0.295725,0.907539,-0.045011,0.159444,0.112780,0.866779,-0.081149,0.145753,0.181466,0.894298,0.000030,-0.011370,0.000498,0.999935,-0.158845,0.086888,0.583328,0.000671,0.325960,0.068106,0.871889,0.892959,0.346770,0.065000,0.127250,0.881747,-0.101030,0.111737,0.783562,0.895142,-0.229488,0.114294,0.778202,0.834399,-0.660808,0.084396,0.841386,0.657662,-0.634474,0.077793,0.097679,0.816488,0.009300,0.143261,0.169736,-0.004167,0.196980,0.295402,-0.045056,0.159945,0.112957,-0.080811,0.145501,0.181499,0.325734,0.067937,0.871567,0.347198,0.065096,0.127428,-0.100753,0.111997,0.783741,-0.230035,0.114049,0.778484,-0.660169,0.084641,0.840201,-0.634893,0.077664,0.098268
12,0.120000,-0.003530,-0.603149,0.004312,-0.797609,-0.028244,0.161293,0.190437,0.000265,0.011356,0.143698,0.169890,0.890749,-0.001585,0.196674,0.296146,0.907539,-0.043546,0.159362,0.113410,0.866779,-0.079200,0.145438,0.182301,0.894298,0.000009,-0.011369,0.000464,0.999935,-0.158861,0.086920,0.583294,0.000673,0.325943,0.068117,0.871855,0.892959,0.346752,0.064978,0.127216,0.881747,-0.101044,0.111774,0.783527,0.895142,-0.229502,0.114339,0.778167,0.834399,-0.660824,0.084474,0.841354,0.657662,-0.634492,0.077837,0.097647,0.816488,0.011292,0.143135,0.170071,-0.001714,0.196911,0.295933,-0.043749,0.160017,0.113418,-0.078806,0.145109,0.182326,0.325734,0.067924,0.871571,0.347221,0.065087,0.127423,-0.100830,0.111989,0.783706,-0.230006,0.114189,0.778301,-0.660151,0.084679,0.840182,-0.634991,0.077696,0.098325
13,0.130000,-0.003130,-0.604627,0.004105,-0.796492,-0.026032,0.161281,0.191034,0.000344,0.013505,0.143711,0.170347,0.874714,0.000990,0.196722,0.296631,0.883927,-0.041618,0.159309,0.114065,0.825471,-0.077005,0.145381,0.183093,0.889546,0.000023,-0.011363,0.000473,0.999935,-0.158936,0.086920,0.583319,0.000726,0.325872,0.068117,0.871872,0.901645,0.346671,0.065000,0.127233,0.851139,-0.101117,0.111769,0.783552,0.927797,-0.229575,0.114332,0.778193,0.827344,-0.660896,0.084457,0.841384,0.639171,-0.634573,0.077843,0.097677,0.786480,0.013293,0.143271,0.170457,0.000897,0.196902,0.296213,-0.041552,0.159941,0.114354,-0.076767,0.145010,0.183112,0.325729,0.067923,0.871561,0.347223,0.065101,0.127433,-0.100938,0.111964,0.783669,-0.230212,0.114204,0.778428,-0.660141,0.084679,0.840174,-0.635091,0.077704,0.098342
