Format Version,1.23,Take Name,linear_t1_mixed_may_6,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-06 04.11.57.719 PM,Total Frames in Take,4819,Total Exported Frames,4819,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","C4210","C4210","C4210","C41E0","C41E0","C41E0","C40F0","C40F0","C40F0","C40D0","C40D0","C40D0","C4160","C4160","C4160","C41D0","C41D0","C41D0","C3F20","C3F20","C3F20","C3F50","C3F50","C3F50","C4130","C4130","C4130","C4100","C4100","C4100"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.004309,-0.487102,0.007205,-0.873305,-0.144708,0.163003,0.228368,0.000283,-0.101106,0.145112,0.219499,0.835595,-0.147787,0.198725,0.337232,0.906980,-0.138351,0.160801,0.150100,0.815618,-0.191587,0.147373,0.206639,0.879249,0.000404,0.011964,-0.000628,-0.999928,-0.159584,0.086861,0.584061,0.000872,0.324882,0.068452,0.873214,0.699131,0.346578,0.064703,0.128603,0.827944,-0.102013,0.111899,0.784343,0.852759,-0.230465,0.114419,0.778827,0.862197,-0.661853,0.084468,0.841525,0.505757,-0.634634,0.077223,0.097856,0.921464,-0.101116,0.144607,0.219921,-0.147681,0.198968,0.336971,-0.138569,0.161505,0.150086,-0.191464,0.146930,0.206492,0.324924,0.068201,0.872038,0.346544,0.064744,0.129290,-0.102406,0.112026,0.784763,-0.230771,0.114611,0.779244,-0.660010,0.084325,0.840823,-0.634878,0.077146,0.097674
1,0.010000,-0.004352,-0.487116,0.007248,-0.873296,-0.144699,0.163009,0.228343,0.000259,-0.101099,0.145113,0.219472,0.833448,-0.147770,0.198728,0.337209,0.906071,-0.138345,0.160809,0.150075,0.808732,-0.191581,0.147385,0.206616,0.879178,0.000404,0.011963,-0.000624,-0.999928,-0.159570,0.086852,0.584062,0.000872,0.324897,0.068438,0.873213,0.699702,0.346591,0.064690,0.128603,0.831935,-0.101998,0.111890,0.784343,0.849424,-0.230451,0.114411,0.778828,0.858628,-0.661838,0.084463,0.841527,0.510028,-0.634620,0.077219,0.097857,0.919751,-0.101076,0.144567,0.219853,-0.147689,0.198993,0.336955,-0.138565,0.161542,0.150077,-0.191467,0.146934,0.206487,0.324947,0.068173,0.872043,0.346582,0.064734,0.129274,-0.102405,0.112026,0.784766,-0.230765,0.114603,0.779257,-0.660016,0.084332,0.840816,-0.634875,0.077136,0.097681
2,0.020000,-0.004202,-0.487063,0.007432,-0.873325,-0.144699,0.163013,0.228324,0.000259,-0.101101,0.145106,0.219467,0.833448,-0.147777,0.198781,0.337174,0.906071,-0.138336,0.160778,0.150058,0.808732,-0.191581,0.147388,0.206598,0.879178,0.000272,0.011994,-0.000485,-0.999928,-0.159578,0.086930,0.584039,0.000871,0.324866,0.068307,0.873215,0.699702,0.346606,0.064750,0.128605,0.831935,-0.102011,0.111899,0.784330,0.849424,-0.230463,0.114456,0.778808,0.858628,-0.661863,0.084611,0.841472,0.510028,-0.634601,0.077558,0.097802,0.919751,-0.101078,0.144562,0.219847,-0.147699,0.199040,0.336906,-0.138555,0.161509,0.150062,-0.191462,0.146943,0.206482,0.324924,0.068205,0.872055,0.346586,0.064723,0.129272,-0.102409,0.112021,0.784773,-0.230774,0.114593,0.779265,-0.660015,0.084330,0.840821,-0.634864,0.077556,0.097554
3,0.030000,-0.003821,-0.487477,0.007279,-0.873097,-0.144748,0.162981,0.228290,0.000286,-0.101147,0.145097,0.219400,0.819121,-0.147745,0.198802,0.337125,0.916513,-0.138458,0.160710,0.150020,0.807250,-0.191641,0.147315,0.206617,0.887336,0.000229,0.012110,-0.000826,-0.999926,-0.159534,0.086930,0.584156,0.000958,0.324856,0.068614,0.873443,0.633874,0.346770,0.065132,0.128838,0.761187,-0.102031,0.111922,0.784462,0.876216,-0.230483,0.114392,0.778911,0.878782,-0.661877,0.084247,0.841472,0.505620,-0.634438,0.077272,0.097809,0.879881,-0.101049,0.144551,0.219865,-0.147695,0.199048,0.336904,-0.138792,0.161397,0.149914,-0.191456,0.146928,0.206478,0.324947,0.068189,0.872045,0.346849,0.065257,0.129782,-0.102408,0.112003,0.784774,-0.230766,0.114609,0.779240,-0.660012,0.084316,0.840818,-0.634877,0.077138,0.097668
4,0.040000,-0.004215,-0.486983,0.007457,-0.873369,-0.144678,0.163021,0.228298,0.000238,-0.101079,0.145112,0.219449,0.819121,-0.147773,0.198790,0.337147,0.916513,-0.138301,0.160785,0.150034,0.807250,-0.191557,0.147399,0.206564,0.887336,0.000398,0.011959,-0.000631,-0.999928,-0.159569,0.086842,0.584053,0.000876,0.324900,0.068432,0.873200,0.633874,0.346588,0.064692,0.128590,0.761187,-0.101996,0.111879,0.784334,0.876216,-0.230449,0.114398,0.778820,0.878782,-0.661835,0.084444,0.841522,0.505620,-0.634624,0.077209,0.097852,0.879881,-0.101068,0.144560,0.219831,-0.147697,0.199056,0.336901,-0.138500,0.161526,0.149987,-0.191445,0.146944,0.206474,0.324957,0.068160,0.872036,0.346577,0.064741,0.129252,-0.102403,0.112020,0.784761,-0.230768,0.114583,0.779258,-0.660002,0.084332,0.840813,-0.634878,0.077120,0.097664
5,0.050000,-0.004072,-0.487456,0.007238,-0.873108,-0.144744,0.163012,0.228274,0.000277,-0.101146,0.145125,0.219378,0.817796,-0.147741,0.198782,0.337126,0.910640,-0.138451,0.160777,0.150003,0.798820,-0.191639,0.147365,0.206591,0.880095,0.000247,0.012013,-0.000495,-0.999928,-0.159627,0.086904,0.584094,0.000942,0.324806,0.068276,0.873288,0.682555,0.346574,0.064758,0.128679,0.854269,-0.102069,0.111864,0.784389,0.868237,-0.230520,0.114419,0.778862,0.784244,-0.661922,0.084561,0.841507,0.486469,-0.634631,0.077547,0.097838,0.907126,-0.101075,0.144542,0.219810,-0.147690,0.199052,0.336897,-0.138759,0.161517,0.149924,-0.191454,0.146940,0.206466,0.324944,0.068199,0.872028,0.346576,0.064714,0.129260,-0.102409,0.112012,0.784764,-0.231001,0.114485,0.779575,-0.660005,0.084329,0.840807,-0.634861,0.077553,0.097546
