Format Version,1.23,Take Name,rotation_random_mixed_t0_may_6,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-05-06 04.15.21.297 PM,Total Frames in Take,4657,Total Exported Frames,4657,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","D5A661B7493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","E6F57D57493211F1EA32166A2DC34B7","C4210","C4210","C4210","C41E0","C41E0","C41E0","C40F0","C40F0","C40F0","C40D0","C40D0","C40D0","C4160","C4160","C4160","C41D0","C41D0","C41D0","C3F20","C3F20","C3F20","C3F50","C3F50","C3F50","C4130","C4130","C4130","C4100","C4100","C4100"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005928,0.942620,-0.006505,0.333752,0.073470,0.159778,0.296435,0.000884,0.069990,0.142298,0.251913,0.832197,0.181510,0.193970,0.313619,0.678155,-0.003375,0.158701,0.280165,0.803866,0.045756,0.144143,0.340042,0.851097,0.000132,0.011681,-0.000474,-0.999932,-0.159144,0.086736,0.583987,0.000993,0.325480,0.068022,0.872855,0.724599,0.346754,0.064674,0.128230,0.714981,-0.101452,0.111647,0.784249,0.525027,-0.229907,0.114209,0.778808,0.941521,-0.661268,0.084354,0.841733,0.796042,-0.634472,0.077509,0.098045,0.788226,0.070444,0.141812,0.251999,0.180237,0.194052,0.313445,-0.003289,0.159480,0.280186,0.046231,0.143784,0.340074,0.324907,0.068033,0.871914,0.346451,0.064655,0.129329,-0.100559,0.111968,0.785895,-0.229751,0.114077,0.778694,-0.660538,0.084341,0.841370,-0.635096,0.077483,0.097473
1,0.010000,0.005248,0.942704,-0.006370,0.333528,0.073455,0.159709,0.296463,0.000842,0.069976,0.142216,0.251946,0.843635,0.181456,0.194053,0.313589,0.691901,-0.003397,0.158523,0.280231,0.826380,0.045784,0.144044,0.340087,0.875232,0.000130,0.011677,-0.000479,-0.999932,-0.159146,0.086733,0.583984,0.000991,0.325481,0.068023,0.872848,0.724031,0.346748,0.064680,0.128224,0.715170,-0.101453,0.111644,0.784246,0.526826,-0.229908,0.114204,0.778806,0.940965,-0.661268,0.084344,0.841735,0.795989,-0.634478,0.077503,0.098046,0.788547,0.070441,0.141799,0.251993,0.180233,0.194059,0.313438,-0.003280,0.159200,0.280332,0.046205,0.143778,0.340063,0.324905,0.068031,0.871907,0.346446,0.064664,0.129322,-0.100571,0.111950,0.785892,-0.229743,0.114083,0.778689,-0.660540,0.084330,0.841366,-0.635105,0.077477,0.097479
2,0.020000,0.005258,0.942698,-0.006387,0.333544,0.073460,0.159708,0.296464,0.000849,0.069982,0.142214,0.251947,0.843635,0.181462,0.194049,0.313593,0.691901,-0.003391,0.158525,0.280229,0.826380,0.045787,0.144045,0.340088,0.875232,0.000140,0.011679,-0.000477,-0.999932,-0.159142,0.086739,0.583986,0.000991,0.325484,0.068032,0.872852,0.724031,0.346754,0.064673,0.128228,0.715170,-0.101449,0.111653,0.784248,0.526826,-0.229904,0.114214,0.778807,0.940965,-0.661265,0.084358,0.841735,0.795989,-0.634472,0.077502,0.098047,0.788547,0.070441,0.141803,0.251990,0.180221,0.194050,0.313445,-0.003271,0.159194,0.280327,0.046217,0.143786,0.340068,0.324921,0.068033,0.871908,0.346457,0.064654,0.129335,-0.100560,0.111980,0.785894,-0.229751,0.114097,0.778697,-0.660538,0.084338,0.841365,-0.635104,0.077475,0.097476
3,0.030000,0.005282,0.942697,-0.006387,0.333548,0.073455,0.159707,0.296451,0.000842,0.069977,0.142214,0.251934,0.843503,0.181458,0.194043,0.313581,0.688739,-0.003396,0.158527,0.280215,0.826343,0.045780,0.144045,0.340074,0.875972,0.000134,0.011677,-0.000481,-0.999932,-0.159148,0.086735,0.583979,0.000987,0.325480,0.068029,0.872843,0.727133,0.346747,0.064679,0.128219,0.714217,-0.101454,0.111648,0.784241,0.522516,-0.229909,0.114208,0.778801,0.942008,-0.661269,0.084347,0.841730,0.798520,-0.634479,0.077500,0.098042,0.788851,0.070440,0.141793,0.251963,0.180221,0.194050,0.313437,-0.003274,0.159202,0.280325,0.046202,0.143784,0.340051,0.324918,0.068033,0.871907,0.346445,0.064667,0.129321,-0.100557,0.111966,0.785897,-0.229752,0.114082,0.778686,-0.660550,0.084336,0.841366,-0.635104,0.077470,0.097474
4,0.040000,0.005538,0.942676,-0.005737,0.333615,0.073411,0.159651,0.296418,0.000802,0.069939,0.142220,0.251876,0.843503,0.181413,0.193957,0.313612,0.688739,-0.003437,0.158497,0.280169,0.826343,0.045730,0.143929,0.340015,0.875972,0.000119,0.011678,-0.000485,-0.999932,-0.159153,0.086739,0.583983,0.000997,0.325473,0.068030,0.872848,0.727133,0.346743,0.064702,0.128223,0.714217,-0.101461,0.111647,0.784246,0.522516,-0.229915,0.114206,0.778805,0.942008,-0.661275,0.084339,0.841733,0.798520,-0.634483,0.077514,0.098044,0.788851,0.070446,0.141793,0.251959,0.180242,0.193989,0.313409,-0.003279,0.159204,0.280321,0.046046,0.143623,0.339950,0.324902,0.068040,0.871904,0.346432,0.064685,0.129337,-0.100566,0.111969,0.785896,-0.229759,0.114072,0.778693,-0.660544,0.084328,0.841366,-0.635105,0.077487,0.097471
5,0.050000,0.005411,0.942659,-0.005741,0.333664,0.073410,0.159670,0.296405,0.000800,0.069946,0.142234,0.251865,0.833501,0.181402,0.194004,0.313607,0.703104,-0.003437,0.158497,0.280149,0.813201,0.045727,0.143946,0.340001,0.886476,0.000139,0.011679,-0.000491,-0.999932,-0.159150,0.086741,0.583981,0.000994,0.325477,0.068047,0.872846,0.722628,0.346746,0.064690,0.128222,0.715782,-0.101458,0.111657,0.784242,0.523741,-0.229912,0.114214,0.778802,0.942584,-0.661272,0.084345,0.841730,0.796978,-0.634480,0.077491,0.098042,0.788725,0.070440,0.141794,0.251942,0.180230,0.194041,0.313421,-0.003276,0.159209,0.280309,0.046056,0.143643,0.339919,0.324892,0.068046,0.871904,0.346448,0.064673,0.129319,-0.100559,0.111968,0.785893,-0.229747,0.114109,0.778681,-0.660545,0.084322,0.841369,-0.635107,0.077464,0.097476
