Format Version,1.23,Take Name,linear_t0_apr_30,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-04-30 03.17.21.029 PM,Total Frames in Take,3479,Total Exported Frames,3479,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table,"table:Marker1","table:Marker1","table:Marker1","table:Marker1","table:Marker2","table:Marker2","table:Marker2","table:Marker2","table:Marker3","table:Marker3","table:Marker3","table:Marker3","table:Marker4","table:Marker4","table:Marker4","table:Marker4","table:Marker5","table:Marker5","table:Marker5","table:Marker5","table:Marker6","table:Marker6","table:Marker6","table:Marker6",noark,noark,noark,noark,noark,noark,noark,noark,"noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker1","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker2","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker3","noark:Marker4","noark:Marker4","noark:Marker4","noark:Marker4",noark:Marker1,noark:Marker1,noark:Marker1,noark:Marker2,noark:Marker2,noark:Marker2,noark:Marker3,noark:Marker3,noark:Marker3,noark:Marker4,noark:Marker4,noark:Marker4,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,table:Marker5,table:Marker5,table:Marker5,table:Marker6,table:Marker6,table:Marker6
,ID,"EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","EAA46BDB447511F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","FD61C052447611F1EA32166A2DC30B7","C51B0","C51B0","C51B0","C5470","C5470","C5470","C5630","C5630","C5630","C5100","C5100","C5100","C4C80","C4C80","C4C80","C4CE0","C4CE0","C4CE0","C55E0","C55E0","C55E0","C4CB0","C4CB0","C4CB0","C52D0","C52D0","C52D0","C5610","C5610","C5610"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000599,0.000604,0.000079,-1.000000,-0.072120,0.087594,0.566143,0.000625,-0.001702,0.112840,0.765010,0.942775,-0.565385,0.085754,0.841389,0.735506,0.419818,0.069012,0.835837,0.839476,-0.130666,0.115647,0.763731,0.948752,-0.568123,0.077605,0.097894,0.871605,0.413342,0.064706,0.092994,0.788690,0.001971,0.116612,0.003448,-0.993170,0.071910,0.161040,0.121697,0.000312,0.069770,0.196941,0.245038,0.927536,0.123495,0.139976,0.076434,0.961692,0.068975,0.160952,0.047259,0.969994,0.025399,0.146289,0.118058,0.905130,0.069807,0.196848,0.244766,0.123622,0.140051,0.076475,0.069093,0.160944,0.047237,0.025117,0.146316,0.118311,-0.001739,0.112770,0.765225,-0.566426,0.085744,0.841576,0.419869,0.069098,0.835203,-0.130645,0.115641,0.763527,-0.568055,0.077666,0.098400,0.414183,0.064642,0.092944
1,0.010000,0.000606,0.000599,0.000083,-1.000000,-0.072117,0.087596,0.566150,0.000623,-0.001698,0.112845,0.765017,0.950516,-0.565380,0.085765,0.841402,0.732936,0.419823,0.069014,0.835840,0.841046,-0.130662,0.115653,0.763739,0.949257,-0.568126,0.077605,0.097907,0.871711,0.413339,0.064697,0.092997,0.792011,0.001933,0.116422,0.001824,-0.993196,0.071999,0.160977,0.121659,0.000174,0.069791,0.196909,0.244989,0.942214,0.123634,0.140067,0.076381,0.976112,0.069036,0.160857,0.047222,0.975601,0.025535,0.146075,0.118043,0.967978,0.069807,0.196863,0.244763,0.123614,0.140064,0.076475,0.069077,0.160944,0.047238,0.025499,0.146036,0.118159,-0.001720,0.112796,0.765207,-0.566430,0.085737,0.841596,0.419872,0.069099,0.835212,-0.130640,0.115644,0.763537,-0.568059,0.077674,0.098411,0.414167,0.064625,0.092960
2,0.020000,0.000570,0.000606,0.000060,-1.000000,-0.072150,0.087562,0.566158,0.000630,-0.001734,0.112799,0.765027,0.950516,-0.565416,0.085688,0.841402,0.732936,0.419787,0.068982,0.835853,0.841046,-0.130698,0.115601,0.763747,0.949257,-0.568151,0.077582,0.097907,0.871711,0.413314,0.064719,0.093010,0.792011,0.001918,0.116481,0.001877,-0.993189,0.071963,0.160978,0.121674,0.000186,0.069744,0.196905,0.245006,0.942214,0.123601,0.140064,0.076402,0.976112,0.069008,0.160862,0.047237,0.975601,0.025498,0.146081,0.118052,0.967978,0.069751,0.196860,0.244790,0.123606,0.140055,0.076478,0.069049,0.160949,0.047233,0.025445,0.146047,0.118195,-0.001745,0.112766,0.765229,-0.566435,0.085739,0.841601,0.419861,0.069100,0.835220,-0.130765,0.115464,0.763538,-0.568072,0.077651,0.098422,0.414179,0.064653,0.092954
3,0.030000,0.000600,0.000599,0.000075,-1.000000,-0.072132,0.087587,0.566174,0.000618,-0.001713,0.112834,0.765041,0.947187,-0.565395,0.085744,0.841425,0.735284,0.419808,0.069009,0.835864,0.844491,-0.130677,0.115640,0.763763,0.947324,-0.568140,0.077593,0.097930,0.873103,0.413325,0.064701,0.093021,0.792813,0.001758,0.116468,0.001757,-0.993191,0.071970,0.160977,0.121669,0.000165,0.069745,0.196867,0.245011,0.948245,0.123614,0.140091,0.076389,0.976331,0.069014,0.160882,0.047231,0.973954,0.025509,0.146068,0.118043,0.969024,0.069761,0.196833,0.244807,0.123608,0.140074,0.076482,0.069041,0.160982,0.047234,0.025472,0.146019,0.118151,-0.001742,0.112782,0.765244,-0.566436,0.085729,0.841614,0.419862,0.069080,0.835248,-0.130647,0.115638,0.763554,-0.568080,0.077648,0.098431,0.414150,0.064642,0.092973
4,0.040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001928,0.116321,0.001521,-0.993209,0.071944,0.160979,0.121689,0.000182,0.069740,0.196916,0.245017,0.948245,0.123583,0.140097,0.076402,0.976331,0.068966,0.160853,0.047252,0.973954,0.025489,0.146048,0.118083,0.969024,0.069745,0.196872,0.244801,0.123597,0.140081,0.076486,0.068981,0.160943,0.047258,0.025454,0.146018,0.118209,-0.001759,0.112776,0.765249,-0.566454,0.085723,0.841615,0.419842,0.069093,0.835232,-0.130655,0.115644,0.763564,-0.568097,0.077656,0.098439,0.414161,0.064651,0.092978
5,0.050000,0.000592,0.000601,0.000054,-1.000000,-0.072153,0.087607,0.566182,0.000620,-0.001736,0.112854,0.765049,0.943110,-0.565417,0.085739,0.841431,0.735117,0.419787,0.069046,0.835873,0.841705,-0.130700,0.115654,0.763771,0.943383,-0.568159,0.077601,0.097936,0.874259,0.413306,0.064750,0.093030,0.794103,,,,,,,,,,,,,,,,,,,,,,,,,0.069740,0.196841,0.244822,0.123589,0.140076,0.076496,0.068979,0.161030,0.047249,0.025425,0.146049,0.118202,-0.001760,0.112779,0.765263,-0.566459,0.085740,0.841621,0.419830,0.069118,0.835245,-0.130654,0.115659,0.763549,-0.568107,0.077648,0.098434,0.414128,0.064700,0.092998
