timestamp,step,target_angle_deg,target_mag_N,T1,T3,tau1,tau2,feasible
1781182657.132925,0,-128.880,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182665.557950,1,-128.880,5.000,4.9740,0.4152,-0.1641,0.0137,1
1781182673.596806,2,-128.880,10.000,9.9490,0.8340,-0.3283,0.0275,1
1781182681.580073,3,-128.880,15.000,14.9225,1.2963,-0.4924,0.0428,1
1781182689.582223,4,-128.880,24.000,23.8672,2.1742,-0.7876,0.0717,1
1781182697.574949,5,-115.670,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182705.577191,6,-115.670,5.000,4.7245,1.5522,-0.1559,0.0512,1
1781182713.573232,7,-115.670,10.000,9.4436,3.1486,-0.3116,0.1039,1
1781182721.580351,8,-115.670,15.000,14.1584,4.7396,-0.4672,0.1564,1
1781182729.584388,9,-115.670,24.000,22.6553,7.5958,-0.7476,0.2507,1
1781182737.586983,10,-102.460,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182745.580947,11,-102.460,5.000,4.2271,2.5933,-0.1395,0.0856,1
1781182753.585287,12,-102.460,10.000,8.4552,5.1958,-0.2790,0.1715,1
1781182761.561080,13,-102.460,15.000,12.6957,7.7993,-0.4190,0.2574,1
1781182769.581775,14,-102.460,24.000,20.2728,12.4505,-0.6690,0.4109,1
1781182777.608816,15,-89.250,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182785.576771,16,-89.250,5.000,3.4998,3.4975,-0.1155,0.1154,1
1781182793.575651,17,-89.250,10.000,7.0047,6.9941,-0.2312,0.2308,1
1781182801.579752,18,-89.250,15.000,10.4906,10.5045,-0.3462,0.3466,1
1781182809.577053,19,-89.250,24.000,16.8619,16.8459,-0.5564,0.5559,1
1781182817.565023,20,-76.039,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182825.582414,21,-76.039,5.000,2.5928,4.2288,-0.0856,0.1396,1
1781182833.576703,22,-76.039,10.000,5.1928,8.4603,-0.1714,0.2792,1
1781182841.572713,23,-76.039,15.000,7.8316,12.6850,-0.2584,0.4186,1
1781182849.576853,24,-76.039,24.000,12.4893,20.3224,-0.4121,0.6706,1
1781182857.580300,25,-62.829,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182865.579422,26,-62.829,5.000,1.5555,4.7293,-0.0513,0.1561,1
1781182873.577761,27,-62.829,10.000,3.0914,9.4574,-0.1020,0.3121,1
1781182881.569454,28,-62.829,15.000,4.6209,14.1731,-0.1525,0.4677,1
1781182889.573447,29,-62.829,24.000,7.3856,22.6915,-0.2437,0.7488,1
1781182897.567372,30,-49.619,0.000,0.0000,0.0000,-0.0000,0.0000,1
1781182905.580418,31,-49.619,5.000,0.4452,4.9746,-0.0147,0.1642,1
1781182913.580611,32,-49.619,10.000,0.8475,9.9511,-0.0280,0.3284,1
1781182921.572597,33,-49.619,15.000,1.2544,14.9234,-0.0414,0.4925,1
1781182929.567533,34,-49.619,24.000,1.9334,23.8799,-0.0638,0.7880,1
